Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,12428,73314,Soc. Dist. + Travel Ban,solid,Apr 30,"12,428","Apr 30: 12,428 projected cases per day"
2020-04-30,mod_4,188,1317,Moderate return,solid,Apr 30,188,Apr 30: 188 projected cases per day
2020-04-30,mod_5,191,1382,Normal (pre-intervention),solid,Apr 30,191,Apr 30: 191 projected cases per day
2020-04-30,mod_6,176,754,Cautious return,solid,Apr 30,176,Apr 30: 176 projected cases per day
2020-05-01,mod_2,14253,85012,Soc. Dist. + Travel Ban,solid,May 01,"14,253","May 01: 14,253 projected cases per day"
2020-05-01,mod_4,196,2056,Moderate return,solid,May 01,196,May 01: 196 projected cases per day
2020-05-01,mod_5,205,1559,Normal (pre-intervention),solid,May 01,205,May 01: 205 projected cases per day
2020-05-01,mod_6,184,1162,Cautious return,solid,May 01,184,May 01: 184 projected cases per day
2020-05-02,mod_2,16163,103584,Soc. Dist. + Travel Ban,solid,May 02,"16,163","May 02: 16,163 projected cases per day"
2020-05-02,mod_4,211,1522,Moderate return,solid,May 02,211,May 02: 211 projected cases per day
2020-05-02,mod_5,230,2010,Normal (pre-intervention),solid,May 02,230,May 02: 230 projected cases per day
2020-05-02,mod_6,199,1937,Cautious return,solid,May 02,199,May 02: 199 projected cases per day
2020-05-03,mod_2,18204,117576,Soc. Dist. + Travel Ban,solid,May 03,"18,204","May 03: 18,204 projected cases per day"
2020-05-03,mod_4,219,1750,Moderate return,solid,May 03,219,May 03: 219 projected cases per day
2020-05-03,mod_5,266,2131,Normal (pre-intervention),solid,May 03,266,May 03: 266 projected cases per day
2020-05-03,mod_6,207,1499,Cautious return,solid,May 03,207,May 03: 207 projected cases per day
2020-05-04,mod_2,20350,134674,Soc. Dist. + Travel Ban,solid,May 04,"20,350","May 04: 20,350 projected cases per day"
2020-05-04,mod_4,237,1476,Moderate return,solid,May 04,237,May 04: 237 projected cases per day
2020-05-04,mod_5,297,1841,Normal (pre-intervention),solid,May 04,297,May 04: 297 projected cases per day
2020-05-04,mod_6,219,1519,Cautious return,solid,May 04,219,May 04: 219 projected cases per day
2020-05-05,mod_2,22554,166111,Soc. Dist. + Travel Ban,solid,May 05,"22,554","May 05: 22,554 projected cases per day"
