Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,82622,495283,Soc. Dist. + Travel Ban,solid,Apr 30,"82,622","495,283","Apr 30: 82,622 projected total cases<br>Projection upper CI: 495,283 cases<br>"
2020-04-30,mod_4,7615,55703,Moderate return,solid,Apr 30,"7,615","55,703","Apr 30: 7,615 projected total cases<br>Projection upper CI: 55,703 cases<br>"
2020-04-30,mod_5,7621,56137,Normal (pre-intervention),solid,Apr 30,"7,621","56,137","Apr 30: 7,621 projected total cases<br>Projection upper CI: 56,137 cases<br>"
2020-04-30,mod_6,7586,55991,Cautious return,solid,Apr 30,"7,586","55,991","Apr 30: 7,586 projected total cases<br>Projection upper CI: 55,991 cases<br>"
2020-05-01,mod_2,96875,580295,Soc. Dist. + Travel Ban,solid,May 01,"96,875","580,295","May 01: 96,875 projected total cases<br>Projection upper CI: 580,295 cases<br>"
2020-05-01,mod_4,7811,57759,Moderate return,solid,May 01,"7,811","57,759","May 01: 7,811 projected total cases<br>Projection upper CI: 57,759 cases<br>"
2020-05-01,mod_5,7826,57696,Normal (pre-intervention),solid,May 01,"7,826","57,696","May 01: 7,826 projected total cases<br>Projection upper CI: 57,696 cases<br>"
2020-05-01,mod_6,7770,57153,Cautious return,solid,May 01,"7,770","57,153","May 01: 7,770 projected total cases<br>Projection upper CI: 57,153 cases<br>"
2020-05-02,mod_2,113038,683879,Soc. Dist. + Travel Ban,solid,May 02,"113,038","683,879","May 02: 113,038 projected total cases<br>Projection upper CI: 683,879 cases<br>"
2020-05-02,mod_4,8022,59281,Moderate return,solid,May 02,"8,022","59,281","May 02: 8,022 projected total cases<br>Projection upper CI: 59,281 cases<br>"
2020-05-02,mod_5,8056,59706,Normal (pre-intervention),solid,May 02,"8,056","59,706","May 02: 8,056 projected total cases<br>Projection upper CI: 59,706 cases<br>"
2020-05-02,mod_6,7969,59090,Cautious return,solid,May 02,"7,969","59,090","May 02: 7,969 projected total cases<br>Projection upper CI: 59,090 cases<br>"
2020-05-03,mod_2,131242,801455,Soc. Dist. + Travel Ban,solid,May 03,"131,242","801,455","May 03: 131,242 projected total cases<br>Projection upper CI: 801,455 cases<br>"
2020-05-03,mod_4,8241,61031,Moderate return,solid,May 03,"8,241","61,031","May 03: 8,241 projected total cases<br>Projection upper CI: 61,031 cases<br>"
2020-05-03,mod_5,8322,61837,Normal (pre-intervention),solid,May 03,"8,322","61,837","May 03: 8,322 projected total cases<br>Projection upper CI: 61,837 cases<br>"
2020-05-03,mod_6,8176,60589,Cautious return,solid,May 03,"8,176","60,589","May 03: 8,176 projected total cases<br>Projection upper CI: 60,589 cases<br>"
2020-05-04,mod_2,151592,936129,Soc. Dist. + Travel Ban,solid,May 04,"151,592","936,129","May 04: 151,592 projected total cases<br>Projection upper CI: 936,129 cases<br>"
2020-05-04,mod_4,8478,62507,Moderate return,solid,May 04,"8,478","62,507","May 04: 8,478 projected total cases<br>Projection upper CI: 62,507 cases<br>"
2020-05-04,mod_5,8619,63678,Normal (pre-intervention),solid,May 04,"8,619","63,678","May 04: 8,619 projected total cases<br>Projection upper CI: 63,678 cases<br>"
2020-05-04,mod_6,8395,62108,Cautious return,solid,May 04,"8,395","62,108","May 04: 8,395 projected total cases<br>Projection upper CI: 62,108 cases<br>"
2020-05-05,mod_2,174146,1102240,Soc. Dist. + Travel Ban,solid,May 05,"174,146","1,102,240","May 05: 174,146 projected total cases<br>Projection upper CI: 1,102,240 cases<br>"
2020-05-05,mod_4,8749,64234,Moderate return,solid,May 05,"8,749","64,234","May 05: 8,749 projected total cases<br>Projection upper CI: 64,234 cases<br>"
2020-05-05,mod_5,8957,65835,Normal (pre-intervention),solid,May 05,"8,957","65,835","May 05: 8,957 projected total cases<br>Projection upper CI: 65,835 cases<br>"
2020-05-05,mod_6,8631,63988,Cautious return,solid,May 05,"8,631","63,988","May 05: 8,631 projected total cases<br>Projection upper CI: 63,988 cases<br>"
2020-05-06,mod_2,198955,1293488,Soc. Dist. + Travel Ban,solid,May 06,"198,955","1,293,488","May 06: 198,955 projected total cases<br>Projection upper CI: 1,293,488 cases<br>"
2020-05-06,mod_4,9044,66614,Moderate return,solid,May 06,"9,044","66,614","May 06: 9,044 projected total cases<br>Projection upper CI: 66,614 cases<br>"
