Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,45210,236969,Soc. Dist. + Travel Ban,solid,Apr 30,"45,210","236,969","Apr 30: 45,210 projected total cases<br>Projection upper CI: 236,969 cases<br>"
2020-04-30,mod_4,4996,40421,Moderate return,solid,Apr 30,"4,996","40,421","Apr 30: 4,996 projected total cases<br>Projection upper CI: 40,421 cases<br>"
2020-04-30,mod_5,5138,41640,Normal (pre-intervention),solid,Apr 30,"5,138","41,640","Apr 30: 5,138 projected total cases<br>Projection upper CI: 41,640 cases<br>"
2020-04-30,mod_6,4888,39083,Cautious return,solid,Apr 30,"4,888","39,083","Apr 30: 4,888 projected total cases<br>Projection upper CI: 39,083 cases<br>"
2020-05-01,mod_2,52370,271406,Soc. Dist. + Travel Ban,solid,May 01,"52,370","271,406","May 01: 52,370 projected total cases<br>Projection upper CI: 271,406 cases<br>"
2020-05-01,mod_4,5161,41758,Moderate return,solid,May 01,"5,161","41,758","May 01: 5,161 projected total cases<br>Projection upper CI: 41,758 cases<br>"
2020-05-01,mod_5,5374,43704,Normal (pre-intervention),solid,May 01,"5,374","43,704","May 01: 5,374 projected total cases<br>Projection upper CI: 43,704 cases<br>"
2020-05-01,mod_6,5013,40348,Cautious return,solid,May 01,"5,013","40,348","May 01: 5,013 projected total cases<br>Projection upper CI: 40,348 cases<br>"
2020-05-02,mod_2,60464,309800,Soc. Dist. + Travel Ban,solid,May 02,"60,464","309,800","May 02: 60,464 projected total cases<br>Projection upper CI: 309,800 cases<br>"
2020-05-02,mod_4,5355,43311,Moderate return,solid,May 02,"5,355","43,311","May 02: 5,355 projected total cases<br>Projection upper CI: 43,311 cases<br>"
2020-05-02,mod_5,5660,45966,Normal (pre-intervention),solid,May 02,"5,660","45,966","May 02: 5,660 projected total cases<br>Projection upper CI: 45,966 cases<br>"
2020-05-02,mod_6,5148,41886,Cautious return,solid,May 02,"5,148","41,886","May 02: 5,148 projected total cases<br>Projection upper CI: 41,886 cases<br>"
2020-05-03,mod_2,69551,355790,Soc. Dist. + Travel Ban,solid,May 03,"69,551","355,790","May 03: 69,551 projected total cases<br>Projection upper CI: 355,790 cases<br>"
2020-05-03,mod_4,5571,44869,Moderate return,solid,May 03,"5,571","44,869","May 03: 5,571 projected total cases<br>Projection upper CI: 44,869 cases<br>"
2020-05-03,mod_5,5997,48573,Normal (pre-intervention),solid,May 03,"5,997","48,573","May 03: 5,997 projected total cases<br>Projection upper CI: 48,573 cases<br>"
2020-05-03,mod_6,5297,42530,Cautious return,solid,May 03,"5,297","42,530","May 03: 5,297 projected total cases<br>Projection upper CI: 42,530 cases<br>"
2020-05-04,mod_2,79669,409286,Soc. Dist. + Travel Ban,solid,May 04,"79,669","409,286","May 04: 79,669 projected total cases<br>Projection upper CI: 409,286 cases<br>"
2020-05-04,mod_4,5822,46855,Moderate return,solid,May 04,"5,822","46,855","May 04: 5,822 projected total cases<br>Projection upper CI: 46,855 cases<br>"
2020-05-04,mod_5,6432,51446,Normal (pre-intervention),solid,May 04,"6,432","51,446","May 04: 6,432 projected total cases<br>Projection upper CI: 51,446 cases<br>"
2020-05-04,mod_6,5460,44469,Cautious return,solid,May 04,"5,460","44,469","May 04: 5,460 projected total cases<br>Projection upper CI: 44,469 cases<br>"
2020-05-05,mod_2,90865,472094,Soc. Dist. + Travel Ban,solid,May 05,"90,865","472,094","May 05: 90,865 projected total cases<br>Projection upper CI: 472,094 cases<br>"
2020-05-05,mod_4,6116,48818,Moderate return,solid,May 05,"6,116","48,818","May 05: 6,116 projected total cases<br>Projection upper CI: 48,818 cases<br>"
2020-05-05,mod_5,6976,54994,Normal (pre-intervention),solid,May 05,"6,976","54,994","May 05: 6,976 projected total cases<br>Projection upper CI: 54,994 cases<br>"
2020-05-05,mod_6,5639,45615,Cautious return,solid,May 05,"5,639","45,615","May 05: 5,639 projected total cases<br>Projection upper CI: 45,615 cases<br>"
2020-05-06,mod_2,103188,539559,Soc. Dist. + Travel Ban,solid,May 06,"103,188","539,559","May 06: 103,188 projected total cases<br>Projection upper CI: 539,559 cases<br>"
2020-05-06,mod_4,6467,50831,Moderate return,solid,May 06,"6,467","50,831","May 06: 6,467 projected total cases<br>Projection upper CI: 50,831 cases<br>"
2020-05-06,mod_5,7686,58894,Normal (pre-intervention),solid,May 06,"7,686","58,894","May 06: 7,686 projected total cases<br>Projection upper CI: 58,894 cases<br>"
2020-05-06,mod_6,5840,47289,Cautious return,solid,May 06,"5,840","47,289","May 06: 5,840 projected total cases<br>Projection upper CI: 47,289 cases<br>"
2020-05-07,mod_2,116657,622678,Soc. Dist. + Travel Ban,solid,May 07,"116,657","622,678","May 07: 116,657 projected total cases<br>Projection upper CI: 622,678 cases<br>"
