Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,38277,227560,Soc. Dist. + Travel Ban,solid,Apr 30,"38,277","227,560","Apr 30: 38,277 projected total cases<br>Projection upper CI: 227,560 cases<br>"
2020-04-30,mod_4,8145,60551,Moderate return,solid,Apr 30,"8,145","60,551","Apr 30: 8,145 projected total cases<br>Projection upper CI: 60,551 cases<br>"
2020-04-30,mod_5,8112,60247,Normal (pre-intervention),solid,Apr 30,"8,112","60,247","Apr 30: 8,112 projected total cases<br>Projection upper CI: 60,247 cases<br>"
2020-04-30,mod_6,8144,60385,Cautious return,solid,Apr 30,"8,144","60,385","Apr 30: 8,144 projected total cases<br>Projection upper CI: 60,385 cases<br>"
2020-05-01,mod_2,44186,257820,Soc. Dist. + Travel Ban,solid,May 01,"44,186","257,820","May 01: 44,186 projected total cases<br>Projection upper CI: 257,820 cases<br>"
2020-05-01,mod_4,8338,62683,Moderate return,solid,May 01,"8,338","62,683","May 01: 8,338 projected total cases<br>Projection upper CI: 62,683 cases<br>"
2020-05-01,mod_5,8317,62384,Normal (pre-intervention),solid,May 01,"8,317","62,384","May 01: 8,317 projected total cases<br>Projection upper CI: 62,384 cases<br>"
2020-05-01,mod_6,8332,62171,Cautious return,solid,May 01,"8,332","62,171","May 01: 8,332 projected total cases<br>Projection upper CI: 62,171 cases<br>"
2020-05-02,mod_2,50989,290956,Soc. Dist. + Travel Ban,solid,May 02,"50,989","290,956","May 02: 50,989 projected total cases<br>Projection upper CI: 290,956 cases<br>"
2020-05-02,mod_4,8538,63761,Moderate return,solid,May 02,"8,538","63,761","May 02: 8,538 projected total cases<br>Projection upper CI: 63,761 cases<br>"
2020-05-02,mod_5,8543,64013,Normal (pre-intervention),solid,May 02,"8,543","64,013","May 02: 8,543 projected total cases<br>Projection upper CI: 64,013 cases<br>"
2020-05-02,mod_6,8530,63921,Cautious return,solid,May 02,"8,530","63,921","May 02: 8,530 projected total cases<br>Projection upper CI: 63,921 cases<br>"
2020-05-03,mod_2,58759,331204,Soc. Dist. + Travel Ban,solid,May 03,"58,759","331,204","May 03: 58,759 projected total cases<br>Projection upper CI: 331,204 cases<br>"
2020-05-03,mod_4,8761,65860,Moderate return,solid,May 03,"8,761","65,860","May 03: 8,761 projected total cases<br>Projection upper CI: 65,860 cases<br>"
2020-05-03,mod_5,8799,66249,Normal (pre-intervention),solid,May 03,"8,799","66,249","May 03: 8,799 projected total cases<br>Projection upper CI: 66,249 cases<br>"
2020-05-03,mod_6,8739,65549,Cautious return,solid,May 03,"8,739","65,549","May 03: 8,739 projected total cases<br>Projection upper CI: 65,549 cases<br>"
2020-05-04,mod_2,67581,377040,Soc. Dist. + Travel Ban,solid,May 04,"67,581","377,040","May 04: 67,581 projected total cases<br>Projection upper CI: 377,040 cases<br>"
2020-05-04,mod_4,9001,67862,Moderate return,solid,May 04,"9,001","67,862","May 04: 9,001 projected total cases<br>Projection upper CI: 67,862 cases<br>"
2020-05-04,mod_5,9084,68770,Normal (pre-intervention),solid,May 04,"9,084","68,770","May 04: 9,084 projected total cases<br>Projection upper CI: 68,770 cases<br>"
2020-05-04,mod_6,8961,67681,Cautious return,solid,May 04,"8,961","67,681","May 04: 8,961 projected total cases<br>Projection upper CI: 67,681 cases<br>"
2020-05-05,mod_2,77524,429242,Soc. Dist. + Travel Ban,solid,May 05,"77,524","429,242","May 05: 77,524 projected total cases<br>Projection upper CI: 429,242 cases<br>"
2020-05-05,mod_4,9266,69633,Moderate return,solid,May 05,"9,266","69,633","May 05: 9,266 projected total cases<br>Projection upper CI: 69,633 cases<br>"
2020-05-05,mod_5,9408,70527,Normal (pre-intervention),solid,May 05,"9,408","70,527","May 05: 9,408 projected total cases<br>Projection upper CI: 70,527 cases<br>"
2020-05-05,mod_6,9199,69369,Cautious return,solid,May 05,"9,199","69,369","May 05: 9,199 projected total cases<br>Projection upper CI: 69,369 cases<br>"
2020-05-06,mod_2,88644,486445,Soc. Dist. + Travel Ban,solid,May 06,"88,644","486,445","May 06: 88,644 projected total cases<br>Projection upper CI: 486,445 cases<br>"
2020-05-06,mod_4,9550,72079,Moderate return,solid,May 06,"9,550","72,079","May 06: 9,550 projected total cases<br>Projection upper CI: 72,079 cases<br>"
2020-05-06,mod_5,9780,73389,Normal (pre-intervention),solid,May 06,"9,780","73,389","May 06: 9,780 projected total cases<br>Projection upper CI: 73,389 cases<br>"
2020-05-06,mod_6,9452,71427,Cautious return,solid,May 06,"9,452","71,427","May 06: 9,452 projected total cases<br>Projection upper CI: 71,427 cases<br>"
2020-05-07,mod_2,100986,553124,Soc. Dist. + Travel Ban,solid,May 07,"100,986","553,124","May 07: 100,986 projected total cases<br>Projection upper CI: 553,124 cases<br>"
2020-05-07,mod_4,9870,74202,Moderate return,solid,May 07,"9,870","74,202","May 07: 9,870 projected total cases<br>Projection upper CI: 74,202 cases<br>"
2020-05-07,mod_5,10216,76693,Normal (pre-intervention),solid,May 07,"10,216","76,693","May 07: 10,216 projected total cases<br>Projection upper CI: 76,693 cases<br>"
2020-05-07,mod_6,9716,73254,Cautious return,solid,May 07,"9,716","73,254","May 07: 9,716 projected total cases<br>Projection upper CI: 73,254 cases<br>"
2020-05-08,mod_2,114597,633829,Soc. Dist. + Travel Ban,solid,May 08,"114,597","633,829","May 08: 114,597 projected total cases<br>Projection upper CI: 633,829 cases<br>"
2020-05-08,mod_4,10222,76939,Moderate return,solid,May 08,"10,222","76,939","May 08: 10,222 projected total cases<br>Projection upper CI: 76,939 cases<br>"
2020-05-08,mod_5,10732,79453,Normal (pre-intervention),solid,May 08,"10,732","79,453","May 08: 10,732 projected total cases<br>Projection upper CI: 79,453 cases<br>"
2020-05-08,mod_6,10000,75306,Cautious return,solid,May 08,"10,000","75,306","May 08: 10,000 projected total cases<br>Projection upper CI: 75,306 cases<br>"
2020-05-09,mod_2,129529,722663,Soc. Dist. + Travel Ban,solid,May 09,"129,529","722,663","May 09: 129,529 projected total cases<br>Projection upper CI: 722,663 cases<br>"
2020-05-09,mod_4,10617,79355,Moderate return,solid,May 09,"10,617","79,355","May 09: 10,617 projected total cases<br>Projection upper CI: 79,355 cases<br>"
2020-05-09,mod_5,11347,84328,Normal (pre-intervention),solid,May 09,"11,347","84,328","May 09: 11,347 projected total cases<br>Projection upper CI: 84,328 cases<br>"
2020-05-09,mod_6,10308,77744,Cautious return,solid,May 09,"10,308","77,744","May 09: 10,308 projected total cases<br>Projection upper CI: 77,744 cases<br>"
2020-05-10,mod_2,145819,823816,Soc. Dist. + Travel Ban,solid,May 10,"145,819","823,816","May 10: 145,819 projected total cases<br>Projection upper CI: 823,816 cases<br>"
2020-05-10,mod_4,11070,82182,Moderate return,solid,May 10,"11,070","82,182","May 10: 11,070 projected total cases<br>Projection upper CI: 82,182 cases<br>"
2020-05-10,mod_5,12099,88612,Normal (pre-intervention),solid,May 10,"12,099","88,612","May 10: 12,099 projected total cases<br>Projection upper CI: 88,612 cases<br>"
2020-05-10,mod_6,10634,79558,Cautious return,solid,May 10,"10,634","79,558","May 10: 10,634 projected total cases<br>Projection upper CI: 79,558 cases<br>"
2020-05-11,mod_2,163438,942610,Soc. Dist. + Travel Ban,solid,May 11,"163,438","942,610","May 11: 163,438 projected total cases<br>Projection upper CI: 942,610 cases<br>"
2020-05-11,mod_4,11572,85861,Moderate return,solid,May 11,"11,572","85,861","May 11: 11,572 projected total cases<br>Projection upper CI: 85,861 cases<br>"
2020-05-11,mod_5,13018,93404,Normal (pre-intervention),solid,May 11,"13,018","93,404","May 11: 13,018 projected total cases<br>Projection upper CI: 93,404 cases<br>"
2020-05-11,mod_6,10999,81987,Cautious return,solid,May 11,"10,999","81,987","May 11: 10,999 projected total cases<br>Projection upper CI: 81,987 cases<br>"
2020-05-12,mod_2,182442,1070548,Soc. Dist. + Travel Ban,solid,May 12,"182,442","1,070,548","May 12: 182,442 projected total cases<br>Projection upper CI: 1,070,548 cases<br>"
2020-05-12,mod_4,12153,89628,Moderate return,solid,May 12,"12,153","89,628","May 12: 12,153 projected total cases<br>Projection upper CI: 89,628 cases<br>"
2020-05-12,mod_5,14166,100371,Normal (pre-intervention),solid,May 12,"14,166","100,371","May 12: 14,166 projected total cases<br>Projection upper CI: 100,371 cases<br>"
2020-05-12,mod_6,11392,85314,Cautious return,solid,May 12,"11,392","85,314","May 12: 11,392 projected total cases<br>Projection upper CI: 85,314 cases<br>"
2020-05-13,mod_2,202816,1224872,Soc. Dist. + Travel Ban,solid,May 13,"202,816","1,224,872","May 13: 202,816 projected total cases<br>Projection upper CI: 1,224,872 cases<br>"
2020-05-13,mod_4,12837,93589,Moderate return,solid,May 13,"12,837","93,589","May 13: 12,837 projected total cases<br>Projection upper CI: 93,589 cases<br>"
2020-05-13,mod_5,15614,107022,Normal (pre-intervention),solid,May 13,"15,614","107,022","May 13: 15,614 projected total cases<br>Projection upper CI: 107,022 cases<br>"
2020-05-13,mod_6,11836,88049,Cautious return,solid,May 13,"11,836","88,049","May 13: 11,836 projected total cases<br>Projection upper CI: 88,049 cases<br>"
2020-05-14,mod_2,224564,1391807,Soc. Dist. + Travel Ban,solid,May 14,"224,564","1,391,807","May 14: 224,564 projected total cases<br>Projection upper CI: 1,391,807 cases<br>"
2020-05-14,mod_4,13643,97920,Moderate return,solid,May 14,"13,643","97,920","May 14: 13,643 projected total cases<br>Projection upper CI: 97,920 cases<br>"
2020-05-14,mod_5,17459,115719,Normal (pre-intervention),solid,May 14,"17,459","115,719","May 14: 17,459 projected total cases<br>Projection upper CI: 115,719 cases<br>"
2020-05-14,mod_6,12320,90729,Cautious return,solid,May 14,"12,320","90,729","May 14: 12,320 projected total cases<br>Projection upper CI: 90,729 cases<br>"
2020-05-15,mod_2,247641,1589089,Soc. Dist. + Travel Ban,solid,May 15,"247,641","1,589,089","May 15: 247,641 projected total cases<br>Projection upper CI: 1,589,089 cases<br>"
2020-05-15,mod_4,14595,102835,Moderate return,solid,May 15,"14,595","102,835","May 15: 14,595 projected total cases<br>Projection upper CI: 102,835 cases<br>"
2020-05-15,mod_5,19824,125236,Normal (pre-intervention),solid,May 15,"19,824","125,236","May 15: 19,824 projected total cases<br>Projection upper CI: 125,236 cases<br>"
2020-05-15,mod_6,12863,93863,Cautious return,solid,May 15,"12,863","93,863","May 15: 12,863 projected total cases<br>Projection upper CI: 93,863 cases<br>"
2020-05-16,mod_2,272110,1800785,Soc. Dist. + Travel Ban,solid,May 16,"272,110","1,800,785","May 16: 272,110 projected total cases<br>Projection upper CI: 1,800,785 cases<br>"
2020-05-16,mod_4,15729,107860,Moderate return,solid,May 16,"15,729","107,860","May 16: 15,729 projected total cases<br>Projection upper CI: 107,860 cases<br>"
2020-05-16,mod_5,22888,138654,Normal (pre-intervention),solid,May 16,"22,888","138,654","May 16: 22,888 projected total cases<br>Projection upper CI: 138,654 cases<br>"
2020-05-16,mod_6,13471,97298,Cautious return,solid,May 16,"13,471","97,298","May 16: 13,471 projected total cases<br>Projection upper CI: 97,298 cases<br>"
2020-05-17,mod_2,297875,2053350,Soc. Dist. + Travel Ban,solid,May 17,"297,875","2,053,350","May 17: 297,875 projected total cases<br>Projection upper CI: 2,053,350 cases<br>"
2020-05-17,mod_4,17094,114627,Moderate return,solid,May 17,"17,094","114,627","May 17: 17,094 projected total cases<br>Projection upper CI: 114,627 cases<br>"
2020-05-17,mod_5,26859,154518,Normal (pre-intervention),solid,May 17,"26,859","154,518","May 17: 26,859 projected total cases<br>Projection upper CI: 154,518 cases<br>"
2020-05-17,mod_6,14147,100945,Cautious return,solid,May 17,"14,147","100,945","May 17: 14,147 projected total cases<br>Projection upper CI: 100,945 cases<br>"
2020-05-18,mod_2,324934,2324978,Soc. Dist. + Travel Ban,solid,May 18,"324,934","2,324,978","May 18: 324,934 projected total cases<br>Projection upper CI: 2,324,978 cases<br>"
2020-05-18,mod_4,18728,122463,Moderate return,solid,May 18,"18,728","122,463","May 18: 18,728 projected total cases<br>Projection upper CI: 122,463 cases<br>"
2020-05-18,mod_5,31996,172122,Normal (pre-intervention),solid,May 18,"31,996","172,122","May 18: 31,996 projected total cases<br>Projection upper CI: 172,122 cases<br>"
2020-05-18,mod_6,14911,105384,Cautious return,solid,May 18,"14,911","105,384","May 18: 14,911 projected total cases<br>Projection upper CI: 105,384 cases<br>"
2020-05-19,mod_2,353313,2629175,Soc. Dist. + Travel Ban,solid,May 19,"353,313","2,629,175","May 19: 353,313 projected total cases<br>Projection upper CI: 2,629,175 cases<br>"
2020-05-19,mod_4,20711,129884,Moderate return,solid,May 19,"20,711","129,884","May 19: 20,711 projected total cases<br>Projection upper CI: 129,884 cases<br>"
2020-05-19,mod_5,38629,197461,Normal (pre-intervention),solid,May 19,"38,629","197,461","May 19: 38,629 projected total cases<br>Projection upper CI: 197,461 cases<br>"
2020-05-19,mod_6,15769,109289,Cautious return,solid,May 19,"15,769","109,289","May 19: 15,769 projected total cases<br>Projection upper CI: 109,289 cases<br>"
2020-05-20,mod_2,383008,2957650,Soc. Dist. + Travel Ban,solid,May 20,"383,008","2,957,650","May 20: 383,008 projected total cases<br>Projection upper CI: 2,957,650 cases<br>"
2020-05-20,mod_4,23093,139059,Moderate return,solid,May 20,"23,093","139,059","May 20: 23,093 projected total cases<br>Projection upper CI: 139,059 cases<br>"
2020-05-20,mod_5,47157,226969,Normal (pre-intervention),solid,May 20,"47,157","226,969","May 20: 47,157 projected total cases<br>Projection upper CI: 226,969 cases<br>"
2020-05-20,mod_6,16755,114887,Cautious return,solid,May 20,"16,755","114,887","May 20: 16,755 projected total cases<br>Projection upper CI: 114,887 cases<br>"
2020-05-21,mod_2,413950,3347827,Soc. Dist. + Travel Ban,solid,May 21,"413,950","3,347,827","May 21: 413,950 projected total cases<br>Projection upper CI: 3,347,827 cases<br>"
2020-05-21,mod_4,25914,149895,Moderate return,solid,May 21,"25,914","149,895","May 21: 25,914 projected total cases<br>Projection upper CI: 149,895 cases<br>"
2020-05-21,mod_5,57670,261491,Normal (pre-intervention),solid,May 21,"57,670","261,491","May 21: 57,670 projected total cases<br>Projection upper CI: 261,491 cases<br>"
2020-05-21,mod_6,17857,118410,Cautious return,solid,May 21,"17,857","118,410","May 21: 17,857 projected total cases<br>Projection upper CI: 118,410 cases<br>"
2020-05-22,mod_2,446076,3753965,Soc. Dist. + Travel Ban,solid,May 22,"446,076","3,753,965","May 22: 446,076 projected total cases<br>Projection upper CI: 3,753,965 cases<br>"
2020-05-22,mod_4,29205,160727,Moderate return,solid,May 22,"29,205","160,727","May 22: 29,205 projected total cases<br>Projection upper CI: 160,727 cases<br>"
2020-05-22,mod_5,70358,307451,Normal (pre-intervention),solid,May 22,"70,358","307,451","May 22: 70,358 projected total cases<br>Projection upper CI: 307,451 cases<br>"
