Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,5094,25945,Soc. Dist. + Travel Ban,solid,Apr 30,"5,094","Apr 30: 5,094 projected cases per day"
2020-04-30,mod_4,183,1333,Moderate return,solid,Apr 30,183,Apr 30: 183 projected cases per day
2020-04-30,mod_5,190,1464,Normal (pre-intervention),solid,Apr 30,190,Apr 30: 190 projected cases per day
2020-04-30,mod_6,182,1086,Cautious return,solid,Apr 30,182,Apr 30: 182 projected cases per day
2020-05-01,mod_2,5909,30260,Soc. Dist. + Travel Ban,solid,May 01,"5,909","May 01: 5,909 projected cases per day"
2020-05-01,mod_4,193,2132,Moderate return,solid,May 01,193,May 01: 193 projected cases per day
2020-05-01,mod_5,205,2137,Normal (pre-intervention),solid,May 01,205,May 01: 205 projected cases per day
2020-05-01,mod_6,188,1786,Cautious return,solid,May 01,188,May 01: 188 projected cases per day
2020-05-02,mod_2,6803,33136,Soc. Dist. + Travel Ban,solid,May 02,"6,803","May 02: 6,803 projected cases per day"
2020-05-02,mod_4,200,1078,Moderate return,solid,May 02,200,May 02: 200 projected cases per day
2020-05-02,mod_5,226,1629,Normal (pre-intervention),solid,May 02,226,May 02: 226 projected cases per day
2020-05-02,mod_6,198,1750,Cautious return,solid,May 02,198,May 02: 198 projected cases per day
2020-05-03,mod_2,7770,40248,Soc. Dist. + Travel Ban,solid,May 03,"7,770","May 03: 7,770 projected cases per day"
2020-05-03,mod_4,223,2099,Moderate return,solid,May 03,223,May 03: 223 projected cases per day
2020-05-03,mod_5,256,2236,Normal (pre-intervention),solid,May 03,256,May 03: 256 projected cases per day
2020-05-03,mod_6,209,1628,Cautious return,solid,May 03,209,May 03: 209 projected cases per day
2020-05-04,mod_2,8822,45836,Soc. Dist. + Travel Ban,solid,May 04,"8,822","May 04: 8,822 projected cases per day"
2020-05-04,mod_4,240,2002,Moderate return,solid,May 04,240,May 04: 240 projected cases per day
2020-05-04,mod_5,285,2521,Normal (pre-intervention),solid,May 04,285,May 04: 285 projected cases per day
2020-05-04,mod_6,222,2132,Cautious return,solid,May 04,222,May 04: 222 projected cases per day
2020-05-05,mod_2,9943,52202,Soc. Dist. + Travel Ban,solid,May 05,"9,943","May 05: 9,943 projected cases per day"
2020-05-05,mod_4,265,1771,Moderate return,solid,May 05,265,May 05: 265 projected cases per day
2020-05-05,mod_5,324,1757,Normal (pre-intervention),solid,May 05,324,May 05: 324 projected cases per day
2020-05-05,mod_6,238,1688,Cautious return,solid,May 05,238,May 05: 238 projected cases per day
2020-05-06,mod_2,11120,57203,Soc. Dist. + Travel Ban,solid,May 06,"11,120","May 06: 11,120 projected cases per day"
2020-05-06,mod_4,284,2446,Moderate return,solid,May 06,284,May 06: 284 projected cases per day
2020-05-06,mod_5,372,2862,Normal (pre-intervention),solid,May 06,372,May 06: 372 projected cases per day
2020-05-06,mod_6,253,2058,Cautious return,solid,May 06,253,May 06: 253 projected cases per day
2020-05-07,mod_2,12342,66679,Soc. Dist. + Travel Ban,solid,May 07,"12,342","May 07: 12,342 projected cases per day"
2020-05-07,mod_4,320,2123,Moderate return,solid,May 07,320,May 07: 320 projected cases per day
2020-05-07,mod_5,436,3304,Normal (pre-intervention),solid,May 07,436,May 07: 436 projected cases per day
2020-05-07,mod_6,264,1827,Cautious return,solid,May 07,264,May 07: 264 projected cases per day
2020-05-08,mod_2,13611,80705,Soc. Dist. + Travel Ban,solid,May 08,"13,611","May 08: 13,611 projected cases per day"
2020-05-08,mod_4,352,2737,Moderate return,solid,May 08,352,May 08: 352 projected cases per day
2020-05-08,mod_5,516,2760,Normal (pre-intervention),solid,May 08,516,May 08: 516 projected cases per day
2020-05-08,mod_6,284,2052,Cautious return,solid,May 08,284,May 08: 284 projected cases per day
2020-05-09,mod_2,14932,88834,Soc. Dist. + Travel Ban,solid,May 09,"14,932","May 09: 14,932 projected cases per day"
2020-05-09,mod_4,395,2416,Moderate return,solid,May 09,395,May 09: 395 projected cases per day
2020-05-09,mod_5,615,4875,Normal (pre-intervention),solid,May 09,615,May 09: 615 projected cases per day
2020-05-09,mod_6,308,2438,Cautious return,solid,May 09,308,May 09: 308 projected cases per day
2020-05-10,mod_2,16290,101153,Soc. Dist. + Travel Ban,solid,May 10,"16,290","May 10: 16,290 projected cases per day"
2020-05-10,mod_4,453,2827,Moderate return,solid,May 10,453,May 10: 453 projected cases per day
2020-05-10,mod_5,752,4284,Normal (pre-intervention),solid,May 10,752,May 10: 752 projected cases per day
2020-05-10,mod_6,326,1814,Cautious return,solid,May 10,326,May 10: 326 projected cases per day
2020-05-11,mod_2,17619,118794,Soc. Dist. + Travel Ban,solid,May 11,"17,619","May 11: 17,619 projected cases per day"
2020-05-11,mod_4,502,3679,Moderate return,solid,May 11,502,May 11: 502 projected cases per day
2020-05-11,mod_5,919,4792,Normal (pre-intervention),solid,May 11,919,May 11: 919 projected cases per day
2020-05-11,mod_6,365,2429,Cautious return,solid,May 11,365,May 11: 365 projected cases per day
2020-05-12,mod_2,19004,127938,Soc. Dist. + Travel Ban,solid,May 12,"19,004","May 12: 19,004 projected cases per day"
2020-05-12,mod_4,581,3767,Moderate return,solid,May 12,581,May 12: 581 projected cases per day
2020-05-12,mod_5,1148,6967,Normal (pre-intervention),solid,May 12,"1,148","May 12: 1,148 projected cases per day"
2020-05-12,mod_6,393,3327,Cautious return,solid,May 12,393,May 12: 393 projected cases per day
2020-05-13,mod_2,20374,154324,Soc. Dist. + Travel Ban,solid,May 13,"20,374","May 13: 20,374 projected cases per day"
2020-05-13,mod_4,684,3961,Moderate return,solid,May 13,684,May 13: 684 projected cases per day
2020-05-13,mod_5,1448,6651,Normal (pre-intervention),solid,May 13,"1,448","May 13: 1,448 projected cases per day"
2020-05-13,mod_6,444,2735,Cautious return,solid,May 13,444,May 13: 444 projected cases per day
2020-05-14,mod_2,21748,166935,Soc. Dist. + Travel Ban,solid,May 14,"21,748","May 14: 21,748 projected cases per day"
2020-05-14,mod_4,806,4331,Moderate return,solid,May 14,806,May 14: 806 projected cases per day
2020-05-14,mod_5,1845,8697,Normal (pre-intervention),solid,May 14,"1,845","May 14: 1,845 projected cases per day"
2020-05-14,mod_6,484,2680,Cautious return,solid,May 14,484,May 14: 484 projected cases per day
2020-05-15,mod_2,23077,197282,Soc. Dist. + Travel Ban,solid,May 15,"23,077","May 15: 23,077 projected cases per day"
2020-05-15,mod_4,952,4915,Moderate return,solid,May 15,952,May 15: 952 projected cases per day
2020-05-15,mod_5,2365,9517,Normal (pre-intervention),solid,May 15,"2,365","May 15: 2,365 projected cases per day"
2020-05-15,mod_6,543,3134,Cautious return,solid,May 15,543,May 15: 543 projected cases per day
2020-05-16,mod_2,24469,211696,Soc. Dist. + Travel Ban,solid,May 16,"24,469","May 16: 24,469 projected cases per day"
2020-05-16,mod_4,1134,5025,Moderate return,solid,May 16,"1,134","May 16: 1,134 projected cases per day"
2020-05-16,mod_5,3064,13418,Normal (pre-intervention),solid,May 16,"3,064","May 16: 3,064 projected cases per day"
2020-05-16,mod_6,608,3435,Cautious return,solid,May 16,608,May 16: 608 projected cases per day
2020-05-17,mod_2,25765,252565,Soc. Dist. + Travel Ban,solid,May 17,"25,765","May 17: 25,765 projected cases per day"
2020-05-17,mod_4,1365,6767,Moderate return,solid,May 17,"1,365","May 17: 1,365 projected cases per day"
2020-05-17,mod_5,3971,15864,Normal (pre-intervention),solid,May 17,"3,971","May 17: 3,971 projected cases per day"
2020-05-17,mod_6,676,3647,Cautious return,solid,May 17,676,May 17: 676 projected cases per day
2020-05-18,mod_2,27059,271628,Soc. Dist. + Travel Ban,solid,May 18,"27,059","May 18: 27,059 projected cases per day"
2020-05-18,mod_4,1634,7836,Moderate return,solid,May 18,"1,634","May 18: 1,634 projected cases per day"
2020-05-18,mod_5,5137,17604,Normal (pre-intervention),solid,May 18,"5,137","May 18: 5,137 projected cases per day"
2020-05-18,mod_6,764,4439,Cautious return,solid,May 18,764,May 18: 764 projected cases per day
2020-05-19,mod_2,28379,304197,Soc. Dist. + Travel Ban,solid,May 19,"28,379","May 19: 28,379 projected cases per day"
2020-05-19,mod_4,1983,7421,Moderate return,solid,May 19,"1,983","May 19: 1,983 projected cases per day"
2020-05-19,mod_5,6633,25339,Normal (pre-intervention),solid,May 19,"6,633","May 19: 6,633 projected cases per day"
2020-05-19,mod_6,858,3905,Cautious return,solid,May 19,858,May 19: 858 projected cases per day
2020-05-20,mod_2,29695,328475,Soc. Dist. + Travel Ban,solid,May 20,"29,695","May 20: 29,695 projected cases per day"
2020-05-20,mod_4,2382,9175,Moderate return,solid,May 20,"2,382","May 20: 2,382 projected cases per day"
2020-05-20,mod_5,8528,29508,Normal (pre-intervention),solid,May 20,"8,528","May 20: 8,528 projected cases per day"
2020-05-20,mod_6,986,5598,Cautious return,solid,May 20,986,May 20: 986 projected cases per day
2020-05-21,mod_2,30942,390177,Soc. Dist. + Travel Ban,solid,May 21,"30,942","May 21: 30,942 projected cases per day"
2020-05-21,mod_4,2821,10836,Moderate return,solid,May 21,"2,821","May 21: 2,821 projected cases per day"
2020-05-21,mod_5,10513,34522,Normal (pre-intervention),solid,May 21,"10,513","May 21: 10,513 projected cases per day"
