place,abbrev,date,r,lower,upper
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-04,0.610741270352308,0.304879841672225,1.02106812830302
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-08,0.668781066790345,0.333853098937956,1.11810199385772
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-10,0.728482170248874,0.363655674682664,1.21791331646715
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-12,0.425868142565897,0.156286102643445,0.828195151577203
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-16,0.559374216074949,0.224897446527747,1.04359043481394
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-21,0.724416453508898,0.312751607061883,1.30600291695433
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-25,0.782887264602129,0.337995153156181,1.41141610777096
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-26,1.03644935120898,0.497017750290134,1.77075334527564
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-08-31,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-03,1.15864028104392,0.578389053741138,1.93707339027466
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-08,1.34342130928157,0.715315267557626,2.16617231000299
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-10,1.18018405088897,0.609818320804423,1.93570232853178
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-09-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-04,1.23615912265894,0.658202670643548,1.99321958328425
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-11,1.10928658198485,0.573184564057901,1.81941843574291
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-13,1.00198483240809,0.500187218208343,1.67516889242603
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-17,0.737538513287294,0.318416781097864,1.32965981798691
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-21,0.881899105790985,0.403260428286025,1.54461583085584
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-10-31,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-01,0.9328936599677,0.426578385660654,1.63393103159884
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-22,0.855386257596114,0.369295072504242,1.54211978777128
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-11-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-09,0.892867167459748,0.385476669066846,1.60969166217434
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-10,1.04974624562301,0.480010828701205,1.83859430032701
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-15,1.06546868163531,0.487200127611236,1.8661316040897
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-17,1.06768084206873,0.488211668226213,1.87000612670053
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-20,1.07191602742325,0.490148264656255,1.8774239076034
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2021-12-31,1.3151563993572,0.656521336078925,2.19874494864701
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-01,1.05478369551914,0.50580978103573,1.80207721217061
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-02,1.41185574377952,0.7517537217379,2.2765180191532
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-04,1.28656667849686,0.703377975216188,2.04292047414971
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-05,2.7668613093282,1.90458001389714,3.78761950389846
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-06,2.11888769532469,1.56756478164355,2.75200425477597
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-07,1.83516720024898,1.41634330136294,2.30741419802089
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-08,1.58929827830131,1.25424934738533,1.96340945326573
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-09,1.55586943502611,1.25578743697189,1.88761815619794
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-10,1.22980907400078,0.988911724075222,1.49657049107547
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-11,1.2819992864382,1.04078898936251,1.54797193616655
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-12,1.60740215156297,1.34677812169675,1.89073717541911
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-13,1.30885287465487,1.10103107648847,1.5343753236613
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-14,1.35645452476035,1.15441488584285,1.57454655443616
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-15,1.25968001061011,1.07691780414797,1.45655583782448
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-16,1.20954631351193,1.03744609870202,1.39465966906154
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-17,0.957767447877359,0.809681177235699,1.11810656294034
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-18,1.15479401297621,0.985311663563283,1.33752834902413
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-19,1.09211362659399,0.931830510141057,1.2649294328781
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-20,1.16834496267958,1.00389327333744,1.34508730163733
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-21,1.07734530829594,0.924472159793801,1.24174382895195
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-22,1.13111632123644,0.97520063643643,1.29842487456898
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-23,0.988236766626319,0.846063774925525,1.14128905220438
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-24,0.833637236716703,0.701270954067389,0.977277453923611
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-25,0.812243894354454,0.673978446067774,0.963217783996718
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-26,0.802113648333437,0.657351491963318,0.961066684862399
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-27,0.646339152902724,0.510904278993638,0.797456466118565
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-28,0.752340211891225,0.59176330212069,0.931900984455454
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-29,0.889457594218348,0.706357719105469,1.09334021660811
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-30,0.707346568041098,0.544743049187198,0.890862852648534
Dadra and Nagar Haveli and Daman and Diu,dh,2022-01-31,0.657255888540348,0.490870134622492,0.847551456139795
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-01,0.792692426027638,0.595494947340267,1.01766007684142
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-02,0.614769008536554,0.439199992854443,0.819399235825862
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-03,0.673759612372745,0.474388945418785,0.907557375266091
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-04,0.729505083450445,0.510936391939848,0.986382615568356
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-05,0.759672119111873,0.529139465402555,1.03123519569548
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-06,0.68957763534523,0.465255134833738,0.957336894525947
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-07,0.640594365725025,0.414558897463088,0.915027492721963
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-08,0.643838845869655,0.403490376915217,0.939440792179933
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-09,0.62567673298808,0.376698265241249,0.936794826579738
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-10,0.70784480360629,0.42616881133664,1.05982101471617
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-11,0.835139045865409,0.516964232139525,1.22838525952237
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-12,1.07413672208234,0.707862868177302,1.51556809011176
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-13,0.75056844380489,0.464613696534417,1.10399246352704
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-14,0.843060934409994,0.521868006006669,1.24003736843037
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-15,0.838031464016857,0.511891389667334,1.24325544286128
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-18,1.36451545659534,0.927122050830472,1.88509418673366
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-22,0.845300602598741,0.54160004601582,1.215517361686
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-02-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-01,0.934184564229829,0.598549677379466,1.34332987974865
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-15,0.960569884805235,0.615455250135298,1.3812711933529
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-03-31,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-04-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-14,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-16,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-17,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-18,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-19,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-21,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-23,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-25,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-26,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-27,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-28,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-29,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-30,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-05-31,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-02,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-03,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-04,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-05,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-06,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-07,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-10,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-11,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-12,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-13,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-14,1.01209569412563,0.654974969392662,1.44568144045775
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-15,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-16,0.359056242584801,0.164183377908804,0.628874610283983
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-17,0.627707566057433,0.301010176674862,1.072426039106
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-18,0.861618962586834,0.445211091051582,1.41320146711878
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-19,0.923330578624139,0.491634646055949,1.48880557318556
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-20,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-21,0.700677850885404,0.336002264576623,1.19709433651399
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-22,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-23,1.21576050874567,0.680451927727263,1.90385024835505
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-24,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-25,0.967269531228357,0.528815253600843,1.53591318848417
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-26,1.12131694141958,0.640929517564353,1.7338516596891
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-27,1.11300587223147,0.648366936124932,1.70113111201539
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-28,1.24573896264541,0.760929721772924,1.84810691745355
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-29,0.946480416185229,0.551359721322874,1.44661166940466
Dadra and Nagar Haveli and Daman and Diu,dh,2022-06-30,1.07228610828218,0.635504705711078,1.62145427038532
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-01,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-02,0.876365938843152,0.490495363347162,1.37236692450049
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-03,0.967793310763205,0.541666569372124,1.51553987960497
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-04,1.26160439476483,0.759568259249464,1.88893786182787
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-05,1.10748165535258,0.666776302141591,1.65817750695554
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-06,1.07586990336201,0.647743962423259,1.61084679420478
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-07,1.0090794736167,0.598044448181095,1.52587654453078
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-08,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-09,,,
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-10,0.978729115161466,0.570145776878285,1.49590095575902
Dadra and Nagar Haveli and Daman and Diu,dh,2022-07-11,0.598474420498576,0.286991747098328,1.02248178449202
