place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths,total_active,r_est,r_lower,r_upper,abbrev,first_dose,second_dose,total_doses,pct_one_dose,pct_two_doses,daily_doses,precaution_dose
Andaman and Nicobar Islands,2020-03-14,,,,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-15,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-16,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-17,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-18,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-19,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-20,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-21,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-22,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-23,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-24,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-25,0,0,0,0,0,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-26,1,0,0,1,0,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-27,5,0,0,6,0,0,6,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-28,3,0,0,9,0,0,9,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-29,0,0,0,9,0,0,9,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-30,1,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-03-31,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-01,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-02,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-03,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-04,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-05,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-06,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-07,0,0,0,10,0,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-08,1,0,0,11,0,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-09,0,10,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-10,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-11,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-12,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-13,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-14,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-15,0,0,0,11,10,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-16,0,1,0,11,11,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-17,1,0,0,12,11,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-18,2,0,0,14,11,0,3,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-19,1,0,0,15,11,0,4,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-20,1,0,0,16,11,0,5,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-21,1,0,0,17,11,0,6,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-22,1,0,0,18,11,0,7,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-23,4,0,0,22,11,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-24,7,0,0,29,11,0,18,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-25,4,0,0,33,11,0,22,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-26,0,0,0,33,11,0,22,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-27,0,0,0,33,11,0,22,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-28,0,4,0,33,15,0,18,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-29,0,0,0,33,15,0,18,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-04-30,0,1,0,33,16,0,17,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-01,0,0,0,33,16,0,17,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-02,0,10,0,33,26,0,7,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-03,0,6,0,33,32,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-04,0,0,0,33,32,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-05,0,0,0,33,32,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-06,0,0,0,33,32,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-07,0,1,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-08,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-09,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-10,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-11,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-12,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-13,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-14,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-15,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-16,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-17,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-18,0,0,0,33,33,0,0,,,,an,,,,,,,
