Updated On,State,RT PCR Tests,Antigen Tests,Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,Source3,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection,...32
17/04/2020,Andaman and Nicobar Islands,NA,NA,NA,1403,Samples Sent,12,1210,181,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2550,NA,NA,0.86%,3.53,3534,117,397000,NA
24/04/2020,Andaman and Nicobar Islands,NA,NA,NA,2679,Samples Sent,27,NA,246,NA,614,Institutional,347,NA,NA,50,NA,NA,NA,NA,NA,280,https://t.me/indiacovid/3147?single,NA,NA,1.01%,6.75,6748,99,397000,NA
27/04/2020,Andaman and Nicobar Islands,NA,NA,NA,2848,Samples Sent,33,NA,106,NA,724,Institutional,420,NA,NA,50,NA,NA,NA,NA,NA,298,https://t.me/indiacovid/3365?single,NA,NA,1.16%,7.17,7174,86,397000,NA
01/05/2020,Andaman and Nicobar Islands,NA,NA,NA,3754,Samples Sent,33,NA,199,NA,643,Institutional,556,NA,NA,50,NA,NA,NA,NA,NA,340,https://t.me/indiacovid/3781,NA,NA,0.88%,9.46,9456,114,397000,NA
16/05/2020,Andaman and Nicobar Islands,NA,NA,NA,6677,Samples Sent,33,NA,136,NA,16,Institutional,1196,NA,NA,98,NA,NA,NA,NA,NA,471,https://t.me/indiacovid/4925,NA,NA,0.49%,16.82,16819,202,397000,NA
19/05/2020,Andaman and Nicobar Islands,NA,NA,NA,6965,Samples Sent,33,NA,117,NA,2,Institutional,1213,NA,NA,98,NA,NA,NA,NA,NA,477,https://dhs.andaman.gov.in/NewEvents/261.pdf,NA,NA,0.47%,17.54,17544,211,397000,NA
20/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7082,Samples Sent,33,NA,117,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,477,https://dhs.andaman.gov.in/NewEvents/262.pdf,NA,NA,0.47%,17.84,17839,215,397000,NA
21/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7167,Samples Sent,33,NA,85,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,478,https://dhs.andaman.gov.in/NewEvents/263.pdf,NA,NA,0.46%,18.05,18053,217,397000,NA
22/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7263,Samples Sent,33,NA,96,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,478,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,NA,0.45%,18.29,18295,220,397000,NA
23/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7327,Samples Sent,33,NA,61,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,480,https://dhs.andaman.gov.in/NewEvents/266.pdf,NA,NA,0.45%,18.46,18456,222,397000,NA
24/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7327,Samples Sent,33,NA,0,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,481,https://dhs.andaman.gov.in/NewEvents/267.pdf,NA,NA,0.45%,18.46,18456,222,397000,NA
25/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7363,Samples Sent,33,NA,34,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9762,https://dhs.andaman.gov.in/NewEvents/269.pdf,NA,NA,0.45%,18.55,18547,223,397000,NA
26/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7448,Samples Sent,33,NA,84,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9803,https://dhs.andaman.gov.in/NewEvents/270.pdf,NA,NA,0.44%,18.76,18761,226,397000,NA
27/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7499,Samples Sent,33,NA,51,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9843,https://dhs.andaman.gov.in/NewEvents/271.pdf,NA,NA,0.44%,18.89,18889,227,397000,NA
28/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7519,Samples Sent,33,NA,19,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9893,https://dhs.andaman.gov.in/NewEvents/272.pdf,NA,NA,0.44%,18.94,18940,228,397000,NA
29/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7567,Samples Sent,33,NA,48,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9925,https://dhs.andaman.gov.in/NewEvents/273.pdf,NA,NA,0.44%,19.06,19060,229,397000,NA
30/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7567,Samples Sent,33,NA,129,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9962,https://dhs.andaman.gov.in/NewEvents/274.pdf,NA,NA,0.44%,19.06,19060,229,397000,NA
31/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7706,Samples Sent,33,NA,0,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,9984,https://dhs.andaman.gov.in/NewEvents/275.pdf,NA,NA,0.43%,19.41,19411,234,397000,NA
01/06/2020,Andaman and Nicobar Islands,NA,NA,NA,7805,Samples Sent,33,NA,99,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10015,https://dhs.andaman.gov.in/NewEvents/276.pdf,NA,NA,0.42%,19.66,19660,237,397000,NA
02/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8086,Samples Sent,33,NA,274,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10037,https://dhs.andaman.gov.in/NewEvents/277.pdf,NA,NA,0.41%,20.37,20368,245,397000,NA
03/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8295,Samples Sent,33,NA,208,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10056,https://dhs.andaman.gov.in/NewEvents/278.pdf,NA,NA,0.40%,20.89,20894,251,397000,NA
04/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8413,Samples Sent,33,NA,118,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10088,https://dhs.andaman.gov.in/NewEvents/280.pdf,NA,NA,0.39%,21.19,21191,255,397000,NA
05/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8694,Samples Sent,33,NA,281,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10105,https://dhs.andaman.gov.in/NewEvents/281.pdf,NA,NA,0.38%,21.9,21899,263,397000,NA
06/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9037,Samples Sent,33,NA,343,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10138,https://dhs.andaman.gov.in/NewEvents/282.pdf,NA,NA,0.37%,22.76,22763,274,397000,NA
07/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9242,Samples Sent,33,NA,404,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10153,https://dhs.andaman.gov.in/NewEvents/283.pdf,NA,NA,0.36%,23.28,23280,280,397000,NA
08/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9341,Samples Sent,33,NA,279,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10169,https://t.me/indiacovid/6803?single,NA,NA,0.35%,23.53,23529,283,397000,NA
09/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9859,Samples Sent,33,NA,531,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10190,https://dhs.andaman.gov.in/NewEvents/290.pdf,NA,NA,0.33%,24.83,24834,299,397000,NA
10/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10010,Samples Sent,35,NA,382,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10214,https://dhs.andaman.gov.in/NewEvents/291.pdf,NA,NA,0.35%,25.21,25214,286,397000,NA
11/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10226,Samples Sent,38,NA,294,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10249,https://dhs.andaman.gov.in/NewEvents/292.pdf,NA,NA,0.37%,25.76,25758,269,397000,NA
12/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10697,Samples Sent,38,NA,556,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10267,https://dhs.andaman.gov.in/NewEvents/293.pdf,NA,NA,0.36%,26.94,26945,282,397000,NA
13/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10955,Samples Sent,38,NA,814,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10306,https://dhs.andaman.gov.in/NewEvents/294.pdf,NA,NA,0.35%,27.59,27594,288,397000,NA
14/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11356,Samples Sent,38,NA,1040,NA,1,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10329,https://dhs.andaman.gov.in/NewEvents/295.pdf,NA,NA,0.33%,28.6,28605,299,397000,NA
15/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11518,Samples Sent,41,NA,579,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10361,https://dhs.andaman.gov.in/NewEvents/296.pdf,NA,NA,0.36%,29.01,29013,281,397000,NA
16/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11809,Samples Sent,44,NA,719,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10405,https://dhs.andaman.gov.in/NewEvents/297.pdf,NA,NA,0.37%,29.75,29746,268,397000,NA
17/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12239,Samples Sent,44,NA,383,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10430,https://dhs.andaman.gov.in/NewEvents/298.pdf,NA,NA,0.36%,30.83,30829,278,397000,NA
18/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12622,Samples Sent,45,NA,350,NA,4,Institutional,NA,NA,NA,184,NA,NA,NA,NA,NA,10460,https://dhs.andaman.gov.in/NewEvents/299.pdf,NA,NA,0.36%,31.79,31793,280,397000,NA
19/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12930,Samples Sent,47,NA,306,NA,4,Institutional,NA,NA,NA,184,NA,NA,NA,NA,NA,10491,https://dhs.andaman.gov.in/NewEvents/300.pdf,NA,NA,0.36%,32.57,32569,275,397000,NA
20/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13320,Samples Sent,47,NA,372,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/301.pdf,NA,NA,0.35%,33.55,33552,283,397000,NA
21/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13434,Samples Sent,48,NA,437,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/302.pdf,NA,NA,0.36%,33.84,33839,280,397000,NA
