Date	State	Cases	Deaths	Recovered
2020-03-15	an	0	0	0
2020-03-16	an	0	0	0
2020-03-17	an	0	0	0
2020-03-18	an	0	0	0
2020-03-19	an	0	0	0
2020-03-20	an	0	0	0
2020-03-21	an	0	0	0
2020-03-22	an	0	0	0
2020-03-23	an	0	0	0
2020-03-24	an	0	0	0
2020-03-25	an	0	0	0
2020-03-26	an	1	0	0
2020-03-27	an	6	0	0
2020-03-28	an	9	0	0
2020-03-29	an	9	0	0
2020-03-30	an	10	0	0
2020-03-31	an	10	0	0
2020-04-01	an	10	0	0
2020-04-02	an	10	0	0
2020-04-03	an	10	0	0
2020-04-04	an	10	0	0
2020-04-05	an	10	0	0
2020-04-06	an	10	0	0
2020-04-07	an	10	0	0
2020-04-08	an	11	0	0
2020-04-09	an	11	0	10
2020-03-15	ap	1	0	0
2020-03-16	ap	1	0	0
2020-03-17	ap	1	0	0
2020-03-18	ap	1	0	0
2020-03-19	ap	3	0	0
2020-03-20	ap	3	0	0
2020-03-21	ap	5	0	0
2020-03-22	ap	6	0	0
2020-03-23	ap	7	0	0
2020-03-24	ap	8	0	0
2020-03-25	ap	10	0	1
2020-03-26	ap	11	0	1
2020-03-27	ap	13	0	1
2020-03-28	ap	19	0	1
2020-03-29	ap	21	0	1
2020-03-30	ap	23	0	1
2020-03-31	ap	44	0	1
2020-04-01	ap	111	0	2
2020-04-02	ap	149	0	2
2020-04-03	ap	164	1	2
2020-04-04	ap	192	1	2
2020-04-05	ap	252	1	5
2020-04-06	ap	303	3	5
2020-04-07	ap	314	4	5
2020-04-08	ap	348	4	6
2020-04-09	ap	363	6	10
2020-03-15	ar	0	0	0
2020-03-16	ar	0	0	0
2020-03-17	ar	0	0	0
2020-03-18	ar	0	0	0
2020-03-19	ar	0	0	0
2020-03-20	ar	0	0	0
2020-03-21	ar	0	0	0
2020-03-22	ar	0	0	0
2020-03-23	ar	0	0	0
2020-03-24	ar	0	0	0
2020-03-25	ar	0	0	0
2020-03-26	ar	0	0	0
2020-03-27	ar	0	0	0
2020-03-28	ar	0	0	0
2020-03-29	ar	0	0	0
2020-03-30	ar	0	0	0
2020-03-31	ar	0	0	0
2020-04-01	ar	0	0	0
2020-04-02	ar	1	0	0
2020-04-03	ar	1	0	0
2020-04-04	ar	1	0	0
2020-04-05	ar	1	0	0
2020-04-06	ar	1	0	0
2020-04-07	ar	1	0	0
2020-04-08	ar	1	0	0
2020-04-09	ar	1	0	0
2020-03-15	as	0	0	0
2020-03-16	as	0	0	0
2020-03-17	as	0	0	0
2020-03-18	as	0	0	0
2020-03-19	as	0	0	0
2020-03-20	as	0	0	0
2020-03-21	as	0	0	0
2020-03-22	as	0	0	0
2020-03-23	as	0	0	0
2020-03-24	as	0	0	0
2020-03-25	as	0	0	0
2020-03-26	as	0	0	0
2020-03-27	as	0	0	0
2020-03-28	as	0	0	0
2020-03-29	as	0	0	0
2020-03-30	as	0	0	0
2020-03-31	as	1	0	0
2020-04-01	as	16	0	0
2020-04-02	as	16	0	0
2020-04-03	as	23	0	0
2020-04-04	as	26	0	0
2020-04-05	as	26	0	0
2020-04-06	as	26	0	0
2020-04-07	as	28	0	0
2020-04-08	as	28	0	0
2020-04-09	as	29	0	0
2020-03-15	br	0	0	0
2020-03-16	br	0	0	0
2020-03-17	br	0	0	0
2020-03-18	br	0	0	0
2020-03-19	br	0	0	0
2020-03-20	br	0	0	0
2020-03-21	br	0	0	0
2020-03-22	br	2	1	0
2020-03-23	br	3	1	0
2020-03-24	br	3	1	0
2020-03-25	br	4	1	0
2020-03-26	br	7	1	0
2020-03-27	br	9	1	0
2020-03-28	br	11	1	0
2020-03-29	br	15	1	0
2020-03-30	br	15	1	0
2020-03-31	br	21	1	0
2020-04-01	br	24	1	0
2020-04-02	br	29	1	3
2020-04-03	br	31	1	3
2020-04-04	br	32	1	3
2020-04-05	br	32	1	3
2020-04-06	br	32	1	9
2020-04-07	br	38	1	15
2020-04-08	br	39	1	15
2020-04-09	br	58	1	15
2020-03-15	ch	0	0	0
2020-03-16	ch	0	0	0
2020-03-17	ch	0	0	0
2020-03-18	ch	0	0	0
2020-03-19	ch	1	0	0
2020-03-20	ch	5	0	0
2020-03-21	ch	5	0	0
2020-03-22	ch	6	0	0
2020-03-23	ch	7	0	0
2020-03-24	ch	7	0	0
2020-03-25	ch	7	0	0
2020-03-26	ch	7	0	0
2020-03-27	ch	8	0	0
2020-03-28	ch	8	0	0
2020-03-29	ch	8	0	0
2020-03-30	ch	13	0	0
2020-03-31	ch	15	0	0
2020-04-01	ch	17	0	0
2020-04-02	ch	18	0	0
2020-04-03	ch	18	0	0
2020-04-04	ch	18	0	3
2020-04-05	ch	18	0	5
2020-04-06	ch	18	0	5
2020-04-07	ch	18	0	7
2020-04-08	ch	18	0	7
2020-04-09	ch	18	0	7
2020-03-15	ct	0	0	0
2020-03-16	ct	0	0	0
2020-03-17	ct	0	0	0
2020-03-18	ct	0	0	0
2020-03-19	ct	1	0	0
2020-03-20	ct	1	0	0
2020-03-21	ct	1	0	0
2020-03-22	ct	1	0	0
2020-03-23	ct	1	0	0
2020-03-24	ct	1	0	0
2020-03-25	ct	3	0	0
2020-03-26	ct	6	0	0
2020-03-27	ct	6	0	0
2020-03-28	ct	7	0	0
2020-03-29	ct	7	0	0
2020-03-30	ct	8	0	0
2020-03-31	ct	9	0	2
2020-04-01	ct	9	0	2
2020-04-02	ct	9	0	3
2020-04-03	ct	9	0	3
2020-04-04	ct	10	0	3
2020-04-05	ct	10	0	8
2020-04-06	ct	10	0	8
2020-04-07	ct	10	0	9
2020-04-08	ct	10	0	9
2020-04-09	ct	18	0	9
2020-03-15	dd	0	0	0
2020-03-16	dd	0	0	0
2020-03-17	dd	0	0	0
2020-03-18	dd	0	0	0
2020-03-19	dd	0	0	0
2020-03-20	dd	0	0	0
2020-03-21	dd	0	0	0
2020-03-22	dd	0	0	0
2020-03-23	dd	0	0	0
2020-03-24	dd	0	0	0
2020-03-25	dd	0	0	0
2020-03-26	dd	0	0	0
2020-03-27	dd	0	0	0
2020-03-28	dd	0	0	0
2020-03-29	dd	0	0	0
2020-03-30	dd	0	0	0
2020-03-31	dd	0	0	0
2020-04-01	dd	0	0	0
2020-04-02	dd	0	0	0
2020-04-03	dd	0	0	0
2020-04-04	dd	0	0	0
2020-04-05	dd	0	0	0
2020-04-06	dd	0	0	0
2020-04-07	dd	0	0	0
2020-04-08	dd	0	0	0
2020-04-09	dd	0	0	0
2020-03-15	dl	7	1	2
2020-03-16	dl	7	1	2
2020-03-17	dl	8	1	2
2020-03-18	dl	10	1	2
2020-03-19	dl	14	1	3
2020-03-20	dl	20	1	5
2020-03-21	dl	27	1	5
2020-03-22	dl	27	1	5
2020-03-23	dl	30	1	5
2020-03-24	dl	30	1	6
2020-03-25	dl	35	1	6
2020-03-26	dl	36	1	6
2020-03-27	dl	40	1	6
2020-03-28	dl	49	1	6
2020-03-29	dl	72	2	6
2020-03-30	dl	97	2	6
2020-03-31	dl	120	2	6
2020-04-01	dl	152	2	6
2020-04-02	dl	293	4	8
2020-04-03	dl	386	6	8
2020-04-04	dl	445	6	16
2020-04-05	dl	503	7	16
2020-04-06	dl	525	7	16
2020-04-07	dl	576	9	20
2020-04-08	dl	669	9	21
2020-04-09	dl	720	12	25
2020-03-15	dn	0	0	0
2020-03-16	dn	0	0	0
2020-03-17	dn	0	0	0
2020-03-18	dn	0	0	0
2020-03-19	dn	0	0	0
2020-03-20	dn	0	0	0
2020-03-21	dn	0	0	0
2020-03-22	dn	0	0	0
2020-03-23	dn	0	0	0
2020-03-24	dn	0	0	0
2020-03-25	dn	0	0	0
2020-03-26	dn	0	0	0
2020-03-27	dn	0	0	0
2020-03-28	dn	0	0	0
2020-03-29	dn	0	0	0
2020-03-30	dn	0	0	0
2020-03-31	dn	0	0	0
2020-04-01	dn	0	0	0
2020-04-02	dn	0	0	0
2020-04-03	dn	0	0	0
2020-04-04	dn	0	0	0
2020-04-05	dn	0	0	0
2020-04-06	dn	1	0	0
2020-04-07	dn	1	0	0
2020-04-08	dn	1	0	0
2020-04-09	dn	1	0	0
2020-03-15	ga	0	0	0
2020-03-16	ga	0	0	0
2020-03-17	ga	0	0	0
2020-03-18	ga	0	0	0
2020-03-19	ga	0	0	0
2020-03-20	ga	0	0	0
2020-03-21	ga	0	0	0
2020-03-22	ga	0	0	0
2020-03-23	ga	0	0	0
