Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,...18,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,NA,NA,NA,NA,50,NA,NA,NA,NA,https://t.me/indiacovid/2550,NA,NA,0.86%,3.53,3534,117,397000
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,NA,246,NA,614,Institutional,347,50,NA,NA,NA,280,https://t.me/indiacovid/3147?single,NA,NA,1.01%,6.75,6748,99,397000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,NA,106,NA,724,Institutional,420,50,NA,NA,NA,298,https://t.me/indiacovid/3365?single,NA,NA,1.16%,7.17,7174,86,397000
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,NA,199,NA,643,Institutional,556,50,NA,NA,NA,340,https://t.me/indiacovid/3781,NA,NA,0.88%,9.46,9456,114,397000
16/05/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,NA,136,NA,16,Institutional,1196,98,NA,NA,NA,471,https://t.me/indiacovid/4925,NA,NA,0.49%,16.82,16819,202,397000
22/05/2020,Andaman and Nicobar Islands,7263,Samples Sent,33,7167,96,NA,0,Institutional,1215,98,NA,NA,NA,478,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,NA,NA,NA,NA,NA,NA,NA
02/04/2020,Andhra Pradesh,1800,Tested,132,1175,493,NA,NA,NA,NA,23479,2680,330,NA,NA,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,NA,NA,7.33%,4.53,4534,14,52221000
10/04/2020,Andhra Pradesh,6374,Tested,365,6009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.73%,16.06,16055,17,52221000
11/04/2020,Andhra Pradesh,6958,Tested,381,6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.48%,17.53,17526,18,52221000
12/04/2020,Andhra Pradesh,6958,Tested,405,6553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.82%,17.53,17526,17,52221000
13/04/2020,Andhra Pradesh,8755,Tested,432,8323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.93%,22.05,22053,20,52221000
14/04/2020,Andhra Pradesh,10505,Tested,473,10032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.50%,26.46,26461,22,52221000
15/04/2020,Andhra Pradesh,11613,Tested,525,11088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.52%,29.25,29252,22,52221000
16/04/2020,Andhra Pradesh,20235,Tested,534,19701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.64%,50.97,50970,38,52221000
17/04/2020,Andhra Pradesh,20235,Tested,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,https://t.me/indiacovid/2474,2.83%,50.97,50970,35,52221000
18/04/2020,Andhra Pradesh,21450,Tested,603,20487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.81%,54.03,54030,36,52221000
19/04/2020,Andhra Pradesh,26958,Tested,647,26311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.40%,67.9,67904,42,52221000
20/04/2020,Andhra Pradesh,30733,Tested,722,30011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.35%,77.41,77413,43,52221000
21/04/2020,Andhra Pradesh,35755,Tested,757,34998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.12%,90.06,90063,47,52221000
22/04/2020,Andhra Pradesh,41512,Tested,813,40699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.96%,104.56,104564,51,52221000
23/04/2020,Andhra Pradesh,48032,Tested,893,47139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.86%,120.99,120987,54,52221000
24/04/2020,Andhra Pradesh,54338,Tested,955,53383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.76%,136.87,136872,57,52221000
25/04/2020,Andhra Pradesh,61266,Tested,1016,60250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.66%,154.32,154322,60,52221000
26/04/2020,Andhra Pradesh,68034,Tested,1097,66937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.61%,171.37,171370,62,52221000
27/04/2020,Andhra Pradesh,74551,Tested,1177,73374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.58%,187.79,187786,63,52221000
28/04/2020,Andhra Pradesh,80334,Tested,1259,79075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.57%,202.35,202353,64,52221000
29/04/2020,Andhra Pradesh,88061,Tested,1332,86729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.51%,221.82,221816,66,52221000
30/04/2020,Andhra Pradesh,94558,Tested,1403,93155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.48%,238.18,238181,67,52221000
01/05/2020,Andhra Pradesh,102460,Tested,1463,100997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.43%,258.09,258086,70,52221000
