Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,...12,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,...21,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2550,NA,NA,0.86%,3.53,3534,117,397000
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,NA,246,NA,614,Institutional,347,NA,50,NA,NA,NA,NA,NA,280,https://t.me/indiacovid/3147?single,NA,NA,1.01%,6.75,6748,99,397000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,NA,106,NA,724,Institutional,420,NA,50,NA,NA,NA,NA,NA,298,https://t.me/indiacovid/3365?single,NA,NA,1.16%,7.17,7174,86,397000
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,NA,199,NA,643,Institutional,556,NA,50,NA,NA,NA,NA,NA,340,https://t.me/indiacovid/3781,NA,NA,0.88%,9.46,9456,114,397000
16/05/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,NA,136,NA,16,Institutional,1196,NA,98,NA,NA,NA,NA,NA,471,https://t.me/indiacovid/4925,NA,NA,0.49%,16.82,16819,202,397000
22/05/2020,Andaman and Nicobar Islands,7263,Samples Sent,33,7167,96,NA,0,Institutional,1215,NA,98,NA,NA,NA,NA,NA,478,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,NA,NA,0.45%,18.29,18295,220,397000
02/04/2020,Andhra Pradesh,1800,Tested,132,1175,493,NA,NA,NA,NA,NA,23479,2680,330,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,NA,NA,7.33%,0.03,34,14,52221000
10/04/2020,Andhra Pradesh,6374,Tested,365,6009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.73%,0.12,122,17,52221000
11/04/2020,Andhra Pradesh,6958,Tested,381,6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.48%,0.13,133,18,52221000
12/04/2020,Andhra Pradesh,6958,Tested,405,6553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.82%,0.13,133,17,52221000
13/04/2020,Andhra Pradesh,8755,Tested,432,8323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.93%,0.17,168,20,52221000
14/04/2020,Andhra Pradesh,10505,Tested,473,10032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.50%,0.2,201,22,52221000
15/04/2020,Andhra Pradesh,11613,Tested,525,11088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.52%,0.22,222,22,52221000
16/04/2020,Andhra Pradesh,20235,Tested,534,19701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.64%,0.39,387,38,52221000
17/04/2020,Andhra Pradesh,20235,Tested,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,https://t.me/indiacovid/2474,2.83%,0.39,387,35,52221000
18/04/2020,Andhra Pradesh,21450,Tested,603,20487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.81%,0.41,411,36,52221000
19/04/2020,Andhra Pradesh,26958,Tested,647,26311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.40%,0.52,516,42,52221000
