Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,True,4778,NA,Observed,solid,Apr  6,"4,778","NA",FALSE,"Apr  6: 4,778 observed cases"
2020-04-07,True,5311,NA,Observed,solid,Apr  7,"5,311","NA",FALSE,"Apr  7: 5,311 observed cases"
2020-04-08,mod_2,5271,35968,Social distancing,solid,Apr  8,"5,271","35,968",FALSE,"Apr  8: 5,271 projected cases<br>Projection upper CI: 35,968 cases<br>"
2020-04-08,mod_3,5462,37086,No intervention,solid,Apr  8,"5,462","37,086",FALSE,"Apr  8: 5,462 projected cases<br>Projection upper CI: 37,086 cases<br>"
2020-04-08,mod_4,5274,36201,Lockdown with moderate return,solid,Apr  8,"5,274","36,201",TRUE,"Apr  8: 5,274 projected cases<br>Projection upper CI: 36,201 cases<br>"
2020-04-09,mod_2,5821,39015,Social distancing,solid,Apr  9,"5,821","39,015",FALSE,"Apr  9: 5,821 projected cases<br>Projection upper CI: 39,015 cases<br>"
2020-04-09,mod_3,6184,40825,No intervention,solid,Apr  9,"6,184","40,825",FALSE,"Apr  9: 6,184 projected cases<br>Projection upper CI: 40,825 cases<br>"
2020-04-09,mod_4,5776,39052,Lockdown with moderate return,solid,Apr  9,"5,776","39,052",TRUE,"Apr  9: 5,776 projected cases<br>Projection upper CI: 39,052 cases<br>"
2020-04-10,mod_2,6421,42532,Social distancing,solid,Apr 10,"6,421","42,532",FALSE,"Apr 10: 6,421 projected cases<br>Projection upper CI: 42,532 cases<br>"
2020-04-10,mod_3,7006,45158,No intervention,solid,Apr 10,"7,006","45,158",FALSE,"Apr 10: 7,006 projected cases<br>Projection upper CI: 45,158 cases<br>"
2020-04-10,mod_4,6274,41899,Lockdown with moderate return,solid,Apr 10,"6,274","41,899",TRUE,"Apr 10: 6,274 projected cases<br>Projection upper CI: 41,899 cases<br>"
2020-04-11,mod_2,7071,46431,Social distancing,solid,Apr 11,"7,071","46,431",FALSE,"Apr 11: 7,071 projected cases<br>Projection upper CI: 46,431 cases<br>"
2020-04-11,mod_3,7960,50597,No intervention,solid,Apr 11,"7,960","50,597",FALSE,"Apr 11: 7,960 projected cases<br>Projection upper CI: 50,597 cases<br>"
2020-04-11,mod_4,6753,45060,Lockdown with moderate return,solid,Apr 11,"6,753","45,060",TRUE,"Apr 11: 6,753 projected cases<br>Projection upper CI: 45,060 cases<br>"
2020-04-12,mod_2,7786,50949,Social distancing,solid,Apr 12,"7,786","50,949",FALSE,"Apr 12: 7,786 projected cases<br>Projection upper CI: 50,949 cases<br>"
2020-04-12,mod_3,9077,56585,No intervention,solid,Apr 12,"9,077","56,585",FALSE,"Apr 12: 9,077 projected cases<br>Projection upper CI: 56,585 cases<br>"
2020-04-12,mod_4,7205,48253,Lockdown with moderate return,solid,Apr 12,"7,205","48,253",TRUE,"Apr 12: 7,205 projected cases<br>Projection upper CI: 48,253 cases<br>"
2020-04-13,mod_2,8585,55620,Social distancing,solid,Apr 13,"8,585","55,620",FALSE,"Apr 13: 8,585 projected cases<br>Projection upper CI: 55,620 cases<br>"
2020-04-13,mod_3,10408,64476,No intervention,solid,Apr 13,"10,408","64,476",FALSE,"Apr 13: 10,408 projected cases<br>Projection upper CI: 64,476 cases<br>"
2020-04-13,mod_4,7633,50234,Lockdown with moderate return,solid,Apr 13,"7,633","50,234",TRUE,"Apr 13: 7,633 projected cases<br>Projection upper CI: 50,234 cases<br>"
2020-04-14,mod_2,9482,61483,Social distancing,solid,Apr 14,"9,482","61,483",FALSE,"Apr 14: 9,482 projected cases<br>Projection upper CI: 61,483 cases<br>"
2020-04-14,mod_3,11999,74403,No intervention,solid,Apr 14,"11,999","74,403",FALSE,"Apr 14: 11,999 projected cases<br>Projection upper CI: 74,403 cases<br>"
