place,date,first_dose,second_dose,total_doses,source,raw_timestamp,pull_time,precaution_dose
Andaman and Nicobar Islands,2021-01-16,225,0,225,covid19india,,,
Andaman and Nicobar Islands,2021-01-18,442,0,442,covid19india,,,
Andaman and Nicobar Islands,2021-01-19,644,0,644,covid19india,,,
Andaman and Nicobar Islands,2021-01-20,644,0,644,covid19india,,,
Andaman and Nicobar Islands,2021-01-21,1032,0,1032,covid19india,,,
Andaman and Nicobar Islands,2021-01-22,1466,0,1466,covid19india,,,
Andaman and Nicobar Islands,2021-01-23,1998,0,1998,covid19india,,,
Andaman and Nicobar Islands,2021-01-24,2019,0,2019,covid19india,,,
Andaman and Nicobar Islands,2021-01-25,2369,0,2369,covid19india,,,
Andaman and Nicobar Islands,2021-01-26,2369,0,2369,covid19india,,,
Andaman and Nicobar Islands,2021-01-27,2385,0,2385,covid19india,,,
Andaman and Nicobar Islands,2021-01-28,2656,0,2656,covid19india,,,
Andaman and Nicobar Islands,2021-01-29,2727,0,2727,covid19india,,,
Andaman and Nicobar Islands,2021-01-30,2727,0,2727,covid19india,,,
Andaman and Nicobar Islands,2021-01-31,2727,0,2727,covid19india,,,
Andaman and Nicobar Islands,2021-02-01,2727,0,2727,covid19india,,,
Andaman and Nicobar Islands,2021-02-02,2727,0,2727,covid19india,,,
Andaman and Nicobar Islands,2021-02-03,2772,0,2772,covid19india,,,
Andaman and Nicobar Islands,2021-02-04,2938,0,2938,covid19india,,,
Andaman and Nicobar Islands,2021-02-05,3161,0,3161,covid19india,,,
Andaman and Nicobar Islands,2021-02-06,3161,0,3161,covid19india,,,
Andaman and Nicobar Islands,2021-02-07,3397,0,3397,covid19india,,,
Andaman and Nicobar Islands,2021-02-08,3397,0,3397,covid19india,,,
Andaman and Nicobar Islands,2021-02-09,3413,0,3413,covid19india,,,
Andaman and Nicobar Islands,2021-02-10,3413,0,3413,covid19india,,,
Andaman and Nicobar Islands,2021-02-11,3454,0,3454,covid19india,,,
Andaman and Nicobar Islands,2021-02-12,3454,0,3454,covid19india,,,
Andaman and Nicobar Islands,2021-02-13,3646,0,3646,covid19india,,,
Andaman and Nicobar Islands,2021-02-14,3646,0,3646,covid19india,,,
Andaman and Nicobar Islands,2021-02-15,3847,182,4029,covid19india,,,
Andaman and Nicobar Islands,2021-02-16,3847,182,4029,covid19india,,,
Andaman and Nicobar Islands,2021-02-17,4045,182,4227,covid19india,,,
Andaman and Nicobar Islands,2021-02-18,4347,495,4842,covid19india,,,
Andaman and Nicobar Islands,2021-02-19,4453,895,5348,covid19india,,,
Andaman and Nicobar Islands,2021-02-20,4846,1306,6152,covid19india,,,
Andaman and Nicobar Islands,2021-02-21,4846,1306,6152,covid19india,,,
Andaman and Nicobar Islands,2021-02-22,5442,1870,7312,covid19india,,,
Andaman and Nicobar Islands,2021-02-23,5565,2018,7583,covid19india,,,
Andaman and Nicobar Islands,2021-02-24,5644,2118,7762,covid19india,,,
Andaman and Nicobar Islands,2021-02-25,6034,2385,8419,covid19india,,,
Andaman and Nicobar Islands,2021-02-26,6134,2422,8556,covid19india,,,
