Dates	variable	value	upper_ci	color	type	State
2020-03-15	True	NA	NA	Observed	solid	ap
2020-03-16	True	0	NA	Observed	solid	ap
2020-03-17	True	0	NA	Observed	solid	ap
2020-03-18	True	0	NA	Observed	solid	ap
2020-03-19	True	2	NA	Observed	solid	ap
2020-03-20	True	0	NA	Observed	solid	ap
2020-03-21	True	2	NA	Observed	solid	ap
2020-03-22	True	1	NA	Observed	solid	ap
2020-03-23	True	1	NA	Observed	solid	ap
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid	ap
2020-03-23	mod_2_up	499	NA	NA	solid	ap
2020-03-23	mod_3	499	NA	No Intervention	solid	ap
2020-03-23	mod_3_up	499	NA	NA	solid	ap
2020-03-23	mod_4	499	NA	Moderate return	solid	ap
2020-03-23	mod_4_up	499	NA	NA	solid	ap
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid	ap
2020-03-23	mod_5_up	499	NA	NA	solid	ap
2020-03-23	mod_6	499	NA	Cautious return	solid	ap
2020-03-23	mod_6_up	499	NA	NA	solid	ap
2020-03-24	True	1	NA	Observed	solid	ap
2020-03-25	True	2	NA	Observed	solid	ap
2020-03-26	True	1	NA	Observed	solid	ap
2020-03-27	True	2	NA	Observed	solid	ap
2020-03-28	True	6	NA	Observed	solid	ap
2020-03-29	True	2	NA	Observed	solid	ap
2020-03-30	True	2	NA	Observed	solid	ap
2020-03-31	True	21	NA	Observed	solid	ap
2020-04-01	True	67	NA	Observed	solid	ap
2020-04-02	True	38	NA	Observed	solid	ap
2020-04-03	True	15	NA	Observed	solid	ap
2020-04-04	True	28	NA	Observed	solid	ap
2020-04-05	True	64	NA	Observed	solid	ap
2020-04-06	True	47	NA	Observed	solid	ap
2020-04-07	True	11	NA	Observed	solid	ap
2020-04-08	True	34	NA	Observed	solid	ap
2020-04-09	True	15	NA	Observed	solid	ap
2020-04-10	True	18	NA	Observed	solid	ap
2020-04-11	True	24	NA	Observed	solid	ap
2020-04-12	True	15	NA	Observed	solid	ap
2020-04-13	True	19	NA	Observed	solid	ap
2020-04-14	True	45	NA	Observed	solid	ap
2020-04-15	True	41	NA	Observed	solid	ap
2020-04-16	True	9	NA	Observed	solid	ap
2020-04-17	True	38	NA	Observed	solid	ap
2020-04-18	True	31	NA	Observed	solid	ap
2020-04-19	True	44	NA	Observed	solid	ap
2020-04-20	True	75	NA	Observed	solid	ap
2020-04-21	True	35	NA	Observed	solid	ap
2020-04-22	True	56	NA	Observed	solid	ap
2020-04-23	True	80	NA	Observed	solid	ap
2020-04-24	True	62	NA	Observed	solid	ap
2020-04-25	True	61	NA	Observed	solid	ap
