Dates	variable	value	upper_ci	color	type	date.fmt	val.fmt	ci.fmt	text
2020-04-30	mod_2	106920	613994	Soc. Dist. + Travel Ban	solid	Apr 30	106,920	613,994	Apr 30: 106,920 projected total cases<br>Projection upper CI: 613,994 cases<br>
2020-04-30	mod_4	11428	75613	Moderate return	solid	Apr 30	11,428	75,613	Apr 30: 11,428 projected total cases<br>Projection upper CI: 75,613 cases<br>
2020-04-30	mod_5	11323	74994	Normal (pre-intervention)	solid	Apr 30	11,323	74,994	Apr 30: 11,323 projected total cases<br>Projection upper CI: 74,994 cases<br>
2020-04-30	mod_6	11105	75033	Cautious return	solid	Apr 30	11,105	75,033	Apr 30: 11,105 projected total cases<br>Projection upper CI: 75,033 cases<br>
2020-05-01	mod_2	122649	730191	Soc. Dist. + Travel Ban	solid	May 01	122,649	730,191	May 01: 122,649 projected total cases<br>Projection upper CI: 730,191 cases<br>
2020-05-01	mod_4	12025	78672	Moderate return	solid	May 01	12,025	78,672	May 01: 12,025 projected total cases<br>Projection upper CI: 78,672 cases<br>
2020-05-01	mod_5	11949	77804	Normal (pre-intervention)	solid	May 01	11,949	77,804	May 01: 11,949 projected total cases<br>Projection upper CI: 77,804 cases<br>
2020-05-01	mod_6	11652	77678	Cautious return	solid	May 01	11,652	77,678	May 01: 11,652 projected total cases<br>Projection upper CI: 77,678 cases<br>
2020-05-02	mod_2	139777	866277	Soc. Dist. + Travel Ban	solid	May 02	139,777	866,277	May 02: 139,777 projected total cases<br>Projection upper CI: 866,277 cases<br>
2020-05-02	mod_4	12697	82273	Moderate return	solid	May 02	12,697	82,273	May 02: 12,697 projected total cases<br>Projection upper CI: 82,273 cases<br>
2020-05-02	mod_5	12672	81679	Normal (pre-intervention)	solid	May 02	12,672	81,679	May 02: 12,672 projected total cases<br>Projection upper CI: 81,679 cases<br>
2020-05-02	mod_6	12243	81360	Cautious return	solid	May 02	12,243	81,360	May 02: 12,243 projected total cases<br>Projection upper CI: 81,360 cases<br>
