Dates,variable,value,ref,Date.fmt,Val.fmt,Ref.fmt,text,i,j
2020-03-01,Observed,3,NA,Mar  1,3,"NA",Mar  1: 3 observed cases,TRUE,FALSE
2020-03-02,Observed,5,NA,Mar  2,5,"NA",Mar  2: 5 observed cases,TRUE,FALSE
2020-03-03,Observed,5,NA,Mar  3,5,"NA",Mar  3: 5 observed cases,TRUE,FALSE
2020-03-04,Observed,28,NA,Mar  4,28,"NA",Mar  4: 28 observed cases,TRUE,FALSE
2020-03-05,Observed,30,NA,Mar  5,30,"NA",Mar  5: 30 observed cases,TRUE,FALSE
2020-03-06,Observed,31,NA,Mar  6,31,"NA",Mar  6: 31 observed cases,TRUE,FALSE
2020-03-07,Observed,34,NA,Mar  7,34,"NA",Mar  7: 34 observed cases,TRUE,FALSE
2020-03-08,Observed,39,NA,Mar  8,39,"NA",Mar  8: 39 observed cases,TRUE,FALSE
2020-03-09,Observed,43,NA,Mar  9,43,"NA",Mar  9: 43 observed cases,TRUE,FALSE
2020-03-10,Observed,56,NA,Mar 10,56,"NA",Mar 10: 56 observed cases,TRUE,FALSE
2020-03-11,Observed,62,NA,Mar 11,62,"NA",Mar 11: 62 observed cases,TRUE,FALSE
2020-03-12,Observed,73,NA,Mar 12,73,"NA",Mar 12: 73 observed cases,TRUE,FALSE
2020-03-13,Observed,82,NA,Mar 13,82,"NA",Mar 13: 82 observed cases,TRUE,FALSE
2020-03-14,Observed,102,NA,Mar 14,102,"NA",Mar 14: 102 observed cases,TRUE,FALSE
2020-03-15,Observed,113,NA,Mar 15,113,"NA",Mar 15: 113 observed cases,TRUE,FALSE
2020-03-16,Observed,119,NA,Mar 16,119,"NA",Mar 16: 119 observed cases,TRUE,FALSE
2020-03-17,Observed,142,NA,Mar 17,142,"NA",Mar 17: 142 observed cases,TRUE,FALSE
2020-03-18,Observed,156,NA,Mar 18,156,"NA",Mar 18: 156 observed cases,TRUE,FALSE
2020-03-19,Observed,194,NA,Mar 19,194,"NA",Mar 19: 194 observed cases,TRUE,FALSE
2020-03-20,Observed,244,NA,Mar 20,244,"NA",Mar 20: 244 observed cases,TRUE,FALSE
2020-03-21,Observed,330,NA,Mar 21,330,"NA",Mar 21: 330 observed cases,TRUE,FALSE
2020-03-22,Observed,396,NA,Mar 22,396,"NA",Mar 22: 396 observed cases,TRUE,FALSE
2020-03-23,Observed,499,NA,Mar 23,499,"NA",Mar 23: 499 observed cases,TRUE,FALSE
2020-03-24,Observed,536,NA,Mar 24,536,"NA",Mar 24: 536 observed cases,TRUE,FALSE
2020-03-25,Observed,657,NA,Mar 25,657,"NA",Mar 25: 657 observed cases,TRUE,FALSE
2020-03-26,Observed,727,NA,Mar 26,727,"NA",Mar 26: 727 observed cases,TRUE,FALSE
2020-03-27,Observed,887,NA,Mar 27,887,"NA",Mar 27: 887 observed cases,TRUE,FALSE
2020-03-28,Observed,987,NA,Mar 28,987,"NA",Mar 28: 987 observed cases,TRUE,FALSE
2020-03-29,Observed,1024,NA,Mar 29,"1,024","NA","Mar 29: 1,024 observed cases",TRUE,FALSE
2020-03-30,Observed,1251,NA,Mar 30,"1,251","NA","Mar 30: 1,251 observed cases",TRUE,FALSE
