Dates	variable	value	upper_ci	color	type	date.fmt	val.fmt	ci.fmt	text
2020-04-30	mod_2	109222	627024	Soc. Dist. + Travel Ban	solid	Apr 30	109,222	627,024	Apr 30: 109,222 projected total cases<br>Projection upper CI: 627,024 cases<br>
2020-04-30	mod_4	4668	37496	Moderate return	solid	Apr 30	4,668	37,496	Apr 30: 4,668 projected total cases<br>Projection upper CI: 37,496 cases<br>
2020-04-30	mod_5	5009	38771	Normal (pre-intervention)	solid	Apr 30	5,009	38,771	Apr 30: 5,009 projected total cases<br>Projection upper CI: 38,771 cases<br>
2020-04-30	mod_6	4503	35865	Cautious return	solid	Apr 30	4,503	35,865	Apr 30: 4,503 projected total cases<br>Projection upper CI: 35,865 cases<br>
2020-05-01	mod_2	125877	749104	Soc. Dist. + Travel Ban	solid	May 01	125,877	749,104	May 01: 125,877 projected total cases<br>Projection upper CI: 749,104 cases<br>
2020-05-01	mod_4	4975	39220	Moderate return	solid	May 01	4,975	39,220	May 01: 4,975 projected total cases<br>Projection upper CI: 39,220 cases<br>
2020-05-01	mod_5	5484	41397	Normal (pre-intervention)	solid	May 01	5,484	41,397	May 01: 5,484 projected total cases<br>Projection upper CI: 41,397 cases<br>
2020-05-01	mod_6	4738	37185	Cautious return	solid	May 01	4,738	37,185	May 01: 4,738 projected total cases<br>Projection upper CI: 37,185 cases<br>
2020-05-02	mod_2	144081	893575	Soc. Dist. + Travel Ban	solid	May 02	144,081	893,575	May 02: 144,081 projected total cases<br>Projection upper CI: 893,575 cases<br>
2020-05-02	mod_4	5334	40877	Moderate return	solid	May 02	5,334	40,877	May 02: 5,334 projected total cases<br>Projection upper CI: 40,877 cases<br>
2020-05-02	mod_5	6089	44480	Normal (pre-intervention)	solid	May 02	6,089	44,480	May 02: 6,089 projected total cases<br>Projection upper CI: 44,480 cases<br>
2020-05-02	mod_6	5004	39054	Cautious return	solid	May 02	5,004	39,054	May 02: 5,004 projected total cases<br>Projection upper CI: 39,054 cases<br>
2020-05-03	mod_2	163821	1072530	Soc. Dist. + Travel Ban	solid	May 03	163,821	1,072,530	May 03: 163,821 projected total cases<br>Projection upper CI: 1,072,530 cases<br>
2020-05-03	mod_4	5769	43586	Moderate return	solid	May 03	5,769	43,586	May 03: 5,769 projected total cases<br>Projection upper CI: 43,586 cases<br>
2020-05-03	mod_5	6869	47912	Normal (pre-intervention)	solid	May 03	6,869	47,912	May 03: 6,869 projected total cases<br>Projection upper CI: 47,912 cases<br>
2020-05-03	mod_6	5304	40493	Cautious return	solid	May 03	5,304	40,493	May 03: 5,304 projected total cases<br>Projection upper CI: 40,493 cases<br>
2020-05-04	mod_2	185110	1278871	Soc. Dist. + Travel Ban	solid	May 04	185,110	1,278,871	May 04: 185,110 projected total cases<br>Projection upper CI: 1,278,871 cases<br>
2020-05-04	mod_4	6297	46070	Moderate return	solid	May 04	6,297	46,070	May 04: 6,297 projected total cases<br>Projection upper CI: 46,070 cases<br>
2020-05-04	mod_5	7888	52223	Normal (pre-intervention)	solid	May 04	7,888	52,223	May 04: 7,888 projected total cases<br>Projection upper CI: 52,223 cases<br>
2020-05-04	mod_6	5644	42469	Cautious return	solid	May 04	5,644	42,469	May 04: 5,644 projected total cases<br>Projection upper CI: 42,469 cases<br>
