Country	Recovered	Confirmed	Deaths	Date
Hong Kong	0	0	0	2020-01-22
Japan	0	2	0	2020-01-22
Macau	0	1	0	2020-01-22
Mainland China	28	547	17	2020-01-22
South Korea	0	1	0	2020-01-22
Taiwan	0	1	0	2020-01-22
Thailand	0	2	0	2020-01-22
US	0	1	0	2020-01-22
Australia	0	0	0	2020-01-23
Brazil	0	0	0	2020-01-23
Colombia	0	0	0	2020-01-23
Hong Kong	0	2	0	2020-01-23
Japan	0	1	0	2020-01-23
Macau	0	2	0	2020-01-23
Mainland China	30	639	18	2020-01-23
Malaysia	0	0	0	2020-01-23
Mexico	0	0	0	2020-01-23
Philippines	0	0	0	2020-01-23
Singapore	0	1	0	2020-01-23
South Korea	0	1	0	2020-01-23
Taiwan	0	1	0	2020-01-23
Thailand	0	3	0	2020-01-23
US	0	1	0	2020-01-23
Vietnam	0	2	0	2020-01-23
France	0	2	0	2020-01-24
Hong Kong	0	2	0	2020-01-24
Japan	0	2	0	2020-01-24
Macau	0	2	0	2020-01-24
Mainland China	36	916	26	2020-01-24
Singapore	0	3	0	2020-01-24
South Korea	0	2	0	2020-01-24
Taiwan	0	3	0	2020-01-24
Thailand	0	5	0	2020-01-24
US	0	2	0	2020-01-24
Vietnam	0	2	0	2020-01-24
Australia	0	4	0	2020-01-25
France	0	3	0	2020-01-25
Hong Kong	0	5	0	2020-01-25
Japan	0	2	0	2020-01-25
Macau	0	2	0	2020-01-25
Mainland China	39	1399	42	2020-01-25
Malaysia	0	3	0	2020-01-25
Nepal	0	1	0	2020-01-25
Singapore	0	3	0	2020-01-25
South Korea	0	2	0	2020-01-25
Taiwan	0	3	0	2020-01-25
Thailand	0	7	0	2020-01-25
US	0	2	0	2020-01-25
Vietnam	0	2	0	2020-01-25
Australia	0	4	0	2020-01-26
Canada	0	1	0	2020-01-26
France	0	3	0	2020-01-26
Hong Kong	0	8	0	2020-01-26
Japan	1	4	0	2020-01-26
Macau	0	5	0	2020-01-26
Mainland China	49	2062	56	2020-01-26
Malaysia	0	4	0	2020-01-26
Nepal	0	1	0	2020-01-26
Singapore	0	4	0	2020-01-26
South Korea	0	3	0	2020-01-26
Taiwan	0	4	0	2020-01-26
Thailand	2	8	0	2020-01-26
US	0	5	0	2020-01-26
Vietnam	0	2	0	2020-01-26
Australia	0	5	0	2020-01-27
Cambodia	0	1	0	2020-01-27
Canada	0	1	0	2020-01-27
France	0	3	0	2020-01-27
