Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,5695,28346,Soc. Dist. + Travel Ban,solid,Apr 30,"5,695","Apr 30: 5,695 projected cases per day"
2020-04-30,mod_4,193,2020,Moderate return,solid,Apr 30,193,Apr 30: 193 projected cases per day
2020-04-30,mod_5,200,1525,Normal (pre-intervention),solid,Apr 30,200,Apr 30: 200 projected cases per day
2020-04-30,mod_6,198,1846,Cautious return,solid,Apr 30,198,Apr 30: 198 projected cases per day
2020-05-01,mod_2,6763,33922,Soc. Dist. + Travel Ban,solid,May 01,"6,763","May 01: 6,763 projected cases per day"
2020-05-01,mod_4,203,1991,Moderate return,solid,May 01,203,May 01: 203 projected cases per day
2020-05-01,mod_5,217,2090,Normal (pre-intervention),solid,May 01,217,May 01: 217 projected cases per day
2020-05-01,mod_6,190,1707,Cautious return,solid,May 01,190,May 01: 190 projected cases per day
2020-05-02,mod_2,7931,40550,Soc. Dist. + Travel Ban,solid,May 02,"7,931","May 02: 7,931 projected cases per day"
2020-05-02,mod_4,213,1133,Moderate return,solid,May 02,213,May 02: 213 projected cases per day
2020-05-02,mod_5,234,1909,Normal (pre-intervention),solid,May 02,234,May 02: 234 projected cases per day
2020-05-02,mod_6,205,1449,Cautious return,solid,May 02,205,May 02: 205 projected cases per day
2020-05-03,mod_2,9277,45723,Soc. Dist. + Travel Ban,solid,May 03,"9,277","May 03: 9,277 projected cases per day"
2020-05-03,mod_4,226,2232,Moderate return,solid,May 03,226,May 03: 226 projected cases per day
2020-05-03,mod_5,242,2589,Normal (pre-intervention),solid,May 03,242,May 03: 242 projected cases per day
2020-05-03,mod_6,219,1183,Cautious return,solid,May 03,219,May 03: 219 projected cases per day
2020-05-04,mod_2,10747,54109,Soc. Dist. + Travel Ban,solid,May 04,"10,747","May 04: 10,747 projected cases per day"
2020-05-04,mod_4,240,2162,Moderate return,solid,May 04,240,May 04: 240 projected cases per day
2020-05-04,mod_5,281,1944,Normal (pre-intervention),solid,May 04,281,May 04: 281 projected cases per day
2020-05-04,mod_6,225,2419,Cautious return,solid,May 04,225,May 04: 225 projected cases per day
2020-05-05,mod_2,12341,63286,Soc. Dist. + Travel Ban,solid,May 05,"12,341","May 05: 12,341 projected cases per day"
2020-05-05,mod_4,262,1827,Moderate return,solid,May 05,262,May 05: 262 projected cases per day
2020-05-05,mod_5,319,2719,Normal (pre-intervention),solid,May 05,319,May 05: 319 projected cases per day
2020-05-05,mod_6,244,2044,Cautious return,solid,May 05,244,May 05: 244 projected cases per day
2020-05-06,mod_2,14076,68420,Soc. Dist. + Travel Ban,solid,May 06,"14,076","May 06: 14,076 projected cases per day"
2020-05-06,mod_4,288,2725,Moderate return,solid,May 06,288,May 06: 288 projected cases per day
2020-05-06,mod_5,368,3236,Normal (pre-intervention),solid,May 06,368,May 06: 368 projected cases per day
2020-05-06,mod_6,253,2140,Cautious return,solid,May 06,253,May 06: 253 projected cases per day
2020-05-07,mod_2,15895,85188,Soc. Dist. + Travel Ban,solid,May 07,"15,895","May 07: 15,895 projected cases per day"
2020-05-07,mod_4,317,3110,Moderate return,solid,May 07,317,May 07: 317 projected cases per day
2020-05-07,mod_5,417,3215,Normal (pre-intervention),solid,May 07,417,May 07: 417 projected cases per day
2020-05-07,mod_6,264,2047,Cautious return,solid,May 07,264,May 07: 264 projected cases per day
2020-05-08,mod_2,17838,95913,Soc. Dist. + Travel Ban,solid,May 08,"17,838","May 08: 17,838 projected cases per day"
2020-05-08,mod_4,350,2145,Moderate return,solid,May 08,350,May 08: 350 projected cases per day
2020-05-08,mod_5,491,3018,Normal (pre-intervention),solid,May 08,491,May 08: 491 projected cases per day
2020-05-08,mod_6,285,2713,Cautious return,solid,May 08,285,May 08: 285 projected cases per day
2020-05-09,mod_2,19839,112305,Soc. Dist. + Travel Ban,solid,May 09,"19,839","May 09: 19,839 projected cases per day"
2020-05-09,mod_4,398,3185,Moderate return,solid,May 09,398,May 09: 398 projected cases per day
2020-05-09,mod_5,581,4888,Normal (pre-intervention),solid,May 09,581,May 09: 581 projected cases per day
2020-05-09,mod_6,305,2255,Cautious return,solid,May 09,305,May 09: 305 projected cases per day
2020-05-10,mod_2,21961,125318,Soc. Dist. + Travel Ban,solid,May 10,"21,961","May 10: 21,961 projected cases per day"
2020-05-10,mod_4,447,3471,Moderate return,solid,May 10,447,May 10: 447 projected cases per day
2020-05-10,mod_5,688,4758,Normal (pre-intervention),solid,May 10,688,May 10: 688 projected cases per day
2020-05-10,mod_6,334,2621,Cautious return,solid,May 10,334,May 10: 334 projected cases per day
2020-05-11,mod_2,24138,150314,Soc. Dist. + Travel Ban,solid,May 11,"24,138","May 11: 24,138 projected cases per day"
2020-05-11,mod_4,518,3717,Moderate return,solid,May 11,518,May 11: 518 projected cases per day
2020-05-11,mod_5,865,5578,Normal (pre-intervention),solid,May 11,865,May 11: 865 projected cases per day
2020-05-11,mod_6,357,2328,Cautious return,solid,May 11,357,May 11: 357 projected cases per day
2020-05-12,mod_2,26370,174591,Soc. Dist. + Travel Ban,solid,May 12,"26,370","May 12: 26,370 projected cases per day"
2020-05-12,mod_4,588,4772,Moderate return,solid,May 12,588,May 12: 588 projected cases per day
2020-05-12,mod_5,1077,6465,Normal (pre-intervention),solid,May 12,"1,077","May 12: 1,077 projected cases per day"
2020-05-12,mod_6,405,2953,Cautious return,solid,May 12,405,May 12: 405 projected cases per day
2020-05-13,mod_2,28666,197983,Soc. Dist. + Travel Ban,solid,May 13,"28,666","May 13: 28,666 projected cases per day"
2020-05-13,mod_4,668,3733,Moderate return,solid,May 13,668,May 13: 668 projected cases per day
2020-05-13,mod_5,1371,7367,Normal (pre-intervention),solid,May 13,"1,371","May 13: 1,371 projected cases per day"
2020-05-13,mod_6,440,3618,Cautious return,solid,May 13,440,May 13: 440 projected cases per day
2020-05-14,mod_2,31021,225519,Soc. Dist. + Travel Ban,solid,May 14,"31,021","May 14: 31,021 projected cases per day"
2020-05-14,mod_4,786,4609,Moderate return,solid,May 14,786,May 14: 786 projected cases per day
2020-05-14,mod_5,1742,8908,Normal (pre-intervention),solid,May 14,"1,742","May 14: 1,742 projected cases per day"
