Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,74167,425061,Soc. Dist. + Travel Ban,solid,Apr 30,"74,167","425,061","Apr 30: 74,167 projected total cases<br>Projection upper CI: 425,061 cases<br>"
2020-04-30,mod_4,8904,66272,Moderate return,solid,Apr 30,"8,904","66,272","Apr 30: 8,904 projected total cases<br>Projection upper CI: 66,272 cases<br>"
2020-04-30,mod_5,8961,66333,Normal (pre-intervention),solid,Apr 30,"8,961","66,333","Apr 30: 8,961 projected total cases<br>Projection upper CI: 66,333 cases<br>"
2020-04-30,mod_6,8934,65923,Cautious return,solid,Apr 30,"8,934","65,923","Apr 30: 8,934 projected total cases<br>Projection upper CI: 65,923 cases<br>"
2020-05-01,mod_2,88302,500756,Soc. Dist. + Travel Ban,solid,May 01,"88,302","500,756","May 01: 88,302 projected total cases<br>Projection upper CI: 500,756 cases<br>"
2020-05-01,mod_4,9109,67664,Moderate return,solid,May 01,"9,109","67,664","May 01: 9,109 projected total cases<br>Projection upper CI: 67,664 cases<br>"
2020-05-01,mod_5,9184,68709,Normal (pre-intervention),solid,May 01,"9,184","68,709","May 01: 9,184 projected total cases<br>Projection upper CI: 68,709 cases<br>"
2020-05-01,mod_6,9121,67916,Cautious return,solid,May 01,"9,121","67,916","May 01: 9,121 projected total cases<br>Projection upper CI: 67,916 cases<br>"
2020-05-02,mod_2,104800,594033,Soc. Dist. + Travel Ban,solid,May 02,"104,800","594,033","May 02: 104,800 projected total cases<br>Projection upper CI: 594,033 cases<br>"
2020-05-02,mod_4,9326,69722,Moderate return,solid,May 02,"9,326","69,722","May 02: 9,326 projected total cases<br>Projection upper CI: 69,722 cases<br>"
2020-05-02,mod_5,9426,70946,Normal (pre-intervention),solid,May 02,"9,426","70,946","May 02: 9,426 projected total cases<br>Projection upper CI: 70,946 cases<br>"
2020-05-02,mod_6,9322,69414,Cautious return,solid,May 02,"9,322","69,414","May 02: 9,322 projected total cases<br>Projection upper CI: 69,414 cases<br>"
2020-05-03,mod_2,123902,694056,Soc. Dist. + Travel Ban,solid,May 03,"123,902","694,056","May 03: 123,902 projected total cases<br>Projection upper CI: 694,056 cases<br>"
2020-05-03,mod_4,9554,71307,Moderate return,solid,May 03,"9,554","71,307","May 03: 9,554 projected total cases<br>Projection upper CI: 71,307 cases<br>"
2020-05-03,mod_5,9689,73013,Normal (pre-intervention),solid,May 03,"9,689","73,013","May 03: 9,689 projected total cases<br>Projection upper CI: 73,013 cases<br>"
2020-05-03,mod_6,9531,70990,Cautious return,solid,May 03,"9,531","70,990","May 03: 9,531 projected total cases<br>Projection upper CI: 70,990 cases<br>"
2020-05-04,mod_2,145830,820416,Soc. Dist. + Travel Ban,solid,May 04,"145,830","820,416","May 04: 145,830 projected total cases<br>Projection upper CI: 820,416 cases<br>"
2020-05-04,mod_4,9800,73974,Moderate return,solid,May 04,"9,800","73,974","May 04: 9,800 projected total cases<br>Projection upper CI: 73,974 cases<br>"
2020-05-04,mod_5,9990,75492,Normal (pre-intervention),solid,May 04,"9,990","75,492","May 04: 9,990 projected total cases<br>Projection upper CI: 75,492 cases<br>"
2020-05-04,mod_6,9758,73430,Cautious return,solid,May 04,"9,758","73,430","May 04: 9,758 projected total cases<br>Projection upper CI: 73,430 cases<br>"
2020-05-05,mod_2,170697,964158,Soc. Dist. + Travel Ban,solid,May 05,"170,697","964,158","May 05: 170,697 projected total cases<br>Projection upper CI: 964,158 cases<br>"
2020-05-05,mod_4,10065,75652,Moderate return,solid,May 05,"10,065","75,652","May 05: 10,065 projected total cases<br>Projection upper CI: 75,652 cases<br>"
2020-05-05,mod_5,10323,78367,Normal (pre-intervention),solid,May 05,"10,323","78,367","May 05: 10,323 projected total cases<br>Projection upper CI: 78,367 cases<br>"
2020-05-05,mod_6,9986,75149,Cautious return,solid,May 05,"9,986","75,149","May 05: 9,986 projected total cases<br>Projection upper CI: 75,149 cases<br>"
2020-05-06,mod_2,198740,1135108,Soc. Dist. + Travel Ban,solid,May 06,"198,740","1,135,108","May 06: 198,740 projected total cases<br>Projection upper CI: 1,135,108 cases<br>"
2020-05-06,mod_4,10358,78212,Moderate return,solid,May 06,"10,358","78,212","May 06: 10,358 projected total cases<br>Projection upper CI: 78,212 cases<br>"
2020-05-06,mod_5,10710,81576,Normal (pre-intervention),solid,May 06,"10,710","81,576","May 06: 10,710 projected total cases<br>Projection upper CI: 81,576 cases<br>"
2020-05-06,mod_6,10240,77258,Cautious return,solid,May 06,"10,240","77,258","May 06: 10,240 projected total cases<br>Projection upper CI: 77,258 cases<br>"
2020-05-07,mod_2,230044,1346632,Soc. Dist. + Travel Ban,solid,May 07,"230,044","1,346,632","May 07: 230,044 projected total cases<br>Projection upper CI: 1,346,632 cases<br>"
2020-05-07,mod_4,10682,80583,Moderate return,solid,May 07,"10,682","80,583","May 07: 10,682 projected total cases<br>Projection upper CI: 80,583 cases<br>"
2020-05-07,mod_5,11162,83744,Normal (pre-intervention),solid,May 07,"11,162","83,744","May 07: 11,162 projected total cases<br>Projection upper CI: 83,744 cases<br>"
2020-05-07,mod_6,10512,79473,Cautious return,solid,May 07,"10,512","79,473","May 07: 10,512 projected total cases<br>Projection upper CI: 79,473 cases<br>"
2020-05-08,mod_2,264708,1587955,Soc. Dist. + Travel Ban,solid,May 08,"264,708","1,587,955","May 08: 264,708 projected total cases<br>Projection upper CI: 1,587,955 cases<br>"
2020-05-08,mod_4,11045,83657,Moderate return,solid,May 08,"11,045","83,657","May 08: 11,045 projected total cases<br>Projection upper CI: 83,657 cases<br>"
2020-05-08,mod_5,11695,88958,Normal (pre-intervention),solid,May 08,"11,695","88,958","May 08: 11,695 projected total cases<br>Projection upper CI: 88,958 cases<br>"
2020-05-08,mod_6,10800,82193,Cautious return,solid,May 08,"10,800","82,193","May 08: 10,800 projected total cases<br>Projection upper CI: 82,193 cases<br>"
2020-05-09,mod_2,302756,1859378,Soc. Dist. + Travel Ban,solid,May 09,"302,756","1,859,378","May 09: 302,756 projected total cases<br>Projection upper CI: 1,859,378 cases<br>"
2020-05-09,mod_4,11451,86488,Moderate return,solid,May 09,"11,451","86,488","May 09: 11,451 projected total cases<br>Projection upper CI: 86,488 cases<br>"
