Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,mod_2,3570,25485,Social distancing,solid,Apr  6,"3,570","25,485",FALSE,"Apr  6: 3,570 projected cases<br>Projection upper CI: 25,485 cases<br>"
2020-04-06,mod_3,3579,25805,No intervention,solid,Apr  6,"3,579","25,805",FALSE,"Apr  6: 3,579 projected cases<br>Projection upper CI: 25,805 cases<br>"
2020-04-06,mod_4,3567,25393,Lockdown with moderate return,solid,Apr  6,"3,567","25,393",TRUE,"Apr  6: 3,567 projected cases<br>Projection upper CI: 25,393 cases<br>"
2020-04-07,mod_2,3948,27720,Social distancing,solid,Apr  7,"3,948","27,720",FALSE,"Apr  7: 3,948 projected cases<br>Projection upper CI: 27,720 cases<br>"
2020-04-07,mod_3,3969,27875,No intervention,solid,Apr  7,"3,969","27,875",FALSE,"Apr  7: 3,969 projected cases<br>Projection upper CI: 27,875 cases<br>"
2020-04-07,mod_4,3955,27482,Lockdown with moderate return,solid,Apr  7,"3,955","27,482",TRUE,"Apr  7: 3,955 projected cases<br>Projection upper CI: 27,482 cases<br>"
2020-04-08,mod_2,4357,30065,Social distancing,solid,Apr  8,"4,357","30,065",FALSE,"Apr  8: 4,357 projected cases<br>Projection upper CI: 30,065 cases<br>"
2020-04-08,mod_3,4411,30583,No intervention,solid,Apr  8,"4,411","30,583",FALSE,"Apr  8: 4,411 projected cases<br>Projection upper CI: 30,583 cases<br>"
2020-04-08,mod_4,4364,30235,Lockdown with moderate return,solid,Apr  8,"4,364","30,235",TRUE,"Apr  8: 4,364 projected cases<br>Projection upper CI: 30,235 cases<br>"
2020-04-09,mod_2,4806,32575,Social distancing,solid,Apr  9,"4,806","32,575",FALSE,"Apr  9: 4,806 projected cases<br>Projection upper CI: 32,575 cases<br>"
2020-04-09,mod_3,4901,33053,No intervention,solid,Apr  9,"4,901","33,053",FALSE,"Apr  9: 4,901 projected cases<br>Projection upper CI: 33,053 cases<br>"
2020-04-09,mod_4,4786,32553,Lockdown with moderate return,solid,Apr  9,"4,786","32,553",TRUE,"Apr  9: 4,786 projected cases<br>Projection upper CI: 32,553 cases<br>"
2020-04-10,mod_2,5298,35859,Social distancing,solid,Apr 10,"5,298","35,859",FALSE,"Apr 10: 5,298 projected cases<br>Projection upper CI: 35,859 cases<br>"
2020-04-10,mod_3,5449,36206,No intervention,solid,Apr 10,"5,449","36,206",FALSE,"Apr 10: 5,449 projected cases<br>Projection upper CI: 36,206 cases<br>"
2020-04-10,mod_4,5201,35069,Lockdown with moderate return,solid,Apr 10,"5,201","35,069",TRUE,"Apr 10: 5,201 projected cases<br>Projection upper CI: 35,069 cases<br>"
2020-04-11,mod_2,5851,39113,Social distancing,solid,Apr 11,"5,851","39,113",FALSE,"Apr 11: 5,851 projected cases<br>Projection upper CI: 39,113 cases<br>"
2020-04-11,mod_3,6069,40118,No intervention,solid,Apr 11,"6,069","40,118",FALSE,"Apr 11: 6,069 projected cases<br>Projection upper CI: 40,118 cases<br>"
2020-04-11,mod_4,5602,37771,Lockdown with moderate return,solid,Apr 11,"5,602","37,771",TRUE,"Apr 11: 5,602 projected cases<br>Projection upper CI: 37,771 cases<br>"
2020-04-12,mod_2,6464,43329,Social distancing,solid,Apr 12,"6,464","43,329",FALSE,"Apr 12: 6,464 projected cases<br>Projection upper CI: 43,329 cases<br>"
2020-04-12,mod_3,6777,44374,No intervention,solid,Apr 12,"6,777","44,374",FALSE,"Apr 12: 6,777 projected cases<br>Projection upper CI: 44,374 cases<br>"
2020-04-12,mod_4,5983,40506,Lockdown with moderate return,solid,Apr 12,"5,983","40,506",TRUE,"Apr 12: 5,983 projected cases<br>Projection upper CI: 40,506 cases<br>"
