Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,132821,723858,Soc. Dist. + Travel Ban,solid,Apr 30,"132,821","723,858","Apr 30: 132,821 projected total cases<br>Projection upper CI: 723,858 cases<br>"
2020-04-30,mod_4,6868,55988,Moderate return,solid,Apr 30,"6,868","55,988","Apr 30: 6,868 projected total cases<br>Projection upper CI: 55,988 cases<br>"
2020-04-30,mod_5,7115,58227,Normal (pre-intervention),solid,Apr 30,"7,115","58,227","Apr 30: 7,115 projected total cases<br>Projection upper CI: 58,227 cases<br>"
2020-04-30,mod_6,6597,53522,Cautious return,solid,Apr 30,"6,597","53,522","Apr 30: 6,597 projected total cases<br>Projection upper CI: 53,522 cases<br>"
2020-05-01,mod_2,159741,871665,Soc. Dist. + Travel Ban,solid,May 01,"159,741","871,665","May 01: 159,741 projected total cases<br>Projection upper CI: 871,665 cases<br>"
2020-05-01,mod_4,7081,58135,Moderate return,solid,May 01,"7,081","58,135","May 01: 7,081 projected total cases<br>Projection upper CI: 58,135 cases<br>"
2020-05-01,mod_5,7444,61243,Normal (pre-intervention),solid,May 01,"7,444","61,243","May 01: 7,444 projected total cases<br>Projection upper CI: 61,243 cases<br>"
2020-05-01,mod_6,6765,54904,Cautious return,solid,May 01,"6,765","54,904","May 01: 6,765 projected total cases<br>Projection upper CI: 54,904 cases<br>"
2020-05-02,mod_2,190583,1060868,Soc. Dist. + Travel Ban,solid,May 02,"190,583","1,060,868","May 02: 190,583 projected total cases<br>Projection upper CI: 1,060,868 cases<br>"
2020-05-02,mod_4,7328,60252,Moderate return,solid,May 02,"7,328","60,252","May 02: 7,328 projected total cases<br>Projection upper CI: 60,252 cases<br>"
2020-05-02,mod_5,7837,64386,Normal (pre-intervention),solid,May 02,"7,837","64,386","May 02: 7,837 projected total cases<br>Projection upper CI: 64,386 cases<br>"
2020-05-02,mod_6,6939,56973,Cautious return,solid,May 02,"6,939","56,973","May 02: 6,939 projected total cases<br>Projection upper CI: 56,973 cases<br>"
2020-05-03,mod_2,225579,1286879,Soc. Dist. + Travel Ban,solid,May 03,"225,579","1,286,879","May 03: 225,579 projected total cases<br>Projection upper CI: 1,286,879 cases<br>"
2020-05-03,mod_4,7604,62740,Moderate return,solid,May 03,"7,604","62,740","May 03: 7,604 projected total cases<br>Projection upper CI: 62,740 cases<br>"
2020-05-03,mod_5,8309,68411,Normal (pre-intervention),solid,May 03,"8,309","68,411","May 03: 8,309 projected total cases<br>Projection upper CI: 68,411 cases<br>"
2020-05-03,mod_6,7127,58759,Cautious return,solid,May 03,"7,127","58,759","May 03: 7,127 projected total cases<br>Projection upper CI: 58,759 cases<br>"
2020-05-04,mod_2,264890,1558960,Soc. Dist. + Travel Ban,solid,May 04,"264,890","1,558,960","May 04: 264,890 projected total cases<br>Projection upper CI: 1,558,960 cases<br>"
2020-05-04,mod_4,7915,65698,Moderate return,solid,May 04,"7,915","65,698","May 04: 7,915 projected total cases<br>Projection upper CI: 65,698 cases<br>"
2020-05-04,mod_5,8889,72577,Normal (pre-intervention),solid,May 04,"8,889","72,577","May 04: 8,889 projected total cases<br>Projection upper CI: 72,577 cases<br>"
2020-05-04,mod_6,7328,60787,Cautious return,solid,May 04,"7,328","60,787","May 04: 7,328 projected total cases<br>Projection upper CI: 60,787 cases<br>"
2020-05-05,mod_2,308644,1891174,Soc. Dist. + Travel Ban,solid,May 05,"308,644","1,891,174","May 05: 308,644 projected total cases<br>Projection upper CI: 1,891,174 cases<br>"
2020-05-05,mod_4,8280,68784,Moderate return,solid,May 05,"8,280","68,784","May 05: 8,280 projected total cases<br>Projection upper CI: 68,784 cases<br>"
2020-05-05,mod_5,9609,78221,Normal (pre-intervention),solid,May 05,"9,609","78,221","May 05: 9,609 projected total cases<br>Projection upper CI: 78,221 cases<br>"
2020-05-05,mod_6,7551,62594,Cautious return,solid,May 05,"7,551","62,594","May 05: 7,551 projected total cases<br>Projection upper CI: 62,594 cases<br>"
2020-05-06,mod_2,356923,2291825,Soc. Dist. + Travel Ban,solid,May 06,"356,923","2,291,825","May 06: 356,923 projected total cases<br>Projection upper CI: 2,291,825 cases<br>"
2020-05-06,mod_4,8700,71854,Moderate return,solid,May 06,"8,700","71,854","May 06: 8,700 projected total cases<br>Projection upper CI: 71,854 cases<br>"
2020-05-06,mod_5,10546,84002,Normal (pre-intervention),solid,May 06,"10,546","84,002","May 06: 10,546 projected total cases<br>Projection upper CI: 84,002 cases<br>"
2020-05-06,mod_6,7792,64869,Cautious return,solid,May 06,"7,792","64,869","May 06: 7,792 projected total cases<br>Projection upper CI: 64,869 cases<br>"
2020-05-07,mod_2,409770,2762977,Soc. Dist. + Travel Ban,solid,May 07,"409,770","2,762,977","May 07: 409,770 projected total cases<br>Projection upper CI: 2,762,977 cases<br>"
2020-05-07,mod_4,9185,75980,Moderate return,solid,May 07,"9,185","75,980","May 07: 9,185 projected total cases<br>Projection upper CI: 75,980 cases<br>"
2020-05-07,mod_5,11737,91227,Normal (pre-intervention),solid,May 07,"11,737","91,227","May 07: 11,737 projected total cases<br>Projection upper CI: 91,227 cases<br>"
2020-05-07,mod_6,8048,66901,Cautious return,solid,May 07,"8,048","66,901","May 07: 8,048 projected total cases<br>Projection upper CI: 66,901 cases<br>"
2020-05-08,mod_2,467225,3330458,Soc. Dist. + Travel Ban,solid,May 08,"467,225","3,330,458","May 08: 467,225 projected total cases<br>Projection upper CI: 3,330,458 cases<br>"
2020-05-08,mod_4,9763,80566,Moderate return,solid,May 08,"9,763","80,566","May 08: 9,763 projected total cases<br>Projection upper CI: 80,566 cases<br>"
2020-05-08,mod_5,13293,99592,Normal (pre-intervention),solid,May 08,"13,293","99,592","May 08: 13,293 projected total cases<br>Projection upper CI: 99,592 cases<br>"
2020-05-08,mod_6,8334,69045,Cautious return,solid,May 08,"8,334","69,045","May 08: 8,334 projected total cases<br>Projection upper CI: 69,045 cases<br>"
2020-05-09,mod_2,529266,3998565,Soc. Dist. + Travel Ban,solid,May 09,"529,266","3,998,565","May 09: 529,266 projected total cases<br>Projection upper CI: 3,998,565 cases<br>"
2020-05-09,mod_4,10463,85184,Moderate return,solid,May 09,"10,463","85,184","May 09: 10,463 projected total cases<br>Projection upper CI: 85,184 cases<br>"
2020-05-09,mod_5,15349,110163,Normal (pre-intervention),solid,May 09,"15,349","110,163","May 09: 15,349 projected total cases<br>Projection upper CI: 110,163 cases<br>"
2020-05-09,mod_6,8663,72425,Cautious return,solid,May 09,"8,663","72,425","May 09: 8,663 projected total cases<br>Projection upper CI: 72,425 cases<br>"
2020-05-10,mod_2,595845,4795975,Soc. Dist. + Travel Ban,solid,May 10,"595,845","4,795,975","May 10: 595,845 projected total cases<br>Projection upper CI: 4,795,975 cases<br>"
2020-05-10,mod_4,11321,90880,Moderate return,solid,May 10,"11,321","90,880","May 10: 11,321 projected total cases<br>Projection upper CI: 90,880 cases<br>"
2020-05-10,mod_5,18100,124693,Normal (pre-intervention),solid,May 10,"18,100","124,693","May 10: 18,100 projected total cases<br>Projection upper CI: 124,693 cases<br>"
2020-05-10,mod_6,9023,74721,Cautious return,solid,May 10,"9,023","74,721","May 10: 9,023 projected total cases<br>Projection upper CI: 74,721 cases<br>"
2020-05-11,mod_2,666865,5699606,Soc. Dist. + Travel Ban,solid,May 11,"666,865","5,699,606","May 11: 666,865 projected total cases<br>Projection upper CI: 5,699,606 cases<br>"
2020-05-11,mod_4,12377,96149,Moderate return,solid,May 11,"12,377","96,149","May 11: 12,377 projected total cases<br>Projection upper CI: 96,149 cases<br>"
2020-05-11,mod_5,21821,140517,Normal (pre-intervention),solid,May 11,"21,821","140,517","May 11: 21,821 projected total cases<br>Projection upper CI: 140,517 cases<br>"
2020-05-11,mod_6,9420,77974,Cautious return,solid,May 11,"9,420","77,974","May 11: 9,420 projected total cases<br>Projection upper CI: 77,974 cases<br>"
2020-05-12,mod_2,742181,6708388,Soc. Dist. + Travel Ban,solid,May 12,"742,181","6,708,388","May 12: 742,181 projected total cases<br>Projection upper CI: 6,708,388 cases<br>"
2020-05-12,mod_4,13695,103064,Moderate return,solid,May 12,"13,695","103,064","May 12: 13,695 projected total cases<br>Projection upper CI: 103,064 cases<br>"
2020-05-12,mod_5,26902,159420,Normal (pre-intervention),solid,May 12,"26,902","159,420","May 12: 26,902 projected total cases<br>Projection upper CI: 159,420 cases<br>"
2020-05-12,mod_6,9885,80939,Cautious return,solid,May 12,"9,885","80,939","May 12: 9,885 projected total cases<br>Projection upper CI: 80,939 cases<br>"
2020-05-13,mod_2,821633,7833516,Soc. Dist. + Travel Ban,solid,May 13,"821,633","7,833,516","May 13: 821,633 projected total cases<br>Projection upper CI: 7,833,516 cases<br>"
2020-05-13,mod_4,15343,111255,Moderate return,solid,May 13,"15,343","111,255","May 13: 15,343 projected total cases<br>Projection upper CI: 111,255 cases<br>"
2020-05-13,mod_5,33894,185637,Normal (pre-intervention),solid,May 13,"33,894","185,637","May 13: 33,894 projected total cases<br>Projection upper CI: 185,637 cases<br>"
2020-05-13,mod_6,10405,84289,Cautious return,solid,May 13,"10,405","84,289","May 13: 10,405 projected total cases<br>Projection upper CI: 84,289 cases<br>"
2020-05-14,mod_2,905007,9087250,Soc. Dist. + Travel Ban,solid,May 14,"905,007","9,087,250","May 14: 905,007 projected total cases<br>Projection upper CI: 9,087,250 cases<br>"
2020-05-14,mod_4,17341,118846,Moderate return,solid,May 14,"17,341","118,846","May 14: 17,341 projected total cases<br>Projection upper CI: 118,846 cases<br>"
2020-05-14,mod_5,43146,219025,Normal (pre-intervention),solid,May 14,"43,146","219,025","May 14: 43,146 projected total cases<br>Projection upper CI: 219,025 cases<br>"
2020-05-14,mod_6,10995,87907,Cautious return,solid,May 14,"10,995","87,907","May 14: 10,995 projected total cases<br>Projection upper CI: 87,907 cases<br>"
2020-05-15,mod_2,992241,10476675,Soc. Dist. + Travel Ban,solid,May 15,"992,241","10,476,675","May 15: 992,241 projected total cases<br>Projection upper CI: 10,476,675 cases<br>"
2020-05-15,mod_4,19760,129033,Moderate return,solid,May 15,"19,760","129,033","May 15: 19,760 projected total cases<br>Projection upper CI: 129,033 cases<br>"
2020-05-15,mod_5,55108,256315,Normal (pre-intervention),solid,May 15,"55,108","256,315","May 15: 55,108 projected total cases<br>Projection upper CI: 256,315 cases<br>"
2020-05-15,mod_6,11668,91340,Cautious return,solid,May 15,"11,668","91,340","May 15: 11,668 projected total cases<br>Projection upper CI: 91,340 cases<br>"
2020-05-16,mod_2,1083046,11931999,Soc. Dist. + Travel Ban,solid,May 16,"1,083,046","11,931,999","May 16: 1,083,046 projected total cases<br>Projection upper CI: 11,931,999 cases<br>"
2020-05-16,mod_4,22673,139148,Moderate return,solid,May 16,"22,673","139,148","May 16: 22,673 projected total cases<br>Projection upper CI: 139,148 cases<br>"
2020-05-16,mod_5,70237,308477,Normal (pre-intervention),solid,May 16,"70,237","308,477","May 16: 70,237 projected total cases<br>Projection upper CI: 308,477 cases<br>"
2020-05-16,mod_6,12416,96006,Cautious return,solid,May 16,"12,416","96,006","May 16: 12,416 projected total cases<br>Projection upper CI: 96,006 cases<br>"
2020-05-17,mod_2,1177179,13549875,Soc. Dist. + Travel Ban,solid,May 17,"1,177,179","13,549,875","May 17: 1,177,179 projected total cases<br>Projection upper CI: 13,549,875 cases<br>"
2020-05-17,mod_4,26187,153433,Moderate return,solid,May 17,"26,187","153,433","May 17: 26,187 projected total cases<br>Projection upper CI: 153,433 cases<br>"
2020-05-17,mod_5,88916,369782,Normal (pre-intervention),solid,May 17,"88,916","369,782","May 17: 88,916 projected total cases<br>Projection upper CI: 369,782 cases<br>"
2020-05-17,mod_6,13277,99589,Cautious return,solid,May 17,"13,277","99,589","May 17: 13,277 projected total cases<br>Projection upper CI: 99,589 cases<br>"
2020-05-18,mod_2,1274426,15318979,Soc. Dist. + Travel Ban,solid,May 18,"1,274,426","15,318,979","May 18: 1,274,426 projected total cases<br>Projection upper CI: 15,318,979 cases<br>"
