Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Total People In Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquire Calls,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: covid19india),,,
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,,Institutional,,50,,,,,https://t.me/indiacovid/2550,,0.86%,3.53,3534,397000,,,
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,,246,,Institutional,,50,,,,280,https://t.me/indiacovid/3147?single,,1.01%,6.75,6748,,,1000,1000000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,,106,,Institutional,,50,,,,298,https://t.me/indiacovid/3365?single,,1.16%,7.17,7174,,,,
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,,199,643,Institutional,,50,,,,340,https://t.me/indiacovid/3781,,0.88%,9.46,9456,,,,
02/04/2020,Andhra Pradesh,1800,Tested,132,1175,493,179,,,23479,2680,330,,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,7.33%,0.03,34,52221000,,,
10/04/2020,Andhra Pradesh,6374,Tested,365,6009,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.73%,0.12,122,,,,
11/04/2020,Andhra Pradesh,6958,Tested,381,6577,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.48%,0.13,133,,,,
12/04/2020,Andhra Pradesh,6958,Tested,405,6553,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.82%,0.13,133,,,,
13/04/2020,Andhra Pradesh,8755,Tested,432,8323,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.93%,0.17,168,,,,
14/04/2020,Andhra Pradesh,10505,Tested,473,10032,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.50%,0.20,201,,,,
15/04/2020,Andhra Pradesh,11613,Tested,525,11088,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.52%,0.22,222,,,,
16/04/2020,Andhra Pradesh,20235,Tested,534,19701,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.64%,0.39,387,,,,
17/04/2020,Andhra Pradesh,20235,Tested,572,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,2.83%,0.39,387,,,,
18/04/2020,Andhra Pradesh,21450,Tested,603,20487,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.81%,0.41,411,,,,
19/04/2020,Andhra Pradesh,26958,Tested,647,26311,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.40%,0.52,516,,,,
20/04/2020,Andhra Pradesh,30733,Tested,722,30011,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.35%,0.59,589,,,,
21/04/2020,Andhra Pradesh,35755,Tested,757,34998,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.12%,0.68,685,,,,
22/04/2020,Andhra Pradesh,41512,Tested,813,40699,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.96%,0.79,795,,,,
23/04/2020,Andhra Pradesh,48032,Tested,893,47139,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.86%,0.92,920,,,,
24/04/2020,Andhra Pradesh,54338,Tested,955,53383,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.76%,1.04,1041,,,,
25/04/2020,Andhra Pradesh,61266,Tested,1016,60250,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.66%,1.17,1173,,,,
26/04/2020,Andhra Pradesh,68034,Tested,1097,66937,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.61%,1.30,1303,,,,
27/04/2020,Andhra Pradesh,74551,Tested,1177,73374,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.58%,1.43,1428,,,,
28/04/2020,Andhra Pradesh,80334,Tested,1259,79075,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.57%,1.54,1538,,,,
29/04/2020,Andhra Pradesh,88061,Tested,1332,86729,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.51%,1.69,1686,,,,
30/04/2020,Andhra Pradesh,94558,Tested,1403,93155,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.48%,1.81,1811,,,,
01/05/2020,Andhra Pradesh,102460,Tested,1463,100997,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.43%,1.96,1962,,,,
02/05/2020,Andhra Pradesh,108403,Tested,1525,106878,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.41%,2.08,2076,,,,
03/05/2020,Andhra Pradesh,114937,Tested,1583,113354,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.38%,2.20,2201,,,,
04/05/2020,Andhra Pradesh,125229,Tested,1650,123579,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.32%,2.40,2398,,,,
05/05/2020,Andhra Pradesh,133492,Tested,1717,131775,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.29%,2.56,2556,,,,
06/05/2020,Andhra Pradesh,141274,Tested,1777,139497,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.26%,2.71,2705,,,,
07/05/2020,Andhra Pradesh,149361,Tested,1833,147528,,,,,,,,,,https://t.me/indiacovid/4173?single,,1.23%,2.86,2860,,,,
08/05/2020,Andhra Pradesh,156681,Tested,1887,154794,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.20%,3.00,3000,,,,
09/05/2020,Andhra Pradesh,165069,Tested,1930,163139,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.17%,3.16,3161,,,,
10/05/2020,Andhra Pradesh,173735,Tested,1980,171755,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.14%,3.33,3327,,,,
11/05/2020,Andhra Pradesh,181144,Tested,2018,179126,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.11%,3.47,3469,,,,
12/05/2020,Andhra Pradesh,191874,Tested,2051,189823,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.07%,3.67,3674,,,,
13/05/2020,Andhra Pradesh,201196,Tested,2137,199059,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,,,,
09/04/2020,Arunachal Pradesh,206,Samples Collected,1,185,20,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,0.49%,0.14,137,1504000,,,
14/04/2020,Arunachal Pradesh,280,Samples Collected,1,250,29,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,0.36%,0.19,186,,,,
17/04/2020,Arunachal Pradesh,363,Samples Collected,1,338,25,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,0.28%,0.24,241,,,,
18/04/2020,Arunachal Pradesh,389,Samples Collected,1,358,31,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,0.26%,0.26,259,,,,
20/04/2020,Arunachal Pradesh,439,Samples Collected,1,405,34,,,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,0.23%,0.29,292,,,,
21/04/2020,Arunachal Pradesh,454,Samples Collected,1,433,19,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.22%,0.30,302,,,,
22/04/2020,Arunachal Pradesh,496,Samples Collected,2,441,53,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.40%,0.33,330,,,,
24/04/2020,Arunachal Pradesh,526,Samples Collected,2,508,16,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.38%,0.35,350,,,,
26/04/2020,Arunachal Pradesh,568,Samples Collected,2,529,37,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.35%,0.38,378,,,,
27/04/2020,Arunachal Pradesh,584,Samples Collected,2,566,16,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.34%,0.39,388,,,,
28/04/2020,Arunachal Pradesh,610,Samples Collected,2,581,27,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.33%,0.41,406,,,,
29/04/2020,Arunachal Pradesh,662,Samples Collected,2,595,65,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.30%,0.44,440,,,,
30/04/2020,Arunachal Pradesh,694,Samples Collected,2,656,36,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.29%,0.46,461,,,,
01/05/2020,Arunachal Pradesh,724,Samples Collected,2,692,30,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.28%,0.48,481,,,,
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,0.00,0,,,,
03/05/2020,Arunachal Pradesh,810,Samples Collected,2,761,47,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.25%,0.54,539,,,,
04/05/2020,Arunachal Pradesh,869,Samples Collected,2,762,105,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.23%,0.58,578,,,,
05/05/2020,Arunachal Pradesh,970,Samples Collected,2,814,154,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.21%,0.64,645,,,,
06/05/2020,Arunachal Pradesh,1039,Samples Collected,2,857,180,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.19%,0.69,691,,,,
07/05/2020,Arunachal Pradesh,1144,Samples Collected,2,952,190,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.17%,0.76,761,,,,
08/05/2020,Arunachal Pradesh,1354,Samples Collected,2,1015,337,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.15%,0.90,900,,,,
09/05/2020,Arunachal Pradesh,1597,Samples Collected,2,1266,329,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.13%,1.06,1062,,,,
10/05/2020,Arunachal Pradesh,1823,Samples Collected,2,1363,458,,,,,,,,5388,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,1.21,1212,,,,
11/05/2020,Arunachal Pradesh,2078,Samples Collected,2,1538,538,,,,,,,,5418,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,0.10%,1.38,1382,,,,
12/05/2020,Arunachal Pradesh,2257,Samples Collected,2,1798,457,,,,,,,,5521,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.09%,1.50,1501,,,,
