Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,mod_2,3077,22760,Social distancing,solid,Apr  6,"3,077","22,760",FALSE,"Apr  6: 3,077 projected cases<br>Projection upper CI: 22,760 cases<br>"
2020-04-06,mod_3,3221,23185,No intervention,solid,Apr  6,"3,221","23,185",FALSE,"Apr  6: 3,221 projected cases<br>Projection upper CI: 23,185 cases<br>"
2020-04-06,mod_4,3000,22190,Lockdown with moderate return,solid,Apr  6,"3,000","22,190",TRUE,"Apr  6: 3,000 projected cases<br>Projection upper CI: 22,190 cases<br>"
2020-04-07,mod_2,3350,24387,Social distancing,solid,Apr  7,"3,350","24,387",FALSE,"Apr  7: 3,350 projected cases<br>Projection upper CI: 24,387 cases<br>"
2020-04-07,mod_3,3614,25483,No intervention,solid,Apr  7,"3,614","25,483",FALSE,"Apr  7: 3,614 projected cases<br>Projection upper CI: 25,483 cases<br>"
2020-04-07,mod_4,3180,23452,Lockdown with moderate return,solid,Apr  7,"3,180","23,452",TRUE,"Apr  7: 3,180 projected cases<br>Projection upper CI: 23,452 cases<br>"
2020-04-08,mod_2,3641,26301,Social distancing,solid,Apr  8,"3,641","26,301",FALSE,"Apr  8: 3,641 projected cases<br>Projection upper CI: 26,301 cases<br>"
2020-04-08,mod_3,4063,28252,No intervention,solid,Apr  8,"4,063","28,252",FALSE,"Apr  8: 4,063 projected cases<br>Projection upper CI: 28,252 cases<br>"
2020-04-08,mod_4,3340,24621,Lockdown with moderate return,solid,Apr  8,"3,340","24,621",TRUE,"Apr  8: 3,340 projected cases<br>Projection upper CI: 24,621 cases<br>"
2020-04-09,mod_2,3954,28076,Social distancing,solid,Apr  9,"3,954","28,076",FALSE,"Apr  9: 3,954 projected cases<br>Projection upper CI: 28,076 cases<br>"
2020-04-09,mod_3,4578,30917,No intervention,solid,Apr  9,"4,578","30,917",FALSE,"Apr  9: 4,578 projected cases<br>Projection upper CI: 30,917 cases<br>"
2020-04-09,mod_4,3477,25647,Lockdown with moderate return,solid,Apr  9,"3,477","25,647",TRUE,"Apr  9: 3,477 projected cases<br>Projection upper CI: 25,647 cases<br>"
2020-04-10,mod_2,4288,30111,Social distancing,solid,Apr 10,"4,288","30,111",FALSE,"Apr 10: 4,288 projected cases<br>Projection upper CI: 30,111 cases<br>"
2020-04-10,mod_3,5176,34530,No intervention,solid,Apr 10,"5,176","34,530",FALSE,"Apr 10: 5,176 projected cases<br>Projection upper CI: 34,530 cases<br>"
2020-04-10,mod_4,3613,26709,Lockdown with moderate return,solid,Apr 10,"3,613","26,709",TRUE,"Apr 10: 3,613 projected cases<br>Projection upper CI: 26,709 cases<br>"
2020-04-11,mod_2,4653,32374,Social distancing,solid,Apr 11,"4,653","32,374",FALSE,"Apr 11: 4,653 projected cases<br>Projection upper CI: 32,374 cases<br>"
2020-04-11,mod_3,5878,38806,No intervention,solid,Apr 11,"5,878","38,806",FALSE,"Apr 11: 5,878 projected cases<br>Projection upper CI: 38,806 cases<br>"
2020-04-11,mod_4,3747,27701,Lockdown with moderate return,solid,Apr 11,"3,747","27,701",TRUE,"Apr 11: 3,747 projected cases<br>Projection upper CI: 27,701 cases<br>"
2020-04-12,mod_2,5058,35518,Social distancing,solid,Apr 12,"5,058","35,518",FALSE,"Apr 12: 5,058 projected cases<br>Projection upper CI: 35,518 cases<br>"
2020-04-12,mod_3,6722,43992,No intervention,solid,Apr 12,"6,722","43,992",FALSE,"Apr 12: 6,722 projected cases<br>Projection upper CI: 43,992 cases<br>"
2020-04-12,mod_4,3874,28810,Lockdown with moderate return,solid,Apr 12,"3,874","28,810",TRUE,"Apr 12: 3,874 projected cases<br>Projection upper CI: 28,810 cases<br>"
