Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,151463,961536,Soc. Dist. + Travel Ban,solid,Apr 30,"151,463","961,536","Apr 30: 151,463 projected total cases<br>Projection upper CI: 961,536 cases<br>"
2020-04-30,mod_4,13769,100114,Moderate return,solid,Apr 30,"13,769","100,114","Apr 30: 13,769 projected total cases<br>Projection upper CI: 100,114 cases<br>"
2020-04-30,mod_5,8416,61757,Normal (pre-intervention),solid,Apr 30,"8,416","61,757","Apr 30: 8,416 projected total cases<br>Projection upper CI: 61,757 cases<br>"
2020-04-30,mod_6,8429,62675,Cautious return,solid,Apr 30,"8,429","62,675","Apr 30: 8,429 projected total cases<br>Projection upper CI: 62,675 cases<br>"
2020-05-01,mod_2,183262,1178605,Soc. Dist. + Travel Ban,solid,May 01,"183,262","1,178,605","May 01: 183,262 projected total cases<br>Projection upper CI: 1,178,605 cases<br>"
2020-05-01,mod_4,14253,103212,Moderate return,solid,May 01,"14,253","103,212","May 01: 14,253 projected total cases<br>Projection upper CI: 103,212 cases<br>"
2020-05-01,mod_5,8612,63612,Normal (pre-intervention),solid,May 01,"8,612","63,612","May 01: 8,612 projected total cases<br>Projection upper CI: 63,612 cases<br>"
2020-05-01,mod_6,8618,63915,Cautious return,solid,May 01,"8,618","63,915","May 01: 8,618 projected total cases<br>Projection upper CI: 63,915 cases<br>"
2020-05-02,mod_2,220324,1434132,Soc. Dist. + Travel Ban,solid,May 02,"220,324","1,434,132","May 02: 220,324 projected total cases<br>Projection upper CI: 1,434,132 cases<br>"
2020-05-02,mod_4,14784,106421,Moderate return,solid,May 02,"14,784","106,421","May 02: 14,784 projected total cases<br>Projection upper CI: 106,421 cases<br>"
2020-05-02,mod_5,8832,65576,Normal (pre-intervention),solid,May 02,"8,832","65,576","May 02: 8,832 projected total cases<br>Projection upper CI: 65,576 cases<br>"
2020-05-02,mod_6,8816,65423,Cautious return,solid,May 02,"8,816","65,423","May 02: 8,816 projected total cases<br>Projection upper CI: 65,423 cases<br>"
2020-05-03,mod_2,262955,1753631,Soc. Dist. + Travel Ban,solid,May 03,"262,955","1,753,631","May 03: 262,955 projected total cases<br>Projection upper CI: 1,753,631 cases<br>"
2020-05-03,mod_4,15377,111545,Moderate return,solid,May 03,"15,377","111,545","May 03: 15,377 projected total cases<br>Projection upper CI: 111,545 cases<br>"
2020-05-03,mod_5,9073,67394,Normal (pre-intervention),solid,May 03,"9,073","67,394","May 03: 9,073 projected total cases<br>Projection upper CI: 67,394 cases<br>"
