Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine...12,Tag (People in Quarantine),Total People Released From Quarantine,Total People Currently in Quarantine...15,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumilative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation),Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumuilative Number of Symptomatic Cases,Cumuilative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3
17/04/2020,Andaman and Nicobar Islands,NA,NA,NA,1403,Samples Sent,12,1210,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2550,NA,NA
24/04/2020,Andaman and Nicobar Islands,NA,NA,NA,2679,Samples Sent,27,NA,246,NA,614,Institutional,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/3147?single,NA,NA
27/04/2020,Andaman and Nicobar Islands,NA,NA,NA,2848,Samples Sent,33,NA,106,NA,724,Institutional,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/3365?single,NA,NA
01/05/2020,Andaman and Nicobar Islands,NA,NA,NA,3754,Samples Sent,33,NA,199,NA,643,Institutional,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/3781,NA,NA
16/05/2020,Andaman and Nicobar Islands,NA,NA,NA,6677,Samples Sent,33,NA,136,NA,16,Institutional,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/4925,NA,NA
19/05/2020,Andaman and Nicobar Islands,NA,NA,NA,6965,Samples Sent,33,NA,117,NA,2,Institutional,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/261.pdf,NA,NA
20/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7082,Samples Sent,33,NA,117,NA,0,Institutional,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/262.pdf,NA,NA
21/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7167,Samples Sent,33,NA,85,NA,0,Institutional,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/263.pdf,NA,NA
22/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7263,Samples Sent,33,NA,96,NA,0,Institutional,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,NA
23/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7327,Samples Sent,33,NA,61,NA,0,Institutional,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/266.pdf,NA,NA
24/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7327,Samples Sent,33,NA,0,NA,0,Institutional,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/267.pdf,NA,NA
25/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7363,Samples Sent,33,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/269.pdf,NA,NA
26/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7448,Samples Sent,33,NA,84,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/270.pdf,NA,NA
27/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7499,Samples Sent,33,NA,51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/271.pdf,NA,NA
28/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7519,Samples Sent,33,NA,19,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/272.pdf,NA,NA
29/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7567,Samples Sent,33,NA,48,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/273.pdf,NA,NA
30/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7567,Samples Sent,33,NA,129,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/274.pdf,NA,NA
31/05/2020,Andaman and Nicobar Islands,NA,NA,NA,7706,Samples Sent,33,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/275.pdf,NA,NA
01/06/2020,Andaman and Nicobar Islands,NA,NA,NA,7805,Samples Sent,33,NA,99,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/276.pdf,NA,NA
02/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8086,Samples Sent,33,NA,274,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/277.pdf,NA,NA
03/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8295,Samples Sent,33,NA,208,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/278.pdf,NA,NA
04/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8413,Samples Sent,33,NA,118,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/280.pdf,NA,NA
05/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8694,Samples Sent,33,NA,281,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/281.pdf,NA,NA
06/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9037,Samples Sent,33,NA,343,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/282.pdf,NA,NA
07/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9242,Samples Sent,33,NA,404,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/283.pdf,NA,NA
08/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9341,Samples Sent,33,NA,279,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/6803?single,NA,NA
09/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9859,Samples Sent,33,NA,531,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/290.pdf,NA,NA
10/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10010,Samples Sent,35,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/291.pdf,NA,NA
11/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10226,Samples Sent,38,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/292.pdf,NA,NA
12/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10697,Samples Sent,38,NA,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/293.pdf,NA,NA
13/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10955,Samples Sent,38,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/294.pdf,NA,NA
14/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11356,Samples Sent,38,NA,1040,NA,1,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/295.pdf,NA,NA
15/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11518,Samples Sent,41,NA,579,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/296.pdf,NA,NA
16/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11809,Samples Sent,44,NA,719,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/297.pdf,NA,NA
17/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12239,Samples Sent,44,NA,383,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/298.pdf,NA,NA
18/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12622,Samples Sent,45,NA,350,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/299.pdf,NA,NA
19/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12930,Samples Sent,47,NA,306,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/300.pdf,NA,NA
