Country	Date	Cases	Recovered	Deaths
Belgium	2020-01-22	0	0	0
Belgium	2020-01-23	0	0	0
Belgium	2020-01-24	0	0	0
Belgium	2020-01-25	0	0	0
Belgium	2020-01-26	0	0	0
Belgium	2020-01-27	0	0	0
Belgium	2020-01-28	0	0	0
Belgium	2020-01-29	0	0	0
Belgium	2020-01-30	0	0	0
Belgium	2020-01-31	0	0	0
Belgium	2020-02-01	0	0	0
Belgium	2020-02-02	0	0	0
Belgium	2020-02-03	0	0	0
Belgium	2020-02-04	1	0	0
Belgium	2020-02-05	1	0	0
Belgium	2020-02-06	1	0	0
Belgium	2020-02-07	1	0	0
Belgium	2020-02-08	1	0	0
Belgium	2020-02-09	1	0	0
Belgium	2020-02-10	1	0	0
Belgium	2020-02-11	1	0	0
Belgium	2020-02-12	1	0	0
Belgium	2020-02-13	1	0	0
Belgium	2020-02-14	1	0	0
Belgium	2020-02-15	1	0	0
Belgium	2020-02-16	1	0	0
Belgium	2020-02-17	1	1	0
Belgium	2020-02-18	1	1	0
Belgium	2020-02-19	1	1	0
Belgium	2020-02-20	1	1	0
Belgium	2020-02-21	1	1	0
Belgium	2020-02-22	1	1	0
Belgium	2020-02-23	1	1	0
Belgium	2020-02-24	1	1	0
Belgium	2020-02-25	1	1	0
Belgium	2020-02-26	1	1	0
Belgium	2020-02-27	1	1	0
Belgium	2020-02-28	1	1	0
Belgium	2020-02-29	1	1	0
Belgium	2020-03-01	2	1	0
Belgium	2020-03-02	8	1	0
Belgium	2020-03-03	13	1	0
Belgium	2020-03-04	23	1	0
Belgium	2020-03-05	50	1	0
Belgium	2020-03-06	109	1	0
Belgium	2020-03-07	169	1	0
Belgium	2020-03-08	200	1	0
Belgium	2020-03-09	239	1	0
Belgium	2020-03-10	267	1	0
Belgium	2020-03-11	314	1	3
Belgium	2020-03-12	314	1	3
Belgium	2020-03-13	559	1	3
Belgium	2020-03-14	689	1	4
Belgium	2020-03-15	886	1	4
Belgium	2020-03-16	1058	1	5
Belgium	2020-03-17	1243	1	10
Belgium	2020-03-18	1486	31	14
Belgium	2020-03-19	1795	31	21
Belgium	2020-03-20	2257	1	37
Belgium	2020-03-21	2815	263	67
Belgium	2020-03-22	3401	263	75
Belgium	2020-03-23	3743	263	88
Belgium	2020-03-24	4269	461	122
Belgium	2020-03-25	4937	547	178
Belgium	2020-03-26	6235	675	220
Belgium	2020-03-27	7284	858	289
Belgium	2020-03-28	9134	1063	353
Belgium	2020-03-29	10836	1359	431
Belgium	2020-03-30	11899	1527	513
Belgium	2020-03-31	12775	1696	705
Belgium	2020-04-01	13964	2132	828
Belgium	2020-04-02	15348	2495	1011
Belgium	2020-04-03	16770	2872	1143
Belgium	2020-04-04	18431	3247	1283
Belgium	2020-04-05	19691	3751	1447
Belgium	2020-04-06	20814	3986	1632
Belgium	2020-04-07	22194	4157	2035
Belgium	2020-04-08	23403	4681	2240
Belgium	2020-04-09	24983	5164	2523
Belgium	2020-04-10	26667	5568	3019
Belgium	2020-04-11	28018	5986	3346
Belgium	2020-04-12	29647	6463	3600
Belgium	2020-04-13	30589	6707	3903
Belgium	2020-04-14	31119	6868	4157
Belgium	2020-04-15	33573	7107	4440
Belgium	2020-04-16	34809	7562	4857
Belgium	2020-04-17	36138	7961	5163
Belgium	2020-04-18	37183	8348	5453
Belgium	2020-04-19	38496	8757	5683
Belgium	2020-04-20	39983	8895	5828
Belgium	2020-04-21	40956	9002	5998
Belgium	2020-04-22	41889	9433	6262
Belgium	2020-04-23	42797	9800	6490
Belgium	2020-04-24	44293	10122	6679
Belgium	2020-04-25	45325	10417	6917
Belgium	2020-04-26	46134	10785	7094
Belgium	2020-04-27	46687	10878	7207
Canada	2020-01-22	0	0	0
Canada	2020-01-23	0	0	0
Canada	2020-01-24	0	0	0
Canada	2020-01-25	0	0	0
Canada	2020-01-26	1	0	0
Canada	2020-01-27	1	0	0
Canada	2020-01-28	2	0	0
Canada	2020-01-29	2	0	0
Canada	2020-01-30	2	0	0
Canada	2020-01-31	4	0	0
Canada	2020-02-01	4	0	0
Canada	2020-02-02	4	0	0
Canada	2020-02-03	4	0	0
Canada	2020-02-04	4	0	0
Canada	2020-02-05	5	0	0
Canada	2020-02-06	5	0	0
Canada	2020-02-07	7	0	0
Canada	2020-02-08	7	0	0
Canada	2020-02-09	7	0	0
Canada	2020-02-10	7	0	0
Canada	2020-02-11	7	0	0
Canada	2020-02-12	7	1	0
Canada	2020-02-13	7	1	0
Canada	2020-02-14	7	1	0
Canada	2020-02-15	7	1	0
Canada	2020-02-16	7	1	0
Canada	2020-02-17	8	1	0
Canada	2020-02-18	8	1	0
Canada	2020-02-19	8	1	0
Canada	2020-02-20	8	1	0
Canada	2020-02-21	9	3	0
Canada	2020-02-22	9	3	0
Canada	2020-02-23	9	3	0
Canada	2020-02-24	10	3	0
Canada	2020-02-25	11	3	0
Canada	2020-02-26	11	3	0
Canada	2020-02-27	13	6	0
Canada	2020-02-28	14	6	0
Canada	2020-02-29	20	6	0
Canada	2020-03-01	24	6	0
Canada	2020-03-02	27	6	0
Canada	2020-03-03	30	6	0
Canada	2020-03-04	33	6	0
Canada	2020-03-05	37	6	0
Canada	2020-03-06	49	6	0
Canada	2020-03-07	54	8	0
Canada	2020-03-08	64	8	0
Canada	2020-03-09	77	8	1
Canada	2020-03-10	79	8	1
Canada	2020-03-11	108	8	1
Canada	2020-03-12	117	8	1
Canada	2020-03-13	193	8	1
Canada	2020-03-14	198	8	1
Canada	2020-03-15	252	8	1
Canada	2020-03-16	415	9	4
Canada	2020-03-17	478	9	5
Canada	2020-03-18	657	9	8
Canada	2020-03-19	800	9	9
Canada	2020-03-20	943	9	12
Canada	2020-03-21	1277	10	19
Canada	2020-03-22	1469	10	21
Canada	2020-03-23	2088	10	25
Canada	2020-03-24	2790	110	26
Canada	2020-03-25	3251	183	30
Canada	2020-03-26	4042	184	38
Canada	2020-03-27	4682	256	54
Canada	2020-03-28	5576	466	61
Canada	2020-03-29	6280	466	64
Canada	2020-03-30	7398	466	80
Canada	2020-03-31	8527	1592	101
Canada	2020-04-01	9560	1324	109
Canada	2020-04-02	11284	1735	139
Canada	2020-04-03	12437	2175	179
Canada	2020-04-04	12978	2577	218
Canada	2020-04-05	15756	3012	259
Canada	2020-04-06	16563	3256	339
Canada	2020-04-07	17872	3791	375
Canada	2020-04-08	19141	4154	407
Canada	2020-04-09	20654	5162	503
Canada	2020-04-10	22059	5855	557
Canada	2020-04-11	23316	6589	654
Canada	2020-04-12	24299	7123	714
Canada	2020-04-13	25680	7758	781
Canada	2020-04-14	27035	8210	901
Canada	2020-04-15	28209	8966	1008
Canada	2020-04-16	30809	9698	1259
Canada	2020-04-17	32814	10545	1356
Canada	2020-04-18	34356	10964	1401
Canada	2020-04-19	35633	11847	1565
Canada	2020-04-20	37658	12543	1727
Canada	2020-04-21	39402	13188	1910
Canada	2020-04-22	41663	14454	2078
Canada	2020-04-23	43299	14761	2241
Canada	2020-04-24	44919	15149	2402
Canada	2020-04-25	46371	16013	2571
Canada	2020-04-26	48033	16883	2687
Canada	2020-04-27	49616	18268	2841
China	2020-01-22	548	28	17
China	2020-01-23	643	30	18
China	2020-01-24	920	36	26
China	2020-01-25	1406	39	42
China	2020-01-26	2075	49	56
China	2020-01-27	2877	58	82
China	2020-01-28	5509	101	131
China	2020-01-29	6087	120	133
China	2020-01-30	8141	135	171
China	2020-01-31	9802	214	213
China	2020-02-01	11891	275	259
China	2020-02-02	16630	463	361
China	2020-02-03	19716	614	425
China	2020-02-04	23707	843	491
China	2020-02-05	27440	1115	563
China	2020-02-06	30587	1477	633
China	2020-02-07	34110	1999	718
China	2020-02-08	36814	2596	805
China	2020-02-09	39829	3219	905
China	2020-02-10	42354	3918	1012
China	2020-02-11	44386	4636	1112
China	2020-02-12	44759	5082	1117
China	2020-02-13	59895	6217	1369
China	2020-02-14	66358	7977	1521
China	2020-02-15	68413	9298	1663
China	2020-02-16	70513	10755	1766
China	2020-02-17	72434	12462	1864
China	2020-02-18	74211	14206	2003
China	2020-02-19	74619	15962	2116
China	2020-02-20	75077	18014	2238
China	2020-02-21	75550	18704	2238
China	2020-02-22	77001	22699	2443
China	2020-02-23	77022	23187	2445
China	2020-02-24	77241	25015	2595
China	2020-02-25	77754	27676	2665
China	2020-02-26	78166	30084	2717
China	2020-02-27	78600	32930	2746
China	2020-02-28	78928	36329	2790
China	2020-02-29	79356	39320	2837
China	2020-03-01	79932	42162	2872
China	2020-03-02	80136	44854	2914
China	2020-03-03	80261	47450	2947
China	2020-03-04	80386	50001	2983
China	2020-03-05	80537	52292	3015
China	2020-03-06	80690	53944	3044
China	2020-03-07	80770	55539	3072
China	2020-03-08	80823	57388	3100
China	2020-03-09	80860	58804	3123
China	2020-03-10	80887	60181	3139
China	2020-03-11	80921	61644	3161
China	2020-03-12	80932	62901	3172
China	2020-03-13	80945	64196	3180
China	2020-03-14	80977	65660	3193
China	2020-03-15	81003	67017	3203
China	2020-03-16	81033	67910	3217
China	2020-03-17	81058	68798	3230
China	2020-03-18	81102	69755	3241
China	2020-03-19	81156	70535	3249
China	2020-03-20	81250	71266	3253
China	2020-03-21	81305	71857	3259
China	2020-03-22	81435	72362	3274
China	2020-03-23	81498	72814	3274
China	2020-03-24	81591	73280	3281
China	2020-03-25	81661	73773	3285
China	2020-03-26	81782	74181	3291
China	2020-03-27	81897	74720	3296
China	2020-03-28	81999	75100	3299
China	2020-03-29	82122	75582	3304
China	2020-03-30	82198	75923	3308
China	2020-03-31	82279	76206	3309
China	2020-04-01	82361	76405	3316
China	2020-04-02	82432	76565	3322
China	2020-04-03	82511	76760	3326
China	2020-04-04	82543	76946	3330
China	2020-04-05	82602	77207	3333
China	2020-04-06	82665	77310	3335
China	2020-04-07	82718	77410	3335
China	2020-04-08	82809	77567	3337
China	2020-04-09	82883	77679	3339
China	2020-04-10	82941	77791	3340
China	2020-04-11	83014	77877	3343
China	2020-04-12	83134	77956	3343
China	2020-04-13	83213	78039	3345
China	2020-04-14	83306	78200	3345
China	2020-04-15	83356	78311	3346
China	2020-04-16	83403	78401	3346
China	2020-04-17	83760	77552	4636
China	2020-04-18	83787	77614	4636
China	2020-04-19	83805	77690	4636
China	2020-04-20	83817	77745	4636
China	2020-04-21	83853	77799	4636
China	2020-04-22	83868	77861	4636
China	2020-04-23	83884	77983	4636
China	2020-04-24	83899	78109	4636
China	2020-04-25	83909	78175	4636
China	2020-04-26	83912	78277	4637
China	2020-04-27	83918	78374	4637
France	2020-01-22	0	0	0
France	2020-01-23	0	0	0
France	2020-01-24	2	0	0
France	2020-01-25	3	0	0
France	2020-01-26	3	0	0
France	2020-01-27	3	0	0
France	2020-01-28	4	0	0
France	2020-01-29	5	0	0
France	2020-01-30	5	0	0
France	2020-01-31	5	0	0
France	2020-02-01	6	0	0
France	2020-02-02	6	0	0
France	2020-02-03	6	0	0
France	2020-02-04	6	0	0
France	2020-02-05	6	0	0
France	2020-02-06	6	0	0
France	2020-02-07	6	0	0
France	2020-02-08	11	0	0
France	2020-02-09	11	0	0
France	2020-02-10	11	0	0
France	2020-02-11	11	0	0
France	2020-02-12	11	2	0
France	2020-02-13	11	2	0
France	2020-02-14	11	2	0
France	2020-02-15	12	4	1
France	2020-02-16	12	4	1
France	2020-02-17	12	4	1
France	2020-02-18	12	4	1
France	2020-02-19	12	4	1
France	2020-02-20	12	4	1
France	2020-02-21	12	4	1
France	2020-02-22	12	4	1
France	2020-02-23	12	4	1
France	2020-02-24	12	4	1
France	2020-02-25	14	11	1
France	2020-02-26	18	11	2
France	2020-02-27	38	11	2
France	2020-02-28	57	11	2
France	2020-02-29	100	12	2
France	2020-03-01	130	12	2
France	2020-03-02	191	12	3
France	2020-03-03	204	12	4
France	2020-03-04	288	12	4
France	2020-03-05	380	12	6
France	2020-03-06	656	12	9
France	2020-03-07	959	12	11
France	2020-03-08	1136	12	19
France	2020-03-09	1219	12	19
