Date	State	Cases	Recovered	Deaths	Name
2020-04-28	an	33	15	0	Andaman and Nicobar Islands
2020-04-29	an	33	15	0	Andaman and Nicobar Islands
2020-04-30	an	33	16	0	Andaman and Nicobar Islands
2020-05-01	an	33	16	0	Andaman and Nicobar Islands
2020-05-02	an	33	26	0	Andaman and Nicobar Islands
2020-05-03	an	33	32	0	Andaman and Nicobar Islands
2020-05-04	an	33	32	0	Andaman and Nicobar Islands
2020-05-05	an	33	32	0	Andaman and Nicobar Islands
2020-05-06	an	33	32	0	Andaman and Nicobar Islands
2020-05-07	an	33	33	0	Andaman and Nicobar Islands
2020-05-08	an	33	33	0	Andaman and Nicobar Islands
2020-05-09	an	33	33	0	Andaman and Nicobar Islands
2020-05-10	an	33	33	0	Andaman and Nicobar Islands
2020-05-11	an	33	33	0	Andaman and Nicobar Islands
2020-05-12	an	33	33	0	Andaman and Nicobar Islands
2020-05-13	an	33	33	0	Andaman and Nicobar Islands
2020-05-14	an	33	33	0	Andaman and Nicobar Islands
2020-05-15	an	33	33	0	Andaman and Nicobar Islands
2020-05-16	an	33	33	0	Andaman and Nicobar Islands
2020-05-17	an	33	33	0	Andaman and Nicobar Islands
2020-05-18	an	33	33	0	Andaman and Nicobar Islands
2020-05-19	an	33	33	0	Andaman and Nicobar Islands
2020-05-20	an	33	33	0	Andaman and Nicobar Islands
2020-05-21	an	33	33	0	Andaman and Nicobar Islands
2020-05-22	an	33	33	0	Andaman and Nicobar Islands
2020-05-23	an	33	33	0	Andaman and Nicobar Islands
2020-05-24	an	33	33	0	Andaman and Nicobar Islands
2020-05-25	an	33	33	0	Andaman and Nicobar Islands
2020-05-26	an	33	33	0	Andaman and Nicobar Islands
2020-05-27	an	33	33	0	Andaman and Nicobar Islands
2020-05-28	an	33	33	0	Andaman and Nicobar Islands
2020-05-29	an	33	33	0	Andaman and Nicobar Islands
2020-05-30	an	33	33	0	Andaman and Nicobar Islands
2020-05-31	an	33	33	0	Andaman and Nicobar Islands
2020-06-01	an	33	33	0	Andaman and Nicobar Islands
2020-06-02	an	33	33	0	Andaman and Nicobar Islands
2020-06-03	an	33	33	0	Andaman and Nicobar Islands
2020-06-04	an	33	33	0	Andaman and Nicobar Islands
2020-06-05	an	33	33	0	Andaman and Nicobar Islands
2020-06-06	an	33	33	0	Andaman and Nicobar Islands
2020-06-07	an	33	33	0	Andaman and Nicobar Islands
2020-06-08	an	33	33	0	Andaman and Nicobar Islands
2020-06-09	an	34	33	0	Andaman and Nicobar Islands
2020-06-10	an	35	33	0	Andaman and Nicobar Islands
2020-06-11	an	38	33	0	Andaman and Nicobar Islands
2020-06-12	an	38	33	0	Andaman and Nicobar Islands
2020-06-13	an	38	33	0	Andaman and Nicobar Islands
2020-06-14	an	40	33	0	Andaman and Nicobar Islands
2020-06-15	an	41	33	0	Andaman and Nicobar Islands
2020-06-16	an	44	33	0	Andaman and Nicobar Islands
2020-06-17	an	44	33	0	Andaman and Nicobar Islands
2020-06-18	an	45	35	0	Andaman and Nicobar Islands
2020-06-19	an	47	35	0	Andaman and Nicobar Islands
2020-06-20	an	47	35	0	Andaman and Nicobar Islands
2020-06-21	an	48	37	0	Andaman and Nicobar Islands
2020-06-22	an	48	37	0	Andaman and Nicobar Islands
2020-06-23	an	50	40	0	Andaman and Nicobar Islands
2020-06-24	an	56	41	0	Andaman and Nicobar Islands
2020-06-25	an	58	41	0	Andaman and Nicobar Islands
2020-06-26	an	72	43	0	Andaman and Nicobar Islands
2020-06-27	an	72	43	0	Andaman and Nicobar Islands
2020-06-28	an	83	45	0	Andaman and Nicobar Islands
2020-06-29	an	90	45	0	Andaman and Nicobar Islands
2020-06-30	an	97	45	0	Andaman and Nicobar Islands
2020-07-01	an	100	50	0	Andaman and Nicobar Islands
2020-07-02	an	109	51	0	Andaman and Nicobar Islands
2020-07-03	an	116	54	0	Andaman and Nicobar Islands
2020-07-04	an	119	66	0	Andaman and Nicobar Islands
2020-07-05	an	125	72	0	Andaman and Nicobar Islands
2020-07-06	an	141	74	0	Andaman and Nicobar Islands
2020-07-07	an	147	74	0	Andaman and Nicobar Islands
2020-07-08	an	149	74	0	Andaman and Nicobar Islands
2020-07-09	an	156	83	0	Andaman and Nicobar Islands
2020-07-10	an	156	92	0	Andaman and Nicobar Islands
2020-07-11	an	156	92	0	Andaman and Nicobar Islands
2020-07-12	an	163	100	0	Andaman and Nicobar Islands
2020-07-13	an	166	109	0	Andaman and Nicobar Islands
2020-07-14	an	171	129	0	Andaman and Nicobar Islands
2020-07-15	an	176	130	0	Andaman and Nicobar Islands
2020-07-16	an	180	133	0	Andaman and Nicobar Islands
2020-07-17	an	180	133	0	Andaman and Nicobar Islands
2020-07-18	an	184	136	0	Andaman and Nicobar Islands
2020-07-19	an	199	136	0	Andaman and Nicobar Islands
2020-07-20	an	203	142	0	Andaman and Nicobar Islands
2020-07-21	an	208	150	0	Andaman and Nicobar Islands
2020-07-22	an	217	154	0	Andaman and Nicobar Islands
2020-07-23	an	236	161	0	Andaman and Nicobar Islands
2020-07-24	an	255	165	0	Andaman and Nicobar Islands
2020-07-25	an	286	167	0	Andaman and Nicobar Islands
2020-07-26	an	314	171	0	Andaman and Nicobar Islands
2020-07-27	an	334	183	1	Andaman and Nicobar Islands
2020-07-28	an	359	187	1	Andaman and Nicobar Islands
2020-07-29	an	424	192	2	Andaman and Nicobar Islands
2020-07-30	an	466	192	3	Andaman and Nicobar Islands
2020-07-31	an	544	205	5	Andaman and Nicobar Islands
2020-08-01	an	632	217	7	Andaman and Nicobar Islands
2020-08-02	an	730	233	8	Andaman and Nicobar Islands
2020-08-03	an	826	254	10	Andaman and Nicobar Islands
2020-08-04	an	924	268	12	Andaman and Nicobar Islands
2020-08-05	an	1023	317	14	Andaman and Nicobar Islands
2020-08-06	an	1119	346	16	Andaman and Nicobar Islands
2020-08-07	an	1218	416	19	Andaman and Nicobar Islands
2020-08-08	an	1347	491	20	Andaman and Nicobar Islands
2020-08-09	an	1486	639	20	Andaman and Nicobar Islands
2020-08-10	an	1621	700	20	Andaman and Nicobar Islands
2020-08-11	an	1760	740	21	Andaman and Nicobar Islands
2020-08-12	an	1896	820	21	Andaman and Nicobar Islands
2020-08-13	an	2033	915	22	Andaman and Nicobar Islands
2020-08-14	an	2182	1023	24	Andaman and Nicobar Islands
2020-08-15	an	2302	1119	24	Andaman and Nicobar Islands
2020-08-16	an	2395	1217	28	Andaman and Nicobar Islands
2020-08-17	an	2441	1316	29	Andaman and Nicobar Islands
2020-08-18	an	2525	1412	30	Andaman and Nicobar Islands
2020-08-19	an	2600	1520	30	Andaman and Nicobar Islands
2020-08-20	an	2676	1629	31	Andaman and Nicobar Islands
2020-08-21	an	2743	1735	32	Andaman and Nicobar Islands
2020-08-22	an	2804	1844	32	Andaman and Nicobar Islands
2020-08-23	an	2856	1954	33	Andaman and Nicobar Islands
2020-08-24	an	2900	2083	35	Andaman and Nicobar Islands
2020-08-25	an	2941	2222	37	Andaman and Nicobar Islands
2020-08-26	an	2981	2300	41	Andaman and Nicobar Islands
2020-08-27	an	3014	2365	42	Andaman and Nicobar Islands
2020-08-28	an	3046	2435	42	Andaman and Nicobar Islands
2020-08-29	an	3077	2510	44	Andaman and Nicobar Islands
2020-08-30	an	3100	2577	45	Andaman and Nicobar Islands
2020-08-31	an	3128	2638	46	Andaman and Nicobar Islands
2020-09-01	an	3156	2705	46	Andaman and Nicobar Islands
2020-09-02	an	3182	2749	47	Andaman and Nicobar Islands
2020-09-03	an	3219	2814	48	Andaman and Nicobar Islands
2020-09-04	an	3253	2854	49	Andaman and Nicobar Islands
2020-09-05	an	3288	2895	50	Andaman and Nicobar Islands
2020-09-06	an	3328	2942	50	Andaman and Nicobar Islands
2020-09-07	an	3355	2988	50	Andaman and Nicobar Islands
2020-09-08	an	3388	3026	50	Andaman and Nicobar Islands
2020-09-09	an	3422	3069	51	Andaman and Nicobar Islands
2020-09-10	an	3461	3112	51	Andaman and Nicobar Islands
2020-09-11	an	3490	3148	51	Andaman and Nicobar Islands
2020-09-12	an	3517	3193	51	Andaman and Nicobar Islands
2020-09-13	an	3542	3234	51	Andaman and Nicobar Islands
2020-09-14	an	3553	3269	52	Andaman and Nicobar Islands
2020-09-15	an	3570	3309	52	Andaman and Nicobar Islands
2020-09-16	an	3589	3336	52	Andaman and Nicobar Islands
2020-09-17	an	3600	3369	52	Andaman and Nicobar Islands
2020-09-18	an	3627	3405	52	Andaman and Nicobar Islands
2020-09-19	an	3640	3427	52	Andaman and Nicobar Islands
2020-09-20	an	3647	3442	52	Andaman and Nicobar Islands
2020-09-21	an	3669	3460	52	Andaman and Nicobar Islands
2020-09-22	an	3687	3470	52	Andaman and Nicobar Islands
2020-09-23	an	3708	3485	52	Andaman and Nicobar Islands
2020-09-24	an	3740	3494	52	Andaman and Nicobar Islands
2020-09-25	an	3755	3519	52	Andaman and Nicobar Islands
2020-09-26	an	3770	3542	52	Andaman and Nicobar Islands
2020-09-27	an	3790	3544	53	Andaman and Nicobar Islands
2020-09-28	an	3799	3573	53	Andaman and Nicobar Islands
2020-09-29	an	3817	3578	53	Andaman and Nicobar Islands
2020-09-30	an	3831	3599	53	Andaman and Nicobar Islands
2020-10-01	an	3844	3614	53	Andaman and Nicobar Islands
2020-10-02	an	3854	3622	53	Andaman and Nicobar Islands
2020-10-03	an	3864	3633	53	Andaman and Nicobar Islands
2020-10-04	an	3880	3640	53	Andaman and Nicobar Islands
2020-10-05	an	3895	3650	54	Andaman and Nicobar Islands
2020-10-06	an	3908	3669	54	Andaman and Nicobar Islands
2020-10-07	an	3931	3687	54	Andaman and Nicobar Islands
2020-10-08	an	3948	3698	55	Andaman and Nicobar Islands
2020-10-09	an	3972	3715	55	Andaman and Nicobar Islands
2020-10-10	an	3988	3735	55	Andaman and Nicobar Islands
2020-10-11	an	4001	3755	55	Andaman and Nicobar Islands
2020-10-12	an	4019	3761	55	Andaman and Nicobar Islands
2020-10-13	an	4032	3773	55	Andaman and Nicobar Islands
2020-10-14	an	4042	3787	55	Andaman and Nicobar Islands
2020-10-15	an	4058	3808	55	Andaman and Nicobar Islands
2020-10-16	an	4068	3822	56	Andaman and Nicobar Islands
2020-10-17	an	4079	3839	56	Andaman and Nicobar Islands
2020-10-18	an	4104	3859	56	Andaman and Nicobar Islands
2020-10-19	an	4122	3883	56	Andaman and Nicobar Islands
2020-10-20	an	4137	3893	56	Andaman and Nicobar Islands
2020-10-21	an	4164	3904	56	Andaman and Nicobar Islands
2020-10-22	an	4180	3928	57	Andaman and Nicobar Islands
2020-10-23	an	4203	3936	58	Andaman and Nicobar Islands
2020-10-24	an	4221	3959	58	Andaman and Nicobar Islands
2020-10-25	an	4241	3974	58	Andaman and Nicobar Islands
2020-10-26	an	4249	3988	58	Andaman and Nicobar Islands
2020-10-27	an	4270	4010	58	Andaman and Nicobar Islands
2020-10-28	an	4285	4030	58	Andaman and Nicobar Islands
2020-10-29	an	4301	4045	59	Andaman and Nicobar Islands
2020-10-30	an	4313	4067	59	Andaman and Nicobar Islands
2020-10-31	an	4328	4091	59	Andaman and Nicobar Islands
2020-11-01	an	4336	4103	60	Andaman and Nicobar Islands
2020-11-02	an	4348	4123	60	Andaman and Nicobar Islands
2020-11-03	an	4368	4144	60	Andaman and Nicobar Islands
2020-11-04	an	4385	4154	60	Andaman and Nicobar Islands
2020-11-05	an	4399	4166	60	Andaman and Nicobar Islands
2020-11-06	an	4416	4185	60	Andaman and Nicobar Islands
2020-11-07	an	4437	4197	60	Andaman and Nicobar Islands
2020-11-08	an	4446	4212	60	Andaman and Nicobar Islands
2020-11-09	an	4459	4230	60	Andaman and Nicobar Islands
2020-11-10	an	4473	4246	60	Andaman and Nicobar Islands
2020-11-11	an	4490	4258	60	Andaman and Nicobar Islands
2020-11-12	an	4503	4273	61	Andaman and Nicobar Islands
2020-11-13	an	4514	4295	61	Andaman and Nicobar Islands
2020-11-14	an	4523	4306	61	Andaman and Nicobar Islands
2020-11-15	an	4532	4321	61	Andaman and Nicobar Islands
2020-11-16	an	4553	4337	61	Andaman and Nicobar Islands
2020-11-17	an	4570	4354	61	Andaman and Nicobar Islands
2020-11-18	an	4589	4369	61	Andaman and Nicobar Islands
2020-11-19	an	4600	4389	61	Andaman and Nicobar Islands
2020-11-20	an	4613	4399	61	Andaman and Nicobar Islands
2020-11-21	an	4627	4419	61	Andaman and Nicobar Islands
2020-11-22	an	4637	4431	61	Andaman and Nicobar Islands
2020-11-23	an	4652	4444	61	Andaman and Nicobar Islands
2020-11-24	an	4663	4455	61	Andaman and Nicobar Islands
2020-11-25	an	4673	4470	61	Andaman and Nicobar Islands
2020-11-26	an	4678	4482	61	Andaman and Nicobar Islands
2020-11-27	an	4685	4499	61	Andaman and Nicobar Islands
2020-11-28	an	4694	4509	61	Andaman and Nicobar Islands
2020-11-29	an	4700	4528	61	Andaman and Nicobar Islands
2020-11-30	an	4706	4541	61	Andaman and Nicobar Islands
2020-12-01	an	4714	4557	61	Andaman and Nicobar Islands
2020-12-02	an	4719	4574	61	Andaman and Nicobar Islands
2020-12-03	an	4725	4588	61	Andaman and Nicobar Islands
2020-12-04	an	4738	4602	61	Andaman and Nicobar Islands
2020-12-05	an	4743	4607	61	Andaman and Nicobar Islands
2020-12-06	an	4754	4615	61	Andaman and Nicobar Islands
2020-12-07	an	4769	4622	61	Andaman and Nicobar Islands
2020-12-08	an	4774	4638	61	Andaman and Nicobar Islands
2020-12-09	an	4779	4638	61	Andaman and Nicobar Islands
2020-12-10	an	4787	4643	61	Andaman and Nicobar Islands
2020-12-11	an	4794	4650	61	Andaman and Nicobar Islands
2020-12-12	an	4801	4656	61	Andaman and Nicobar Islands
2020-12-13	an	4814	4664	61	Andaman and Nicobar Islands
2020-12-14	an	4830	4672	61	Andaman and Nicobar Islands
2020-12-15	an	4838	4679	61	Andaman and Nicobar Islands
2020-12-16	an	4846	4689	61	Andaman and Nicobar Islands
2020-12-17	an	4856	4698	61	Andaman and Nicobar Islands
2020-12-18	an	4865	4703	61	Andaman and Nicobar Islands
2020-12-19	an	4871	4710	61	Andaman and Nicobar Islands
2020-12-20	an	4877	4723	61	Andaman and Nicobar Islands
2020-12-21	an	4884	4731	62	Andaman and Nicobar Islands
2020-12-22	an	4889	4740	62	Andaman and Nicobar Islands
2020-12-23	an	4892	4752	62	Andaman and Nicobar Islands
2020-12-24	an	4897	4766	62	Andaman and Nicobar Islands
2020-12-25	an	4908	4772	62	Andaman and Nicobar Islands
2020-12-26	an	4908	4780	62	Andaman and Nicobar Islands
2020-12-27	an	4920	4789	62	Andaman and Nicobar Islands
2020-12-28	an	4925	4794	62	Andaman and Nicobar Islands
2020-12-29	an	4932	4802	62	Andaman and Nicobar Islands
2020-12-30	an	4937	4811	62	Andaman and Nicobar Islands
2020-12-31	an	4941	4817	62	Andaman and Nicobar Islands
2021-01-01	an	4942	4821	62	Andaman and Nicobar Islands
2021-01-02	an	4943	4828	62	Andaman and Nicobar Islands
2021-01-03	an	4944	4837	62	Andaman and Nicobar Islands
2021-01-04	an	4944	4839	62	Andaman and Nicobar Islands
2021-01-05	an	4945	4847	62	Andaman and Nicobar Islands
2021-01-06	an	4945	4850	62	Andaman and Nicobar Islands
2021-01-07	an	4954	4855	62	Andaman and Nicobar Islands
2021-01-08	an	4955	4857	62	Andaman and Nicobar Islands
2021-01-09	an	4955	4864	62	Andaman and Nicobar Islands
2021-01-10	an	4956	4866	62	Andaman and Nicobar Islands
2021-01-11	an	4959	4875	62	Andaman and Nicobar Islands
2021-01-12	an	4962	4877	62	Andaman and Nicobar Islands
2021-01-13	an	4965	4882	62	Andaman and Nicobar Islands
2021-01-14	an	4972	4882	62	Andaman and Nicobar Islands
2021-01-15	an	4975	4886	62	Andaman and Nicobar Islands
2021-01-16	an	4978	4886	62	Andaman and Nicobar Islands
2021-01-17	an	4979	4887	62	Andaman and Nicobar Islands
2021-01-18	an	4984	4888	62	Andaman and Nicobar Islands
2021-01-19	an	4985	4888	62	Andaman and Nicobar Islands
2021-01-20	an	4987	4891	62	Andaman and Nicobar Islands
2021-01-21	an	4987	4895	62	Andaman and Nicobar Islands
2021-01-22	an	4988	4898	62	Andaman and Nicobar Islands
2021-01-23	an	4989	4898	62	Andaman and Nicobar Islands
2021-01-24	an	4989	4899	62	Andaman and Nicobar Islands
2021-01-25	an	4990	4908	62	Andaman and Nicobar Islands
2021-01-26	an	4990	4908	62	Andaman and Nicobar Islands
2021-01-27	an	4990	4913	62	Andaman and Nicobar Islands
2021-01-28	an	4990	4915	62	Andaman and Nicobar Islands
2021-01-29	an	4990	4918	62	Andaman and Nicobar Islands
2021-01-30	an	4990	4919	62	Andaman and Nicobar Islands
2021-01-31	an	4990	4919	62	Andaman and Nicobar Islands
2021-02-01	an	4990	4923	62	Andaman and Nicobar Islands
2021-02-02	an	4990	4923	62	Andaman and Nicobar Islands
2021-02-03	an	4990	4923	62	Andaman and Nicobar Islands
2021-02-04	an	4990	4923	62	Andaman and Nicobar Islands
2021-02-05	an	4993	4923	62	Andaman and Nicobar Islands
2021-02-06	an	4996	4923	62	Andaman and Nicobar Islands
2021-02-07	an	4997	4923	62	Andaman and Nicobar Islands
2021-02-08	an	5001	4923	62	Andaman and Nicobar Islands
2021-02-09	an	5003	4923	62	Andaman and Nicobar Islands
2021-02-10	an	5003	4923	62	Andaman and Nicobar Islands
2021-02-11	an	5003	4923	62	Andaman and Nicobar Islands
2021-02-12	an	5003	4925	62	Andaman and Nicobar Islands
2021-02-13	an	5005	4929	62	Andaman and Nicobar Islands
2021-02-14	an	5005	4929	62	Andaman and Nicobar Islands
2021-02-15	an	5005	4929	62	Andaman and Nicobar Islands
2021-02-16	an	5009	4934	62	Andaman and Nicobar Islands
2021-02-17	an	5010	4935	62	Andaman and Nicobar Islands
2021-02-18	an	5010	4935	62	Andaman and Nicobar Islands
2021-02-19	an	5010	4939	62	Andaman and Nicobar Islands
2021-02-20	an	5010	4940	62	Andaman and Nicobar Islands
2021-02-21	an	5010	4940	62	Andaman and Nicobar Islands
2021-02-22	an	5011	4940	62	Andaman and Nicobar Islands
2021-02-23	an	5012	4940	62	Andaman and Nicobar Islands
2021-02-24	an	5012	4941	62	Andaman and Nicobar Islands
2021-02-25	an	5012	4943	62	Andaman and Nicobar Islands
2021-02-26	an	5013	4943	62	Andaman and Nicobar Islands
2021-02-27	an	5014	4943	62	Andaman and Nicobar Islands
2021-02-28	an	5016	4943	62	Andaman and Nicobar Islands
2021-03-01	an	5016	4943	62	Andaman and Nicobar Islands
2021-03-02	an	5016	4943	62	Andaman and Nicobar Islands
2021-03-03	an	5018	4943	62	Andaman and Nicobar Islands
2021-03-04	an	5020	4944	62	Andaman and Nicobar Islands
2021-03-05	an	5020	4945	62	Andaman and Nicobar Islands
2021-03-06	an	5020	4946	62	Andaman and Nicobar Islands
2021-03-07	an	5020	4946	62	Andaman and Nicobar Islands
2021-03-08	an	5022	4948	62	Andaman and Nicobar Islands
2021-03-09	an	5024	4949	62	Andaman and Nicobar Islands
2021-03-10	an	5024	4951	62	Andaman and Nicobar Islands
2021-03-11	an	5024	4951	62	Andaman and Nicobar Islands
2021-03-12	an	5025	4952	62	Andaman and Nicobar Islands
2021-03-13	an	5026	4955	62	Andaman and Nicobar Islands
2021-03-14	an	5027	4955	62	Andaman and Nicobar Islands
2021-03-15	an	5027	4957	62	Andaman and Nicobar Islands
2021-03-16	an	5028	4958	62	Andaman and Nicobar Islands
2021-03-17	an	5031	4958	62	Andaman and Nicobar Islands
2021-03-18	an	5032	4960	62	Andaman and Nicobar Islands
2021-03-19	an	5034	4960	62	Andaman and Nicobar Islands
2021-03-20	an	5034	4960	62	Andaman and Nicobar Islands
2021-03-21	an	5035	4960	62	Andaman and Nicobar Islands
2021-03-22	an	5035	4960	62	Andaman and Nicobar Islands
2021-03-23	an	5035	4963	62	Andaman and Nicobar Islands
2021-03-24	an	5037	4964	62	Andaman and Nicobar Islands
2021-03-25	an	5038	4965	62	Andaman and Nicobar Islands
2021-03-26	an	5039	4965	62	Andaman and Nicobar Islands
2021-03-27	an	5040	4966	62	Andaman and Nicobar Islands
2021-03-28	an	5042	4967	62	Andaman and Nicobar Islands
2021-03-29	an	5048	4967	62	Andaman and Nicobar Islands
2021-03-30	an	5077	4967	62	Andaman and Nicobar Islands
2021-03-31	an	5079	4967	62	Andaman and Nicobar Islands
2021-04-01	an	5080	4971	62	Andaman and Nicobar Islands
2021-04-02	an	5080	4972	62	Andaman and Nicobar Islands
2021-04-03	an	5094	4978	62	Andaman and Nicobar Islands
2021-04-04	an	5105	4981	62	Andaman and Nicobar Islands
2021-04-05	an	5112	4992	62	Andaman and Nicobar Islands
2021-04-06	an	5119	5001	62	Andaman and Nicobar Islands
2021-04-07	an	5127	5011	62	Andaman and Nicobar Islands
2021-04-08	an	5145	5018	62	Andaman and Nicobar Islands
2021-04-09	an	5157	5019	62	Andaman and Nicobar Islands
2021-04-10	an	5171	5029	62	Andaman and Nicobar Islands
2021-04-11	an	5186	5031	62	Andaman and Nicobar Islands
2021-04-12	an	5197	5041	62	Andaman and Nicobar Islands
2021-04-13	an	5205	5045	62	Andaman and Nicobar Islands
2021-04-14	an	5243	5069	63	Andaman and Nicobar Islands
2021-04-15	an	5258	5073	63	Andaman and Nicobar Islands
2021-04-16	an	5285	5101	63	Andaman and Nicobar Islands
2021-04-17	an	5327	5137	64	Andaman and Nicobar Islands
2021-04-18	an	5386	5191	64	Andaman and Nicobar Islands
2021-04-19	an	5417	5203	64	Andaman and Nicobar Islands
2021-04-20	an	5462	5234	64	Andaman and Nicobar Islands
2021-04-21	an	5486	5267	64	Andaman and Nicobar Islands
2021-04-22	an	5523	5300	65	Andaman and Nicobar Islands
2021-04-23	an	5565	5349	65	Andaman and Nicobar Islands
2021-04-24	an	5610	5401	66	Andaman and Nicobar Islands
2021-04-25	an	5661	5458	66	Andaman and Nicobar Islands
2021-04-26	an	5712	5511	66	Andaman and Nicobar Islands
2021-04-27	an	5760	5553	66	Andaman and Nicobar Islands
2020-03-15	ap	1	0	0	Andhra Pradesh
2020-03-16	ap	1	0	0	Andhra Pradesh
2020-03-17	ap	1	0	0	Andhra Pradesh
2020-03-18	ap	1	0	0	Andhra Pradesh
2020-03-19	ap	3	0	0	Andhra Pradesh
2020-03-20	ap	3	0	0	Andhra Pradesh
2020-03-21	ap	5	0	0	Andhra Pradesh
2020-03-22	ap	6	0	0	Andhra Pradesh
2020-03-23	ap	7	0	0	Andhra Pradesh
2020-03-24	ap	8	0	0	Andhra Pradesh
2020-03-25	ap	10	1	0	Andhra Pradesh
2020-03-26	ap	11	1	0	Andhra Pradesh
2020-03-27	ap	13	1	0	Andhra Pradesh
2020-03-28	ap	19	1	0	Andhra Pradesh
2020-03-29	ap	21	1	0	Andhra Pradesh
2020-03-30	ap	23	1	0	Andhra Pradesh
2020-03-31	ap	44	1	0	Andhra Pradesh
2020-04-01	ap	111	2	0	Andhra Pradesh
2020-04-02	ap	149	2	0	Andhra Pradesh
2020-04-03	ap	164	2	1	Andhra Pradesh
2020-04-04	ap	192	2	1	Andhra Pradesh
2020-04-05	ap	256	5	1	Andhra Pradesh
2020-04-06	ap	303	5	3	Andhra Pradesh
2020-04-07	ap	314	5	4	Andhra Pradesh
2020-04-08	ap	348	6	4	Andhra Pradesh
2020-04-09	ap	363	10	6	Andhra Pradesh
2020-04-10	ap	381	10	6	Andhra Pradesh
2020-04-11	ap	405	10	6	Andhra Pradesh
2020-04-12	ap	420	12	7	Andhra Pradesh
2020-04-13	ap	439	12	7	Andhra Pradesh
2020-04-14	ap	484	16	11	Andhra Pradesh
2020-04-15	ap	525	20	14	Andhra Pradesh
2020-04-16	ap	534	20	14	Andhra Pradesh
2020-04-17	ap	572	35	14	Andhra Pradesh
2020-04-18	ap	603	42	16	Andhra Pradesh
2020-04-19	ap	647	65	17	Andhra Pradesh
2020-04-20	ap	722	92	20	Andhra Pradesh
2020-04-21	ap	757	96	22	Andhra Pradesh
2020-04-22	ap	813	120	24	Andhra Pradesh
2020-04-23	ap	893	141	27	Andhra Pradesh
2020-04-24	ap	955	145	29	Andhra Pradesh
2020-04-25	ap	1016	171	31	Andhra Pradesh
2020-04-26	ap	1097	231	31	Andhra Pradesh
2020-04-27	ap	1177	235	31	Andhra Pradesh
2020-04-28	ap	1259	258	31	Andhra Pradesh
2020-04-29	ap	1332	287	31	Andhra Pradesh
2020-04-30	ap	1403	321	31	Andhra Pradesh
2020-05-01	ap	1463	403	33	Andhra Pradesh
2020-05-02	ap	1525	441	33	Andhra Pradesh
2020-05-03	ap	1583	488	33	Andhra Pradesh
2020-05-04	ap	1650	524	33	Andhra Pradesh
2020-05-05	ap	1717	589	34	Andhra Pradesh
2020-05-06	ap	1777	729	36	Andhra Pradesh
2020-05-07	ap	1833	780	38	Andhra Pradesh
2020-05-08	ap	1887	842	41	Andhra Pradesh
2020-05-09	ap	1930	887	44	Andhra Pradesh
2020-05-10	ap	1980	925	45	Andhra Pradesh
2020-05-11	ap	2018	998	45	Andhra Pradesh
2020-05-12	ap	2089	1056	46	Andhra Pradesh
