date,variable,value,text
2022-07-07,case_daily_reported,17966.3076923077,"17,966 daily cases on 2022-07-07"
2022-07-08,case_daily_reported,18163.8846153846,"18,164 daily cases on 2022-07-08"
2022-07-09,case_daily_reported,18545.9615384615,"18,546 daily cases on 2022-07-09"
2022-07-10,case_daily_reported,18857.6538461538,"18,858 daily cases on 2022-07-10"
2022-07-11,case_daily_reported,19290.8846153846,"19,291 daily cases on 2022-07-11"
2022-07-12,case_daily_reported,19562.6923076923,"19,563 daily cases on 2022-07-12"
2022-07-13,case_daily_reported,19882.1153846154,"19,882 daily cases on 2022-07-13"
2022-07-14,case_daily_reported,20228.5769230769,"20,229 daily cases on 2022-07-14"
2022-07-15,case_daily_reported,20640.0384615385,"20,640 daily cases on 2022-07-15"
2022-07-16,case_daily_reported,20979.9230769231,"20,980 daily cases on 2022-07-16"
2022-07-17,case_daily_reported,21319.8461538462,"21,320 daily cases on 2022-07-17"
2022-07-18,case_daily_reported,21659.0769230769,"21,659 daily cases on 2022-07-18"
2022-07-19,case_daily_reported,22120.5,"22,120 daily cases on 2022-07-19"
2022-07-20,case_daily_reported,22526.3461538462,"22,526 daily cases on 2022-07-20"
2022-07-21,case_daily_reported,22940.3461538462,"22,940 daily cases on 2022-07-21"
2022-07-22,case_daily_reported,23259.6153846154,"23,260 daily cases on 2022-07-22"
2022-07-23,case_daily_reported,23626.2692307692,"23,626 daily cases on 2022-07-23"
2022-07-24,case_daily_reported,24045.7307692308,"24,046 daily cases on 2022-07-24"
2022-07-25,case_daily_reported,24482.1153846154,"24,482 daily cases on 2022-07-25"
2022-07-26,case_daily_reported,24904.8076923077,"24,905 daily cases on 2022-07-26"
2022-07-27,case_daily_reported,25286.4230769231,"25,286 daily cases on 2022-07-27"
2022-07-28,case_daily_reported,25800.5769230769,"25,801 daily cases on 2022-07-28"
2022-07-29,case_daily_reported,26313.3076923077,"26,313 daily cases on 2022-07-29"
2022-07-30,case_daily_reported,26736.3076923077,"26,736 daily cases on 2022-07-30"
2022-07-31,case_daily_reported,27280.1923076923,"27,280 daily cases on 2022-07-31"
2022-08-01,case_daily_reported,27682.3846153846,"27,682 daily cases on 2022-08-01"
2022-08-02,case_daily_reported,28065.5,"28,066 daily cases on 2022-08-02"
2022-08-03,case_daily_reported,28705.4230769231,"28,705 daily cases on 2022-08-03"
2022-08-04,case_daily_reported,29173,"29,173 daily cases on 2022-08-04"
2022-08-05,case_daily_reported,29649.8846153846,"29,650 daily cases on 2022-08-05"
2022-08-06,case_daily_reported,30172.6153846154,"30,173 daily cases on 2022-08-06"
2022-08-07,case_daily_reported,30620.1538461539,"30,620 daily cases on 2022-08-07"
2022-08-08,case_daily_reported,31148.9615384615,"31,149 daily cases on 2022-08-08"
2022-08-09,case_daily_reported,31726.7307692308,"31,727 daily cases on 2022-08-09"
2022-08-10,case_daily_reported,32178.8846153846,"32,179 daily cases on 2022-08-10"
2022-08-11,case_daily_reported,32714.7307692308,"32,715 daily cases on 2022-08-11"
2022-08-12,case_daily_reported,33405.3461538462,"33,405 daily cases on 2022-08-12"
2022-08-13,case_daily_reported,33862.1923076923,"33,862 daily cases on 2022-08-13"
2022-07-07,death_daily_reported,21.3461538461538,    21 daily deaths on 2022-07-07
2022-07-08,death_daily_reported,21.7307692307692,    22 daily deaths on 2022-07-08
2022-07-09,death_daily_reported,22.6923076923077,    23 daily deaths on 2022-07-09
2022-07-10,death_daily_reported,21,    21 daily deaths on 2022-07-10
2022-07-11,death_daily_reported,20.5769230769231,    21 daily deaths on 2022-07-11
2022-07-12,death_daily_reported,22.1153846153846,    22 daily deaths on 2022-07-12
2022-07-13,death_daily_reported,23.8461538461538,    24 daily deaths on 2022-07-13
2022-07-14,death_daily_reported,23.1153846153846,    23 daily deaths on 2022-07-14
2022-07-15,death_daily_reported,25.4615384615385,    25 daily deaths on 2022-07-15
2022-07-16,death_daily_reported,20.3076923076923,    20 daily deaths on 2022-07-16
2022-07-17,death_daily_reported,22.1538461538462,    22 daily deaths on 2022-07-17
2022-07-18,death_daily_reported,23.1923076923077,    23 daily deaths on 2022-07-18
2022-07-19,death_daily_reported,25.8461538461539,    26 daily deaths on 2022-07-19
2022-07-20,death_daily_reported,25.0769230769231,    25 daily deaths on 2022-07-20
2022-07-21,death_daily_reported,26.0384615384615,    26 daily deaths on 2022-07-21
2022-07-22,death_daily_reported,29,    29 daily deaths on 2022-07-22
2022-07-23,death_daily_reported,30.3461538461539,    30 daily deaths on 2022-07-23
2022-07-24,death_daily_reported,29.6538461538462,    30 daily deaths on 2022-07-24
2022-07-25,death_daily_reported,30.5,    30 daily deaths on 2022-07-25
