Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,True,4778,NA,Observed,solid,Apr  6,"4,778","NA",FALSE,"Apr  6: 4,778 observed cases"
2020-04-07,True,5311,NA,Observed,solid,Apr  7,"5,311","NA",FALSE,"Apr  7: 5,311 observed cases"
2020-04-08,True,5916,NA,Observed,solid,Apr  8,"5,916","NA",FALSE,"Apr  8: 5,916 observed cases"
2020-04-09,mod_2,6243,41248,Social distancing,solid,Apr  9,"6,243","41,248",FALSE,"Apr  9: 6,243 projected cases<br>Projection upper CI: 41,248 cases<br>"
2020-04-09,mod_3,6564,41860,No intervention,solid,Apr  9,"6,564","41,860",FALSE,"Apr  9: 6,564 projected cases<br>Projection upper CI: 41,860 cases<br>"
2020-04-09,mod_4,5679,39692,Lockdown with moderate return,solid,Apr  9,"5,679","39,692",TRUE,"Apr  9: 5,679 projected cases<br>Projection upper CI: 39,692 cases<br>"
2020-04-10,mod_2,6936,44990,Social distancing,solid,Apr 10,"6,936","44,990",FALSE,"Apr 10: 6,936 projected cases<br>Projection upper CI: 44,990 cases<br>"
2020-04-10,mod_3,7564,47104,No intervention,solid,Apr 10,"7,564","47,104",FALSE,"Apr 10: 7,564 projected cases<br>Projection upper CI: 47,104 cases<br>"
2020-04-10,mod_4,5929,41626,Lockdown with moderate return,solid,Apr 10,"5,929","41,626",TRUE,"Apr 10: 5,929 projected cases<br>Projection upper CI: 41,626 cases<br>"
2020-04-11,mod_2,7711,49301,Social distancing,solid,Apr 11,"7,711","49,301",FALSE,"Apr 11: 7,711 projected cases<br>Projection upper CI: 49,301 cases<br>"
2020-04-11,mod_3,8740,52915,No intervention,solid,Apr 11,"8,740","52,915",FALSE,"Apr 11: 8,740 projected cases<br>Projection upper CI: 52,915 cases<br>"
2020-04-11,mod_4,6175,43699,Lockdown with moderate return,solid,Apr 11,"6,175","43,699",TRUE,"Apr 11: 6,175 projected cases<br>Projection upper CI: 43,699 cases<br>"
2020-04-12,mod_2,8579,54156,Social distancing,solid,Apr 12,"8,579","54,156",FALSE,"Apr 12: 8,579 projected cases<br>Projection upper CI: 54,156 cases<br>"
2020-04-12,mod_3,10144,60634,No intervention,solid,Apr 12,"10,144","60,634",FALSE,"Apr 12: 10,144 projected cases<br>Projection upper CI: 60,634 cases<br>"
2020-04-12,mod_4,6414,45206,Lockdown with moderate return,solid,Apr 12,"6,414","45,206",TRUE,"Apr 12: 6,414 projected cases<br>Projection upper CI: 45,206 cases<br>"
2020-04-13,mod_2,9565,59791,Social distancing,solid,Apr 13,"9,565","59,791",FALSE,"Apr 13: 9,565 projected cases<br>Projection upper CI: 59,791 cases<br>"
2020-04-13,mod_3,11834,70045,No intervention,solid,Apr 13,"11,834","70,045",FALSE,"Apr 13: 11,834 projected cases<br>Projection upper CI: 70,045 cases<br>"
2020-04-13,mod_4,6643,47011,Lockdown with moderate return,solid,Apr 13,"6,643","47,011",TRUE,"Apr 13: 6,643 projected cases<br>Projection upper CI: 47,011 cases<br>"
2020-04-14,mod_2,10673,66342,Social distancing,solid,Apr 14,"10,673","66,342",FALSE,"Apr 14: 10,673 projected cases<br>Projection upper CI: 66,342 cases<br>"
2020-04-14,mod_3,13902,81857,No intervention,solid,Apr 14,"13,902","81,857",FALSE,"Apr 14: 13,902 projected cases<br>Projection upper CI: 81,857 cases<br>"
2020-04-14,mod_4,6867,48899,Lockdown with moderate return,solid,Apr 14,"6,867","48,899",TRUE,"Apr 14: 6,867 projected cases<br>Projection upper CI: 48,899 cases<br>"
2020-04-15,mod_2,11955,74692,Social distancing,solid,Apr 15,"11,955","74,692",FALSE,"Apr 15: 11,955 projected cases<br>Projection upper CI: 74,692 cases<br>"
