Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,text
2020-04-30,mod_2,30183,162894,Soc. Dist. + Travel Ban,solid,Apr 30,"30,183","162,894","Apr 30: 30,183 projected total cases<br>Projection upper CI: 162,894 cases<br>"
2020-04-30,mod_4,6187,45991,Moderate return,solid,Apr 30,"6,187","45,991","Apr 30: 6,187 projected total cases<br>Projection upper CI: 45,991 cases<br>"
2020-04-30,mod_5,6185,46051,Normal (pre-intervention),solid,Apr 30,"6,185","46,051","Apr 30: 6,185 projected total cases<br>Projection upper CI: 46,051 cases<br>"
2020-04-30,mod_6,6214,46384,Cautious return,solid,Apr 30,"6,214","46,384","Apr 30: 6,214 projected total cases<br>Projection upper CI: 46,384 cases<br>"
2020-05-01,mod_2,34546,183785,Soc. Dist. + Travel Ban,solid,May 01,"34,546","183,785","May 01: 34,546 projected total cases<br>Projection upper CI: 183,785 cases<br>"
2020-05-01,mod_4,6351,47260,Moderate return,solid,May 01,"6,351","47,260","May 01: 6,351 projected total cases<br>Projection upper CI: 47,260 cases<br>"
2020-05-01,mod_5,6361,47343,Normal (pre-intervention),solid,May 01,"6,361","47,343","May 01: 6,361 projected total cases<br>Projection upper CI: 47,343 cases<br>"
2020-05-01,mod_6,6370,47156,Cautious return,solid,May 01,"6,370","47,156","May 01: 6,370 projected total cases<br>Projection upper CI: 47,156 cases<br>"
2020-05-02,mod_2,39434,206411,Soc. Dist. + Travel Ban,solid,May 02,"39,434","206,411","May 02: 39,434 projected total cases<br>Projection upper CI: 206,411 cases<br>"
2020-05-02,mod_4,6525,48585,Moderate return,solid,May 02,"6,525","48,585","May 02: 6,525 projected total cases<br>Projection upper CI: 48,585 cases<br>"
2020-05-02,mod_5,6551,48578,Normal (pre-intervention),solid,May 02,"6,551","48,578","May 02: 6,551 projected total cases<br>Projection upper CI: 48,578 cases<br>"
2020-05-02,mod_6,6535,48835,Cautious return,solid,May 02,"6,535","48,835","May 02: 6,535 projected total cases<br>Projection upper CI: 48,835 cases<br>"
2020-05-03,mod_2,44891,231821,Soc. Dist. + Travel Ban,solid,May 03,"44,891","231,821","May 03: 44,891 projected total cases<br>Projection upper CI: 231,821 cases<br>"
2020-05-03,mod_4,6714,49930,Moderate return,solid,May 03,"6,714","49,930","May 03: 6,714 projected total cases<br>Projection upper CI: 49,930 cases<br>"
2020-05-03,mod_5,6768,50486,Normal (pre-intervention),solid,May 03,"6,768","50,486","May 03: 6,768 projected total cases<br>Projection upper CI: 50,486 cases<br>"
2020-05-03,mod_6,6709,49766,Cautious return,solid,May 03,"6,709","49,766","May 03: 6,709 projected total cases<br>Projection upper CI: 49,766 cases<br>"
2020-05-04,mod_2,50966,261691,Soc. Dist. + Travel Ban,solid,May 04,"50,966","261,691","May 04: 50,966 projected total cases<br>Projection upper CI: 261,691 cases<br>"
2020-05-04,mod_4,6921,51322,Moderate return,solid,May 04,"6,921","51,322","May 04: 6,921 projected total cases<br>Projection upper CI: 51,322 cases<br>"
2020-05-04,mod_5,7010,51627,Normal (pre-intervention),solid,May 04,"7,010","51,627","May 04: 7,010 projected total cases<br>Projection upper CI: 51,627 cases<br>"
2020-05-04,mod_6,6892,50679,Cautious return,solid,May 04,"6,892","50,679","May 04: 6,892 projected total cases<br>Projection upper CI: 50,679 cases<br>"
2020-05-05,mod_2,57664,296434,Soc. Dist. + Travel Ban,solid,May 05,"57,664","296,434","May 05: 57,664 projected total cases<br>Projection upper CI: 296,434 cases<br>"
2020-05-05,mod_4,7147,52886,Moderate return,solid,May 05,"7,147","52,886","May 05: 7,147 projected total cases<br>Projection upper CI: 52,886 cases<br>"
2020-05-05,mod_5,7291,53673,Normal (pre-intervention),solid,May 05,"7,291","53,673","May 05: 7,291 projected total cases<br>Projection upper CI: 53,673 cases<br>"
2020-05-05,mod_6,7087,52817,Cautious return,solid,May 05,"7,087","52,817","May 05: 7,087 projected total cases<br>Projection upper CI: 52,817 cases<br>"
2020-05-06,mod_2,65027,336466,Soc. Dist. + Travel Ban,solid,May 06,"65,027","336,466","May 06: 65,027 projected total cases<br>Projection upper CI: 336,466 cases<br>"
2020-05-06,mod_4,7401,54429,Moderate return,solid,May 06,"7,401","54,429","May 06: 7,401 projected total cases<br>Projection upper CI: 54,429 cases<br>"
2020-05-06,mod_5,7619,55965,Normal (pre-intervention),solid,May 06,"7,619","55,965","May 06: 7,619 projected total cases<br>Projection upper CI: 55,965 cases<br>"
2020-05-06,mod_6,7293,53198,Cautious return,solid,May 06,"7,293","53,198","May 06: 7,293 projected total cases<br>Projection upper CI: 53,198 cases<br>"
2020-05-07,mod_2,73063,379792,Soc. Dist. + Travel Ban,solid,May 07,"73,063","379,792","May 07: 73,063 projected total cases<br>Projection upper CI: 379,792 cases<br>"
2020-05-07,mod_4,7677,56450,Moderate return,solid,May 07,"7,677","56,450","May 07: 7,677 projected total cases<br>Projection upper CI: 56,450 cases<br>"
2020-05-07,mod_5,8003,58227,Normal (pre-intervention),solid,May 07,"8,003","58,227","May 07: 8,003 projected total cases<br>Projection upper CI: 58,227 cases<br>"
2020-05-07,mod_6,7521,54868,Cautious return,solid,May 07,"7,521","54,868","May 07: 7,521 projected total cases<br>Projection upper CI: 54,868 cases<br>"
2020-05-08,mod_2,81782,429284,Soc. Dist. + Travel Ban,solid,May 08,"81,782","429,284","May 08: 81,782 projected total cases<br>Projection upper CI: 429,284 cases<br>"
2020-05-08,mod_4,7991,57873,Moderate return,solid,May 08,"7,991","57,873","May 08: 7,991 projected total cases<br>Projection upper CI: 57,873 cases<br>"
2020-05-08,mod_5,8456,60829,Normal (pre-intervention),solid,May 08,"8,456","60,829","May 08: 8,456 projected total cases<br>Projection upper CI: 60,829 cases<br>"
