Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,...23,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2550,NA,NA,0.86%,3.53,3534,117,397000
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,NA,246,NA,614,Institutional,347,NA,NA,50,NA,NA,NA,NA,NA,280,https://t.me/indiacovid/3147?single,NA,NA,1.01%,6.75,6748,99,397000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,NA,106,NA,724,Institutional,420,NA,NA,50,NA,NA,NA,NA,NA,298,https://t.me/indiacovid/3365?single,NA,NA,1.16%,7.17,7174,86,397000
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,NA,199,NA,643,Institutional,556,NA,NA,50,NA,NA,NA,NA,NA,340,https://t.me/indiacovid/3781,NA,NA,0.88%,9.46,9456,114,397000
16/05/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,NA,136,NA,16,Institutional,1196,NA,NA,98,NA,NA,NA,NA,NA,471,https://t.me/indiacovid/4925,NA,NA,0.49%,16.82,16819,202,397000
19/05/2020,Andaman and Nicobar Islands,6965,Samples Sent,33,NA,117,NA,2,Institutional,1213,NA,NA,98,NA,NA,NA,NA,NA,477,https://dhs.andaman.gov.in/NewEvents/261.pdf,NA,NA,0.47%,17.54,17544,211,397000
20/05/2020,Andaman and Nicobar Islands,7082,Samples Sent,33,NA,117,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,477,https://dhs.andaman.gov.in/NewEvents/262.pdf,NA,NA,0.47%,17.84,17839,215,397000
21/05/2020,Andaman and Nicobar Islands,7167,Samples Sent,33,NA,85,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,478,https://dhs.andaman.gov.in/NewEvents/263.pdf,NA,NA,0.46%,18.05,18053,217,397000
22/05/2020,Andaman and Nicobar Islands,7263,Samples Sent,33,NA,96,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,478,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,NA,0.45%,18.29,18295,220,397000
23/05/2020,Andaman and Nicobar Islands,7327,Samples Sent,33,NA,61,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,480,https://dhs.andaman.gov.in/NewEvents/266.pdf,NA,NA,0.45%,18.46,18456,222,397000
24/05/2020,Andaman and Nicobar Islands,7327,Samples Sent,33,NA,0,NA,0,Institutional,1215,NA,NA,98,NA,NA,NA,NA,NA,481,https://dhs.andaman.gov.in/NewEvents/267.pdf,NA,NA,0.45%,18.46,18456,222,397000
25/05/2020,Andaman and Nicobar Islands,7363,Samples Sent,33,NA,34,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9762,https://dhs.andaman.gov.in/NewEvents/269.pdf,NA,NA,0.45%,18.55,18547,223,397000
26/05/2020,Andaman and Nicobar Islands,7448,Samples Sent,33,NA,84,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9803,https://dhs.andaman.gov.in/NewEvents/270.pdf,NA,NA,0.44%,18.76,18761,226,397000
27/05/2020,Andaman and Nicobar Islands,7499,Samples Sent,33,NA,51,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9843,https://dhs.andaman.gov.in/NewEvents/271.pdf,NA,NA,0.44%,18.89,18889,227,397000
28/05/2020,Andaman and Nicobar Islands,7519,Samples Sent,33,NA,19,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9893,https://dhs.andaman.gov.in/NewEvents/272.pdf,NA,NA,0.44%,18.94,18940,228,397000
29/05/2020,Andaman and Nicobar Islands,7567,Samples Sent,33,NA,48,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9925,https://dhs.andaman.gov.in/NewEvents/273.pdf,NA,NA,0.44%,19.06,19060,229,397000
30/05/2020,Andaman and Nicobar Islands,7567,Samples Sent,33,NA,129,NA,0,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,9962,https://dhs.andaman.gov.in/NewEvents/274.pdf,NA,NA,0.44%,19.06,19060,229,397000
31/05/2020,Andaman and Nicobar Islands,7706,Samples Sent,33,NA,0,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,9984,https://dhs.andaman.gov.in/NewEvents/275.pdf,NA,NA,0.43%,19.41,19411,234,397000
01/06/2020,Andaman and Nicobar Islands,7805,Samples Sent,33,NA,99,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10015,https://dhs.andaman.gov.in/NewEvents/276.pdf,NA,NA,0.42%,19.66,19660,237,397000
02/06/2020,Andaman and Nicobar Islands,8086,Samples Sent,33,NA,274,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10037,https://dhs.andaman.gov.in/NewEvents/277.pdf,NA,NA,0.41%,20.37,20368,245,397000
03/06/2020,Andaman and Nicobar Islands,8295,Samples Sent,33,NA,208,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10056,https://dhs.andaman.gov.in/NewEvents/278.pdf,NA,NA,0.40%,20.89,20894,251,397000
04/06/2020,Andaman and Nicobar Islands,8413,Samples Sent,33,NA,118,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10088,https://dhs.andaman.gov.in/NewEvents/280.pdf,NA,NA,0.39%,21.19,21191,255,397000
05/06/2020,Andaman and Nicobar Islands,8694,Samples Sent,33,NA,281,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10105,https://dhs.andaman.gov.in/NewEvents/281.pdf,NA,NA,0.38%,21.9,21899,263,397000
06/06/2020,Andaman and Nicobar Islands,9037,Samples Sent,33,NA,343,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10138,https://dhs.andaman.gov.in/NewEvents/282.pdf,NA,NA,0.37%,22.76,22763,274,397000
07/06/2020,Andaman and Nicobar Islands,9242,Samples Sent,33,NA,404,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10153,https://dhs.andaman.gov.in/NewEvents/283.pdf,NA,NA,0.36%,23.28,23280,280,397000
08/06/2020,Andaman and Nicobar Islands,9341,Samples Sent,33,NA,279,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10169,https://t.me/indiacovid/6803?single,NA,NA,0.35%,23.53,23529,283,397000
09/06/2020,Andaman and Nicobar Islands,9859,Samples Sent,33,NA,531,NA,0,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10190,https://dhs.andaman.gov.in/NewEvents/290.pdf,NA,NA,0.33%,24.83,24834,299,397000
10/06/2020,Andaman and Nicobar Islands,10010,Samples Sent,35,NA,382,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10214,https://dhs.andaman.gov.in/NewEvents/291.pdf,NA,NA,0.35%,25.21,25214,286,397000
11/06/2020,Andaman and Nicobar Islands,10226,Samples Sent,38,NA,294,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10249,https://dhs.andaman.gov.in/NewEvents/292.pdf,NA,NA,0.37%,25.76,25758,269,397000
12/06/2020,Andaman and Nicobar Islands,10697,Samples Sent,38,NA,556,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10267,https://dhs.andaman.gov.in/NewEvents/293.pdf,NA,NA,0.36%,26.94,26945,282,397000
13/06/2020,Andaman and Nicobar Islands,10955,Samples Sent,38,NA,814,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,10306,https://dhs.andaman.gov.in/NewEvents/294.pdf,NA,NA,0.35%,27.59,27594,288,397000
14/06/2020,Andaman and Nicobar Islands,11356,Samples Sent,38,NA,1040,NA,1,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10329,https://dhs.andaman.gov.in/NewEvents/295.pdf,NA,NA,0.33%,28.6,28605,299,397000
15/06/2020,Andaman and Nicobar Islands,11518,Samples Sent,41,NA,579,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10361,https://dhs.andaman.gov.in/NewEvents/296.pdf,NA,NA,0.36%,29.01,29013,281,397000
16/06/2020,Andaman and Nicobar Islands,11809,Samples Sent,44,NA,719,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10405,https://dhs.andaman.gov.in/NewEvents/297.pdf,NA,NA,0.37%,29.75,29746,268,397000
17/06/2020,Andaman and Nicobar Islands,12239,Samples Sent,44,NA,383,NA,4,Institutional,NA,NA,NA,109,NA,NA,NA,NA,NA,10430,https://dhs.andaman.gov.in/NewEvents/298.pdf,NA,NA,0.36%,30.83,30829,278,397000
18/06/2020,Andaman and Nicobar Islands,12622,Samples Sent,45,NA,350,NA,4,Institutional,NA,NA,NA,184,NA,NA,NA,NA,NA,10460,https://dhs.andaman.gov.in/NewEvents/299.pdf,NA,NA,0.36%,31.79,31793,280,397000
19/06/2020,Andaman and Nicobar Islands,12930,Samples Sent,47,NA,306,NA,4,Institutional,NA,NA,NA,184,NA,NA,NA,NA,NA,10491,https://dhs.andaman.gov.in/NewEvents/300.pdf,NA,NA,0.36%,32.57,32569,275,397000
20/06/2020,Andaman and Nicobar Islands,13320,Samples Sent,47,NA,372,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/301.pdf,NA,NA,0.35%,33.55,33552,283,397000
21/06/2020,Andaman and Nicobar Islands,13434,Samples Sent,48,NA,437,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/302.pdf,NA,NA,0.36%,33.84,33839,280,397000
22/06/2020,Andaman and Nicobar Islands,13511,Samples Sent,48,NA,71,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/303.pdf,NA,NA,0.36%,34.03,34033,281,397000
23/06/2020,Andaman and Nicobar Islands,13723,Samples Sent,50,NA,188,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/304.pdf,NA,NA,0.36%,34.57,34567,274,397000
24/06/2020,Andaman and Nicobar Islands,13994,Samples Sent,56,NA,265,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/305.pdf,NA,NA,0.40%,35.25,35249,250,397000
25/06/2020,Andaman and Nicobar Islands,14277,Samples Sent,59,NA,223,NA,6,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/306.pdf,NA,NA,0.41%,35.96,35962,242,397000
26/06/2020,Andaman and Nicobar Islands,14583,Samples Sent,72,NA,224,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,NA,0.49%,36.73,36733,203,397000
27/06/2020,Andaman and Nicobar Islands,14851,Samples Sent,73,NA,217,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/309.pdf,NA,NA,0.49%,37.41,37408,203,397000
28/06/2020,Andaman and Nicobar Islands,15094,Samples Sent,83,NA,243,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/310.pdf,NA,NA,0.55%,38.02,38020,182,397000
29/06/2020,Andaman and Nicobar Islands,15410,Samples Sent,90,NA,281,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/311.pdf,NA,NA,0.58%,38.82,38816,171,397000
30/06/2020,Andaman and Nicobar Islands,15709,Samples Sent,97,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/312.pdf,NA,NA,0.62%,39.57,39569,162,397000
01/07/2020,Andaman and Nicobar Islands,15982,Samples Sent,100,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/313.pdf,NA,NA,0.63%,40.26,40257,160,397000
02/07/2020,Andaman and Nicobar Islands,16278,Samples Sent,109,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/317.pdf,NA,NA,0.67%,41,41003,149,397000
03/07/2020,Andaman and Nicobar Islands,16626,Samples Sent,116,NA,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,NA,0.70%,41.88,41879,143,397000
04/07/2020,Andaman and Nicobar Islands,16832,Samples Sent,119,NA,184,NA,28,Facility,8359,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,NA,0.71%,42.4,42398,141,397000
05/07/2020,Andaman and Nicobar Islands,16909,Samples Sent,125,NA,77,NA,30,Facility,8676,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,NA,0.74%,42.59,42592,135,397000
06/07/2020,Andaman and Nicobar Islands,17095,Samples Sent,141,NA,105,NA,30,Facility,8816,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,NA,0.82%,43.06,43060,121,397000
07/07/2020,Andaman and Nicobar Islands,17381,Samples Sent,147,NA,199,NA,30,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/322.pdf,NA,NA,NA,NA,NA,NA,NA
08/07/2020,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/04/2020,Andhra Pradesh,1800,Tested,132,1175,493,NA,NA,NA,NA,NA,NA,23479,2680,330,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,NA,NA,7.33%,0.03,34,14,52221000
10/04/2020,Andhra Pradesh,6374,Tested,365,6009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.73%,0.12,122,17,52221000
11/04/2020,Andhra Pradesh,6958,Tested,381,6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.48%,0.13,133,18,52221000
12/04/2020,Andhra Pradesh,6958,Tested,405,6553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,5.82%,0.13,133,17,52221000
